scope,model,alpha,beta,objective,calibration_rows,calibration_successes
shared,support_current,7.549856377865055,8.334601071663432,0.2169908713115799,28049,25643
shared,support_window4,8.691589292845004,9.161574528765993,0.20974196624198127,28049,25643
shared,support_prefix_mean,9.706744386758613,9.780013130554169,0.22135119735465072,28049,25643
shared,support_prefix_max,7.730953655596383,9.444110609318821,0.18865281674218834,28049,25643
shared,freeze,2.747176548299945,2.4541439820749593,0.2628632729832637,28049,25643
held_task_fold0,support_current,7.862187101879909,8.85373820378543,0.1857323216441034,22553,20948
held_task_fold0,support_window4,8.935817979969729,9.620717707779871,0.1803914836300052,22553,20948
held_task_fold0,support_prefix_mean,9.244894130052588,9.699683254354719,0.1949627046366279,22553,20948
held_task_fold0,support_prefix_max,8.15665277963594,10.034765301042734,0.1663754367535644,22553,20948
held_task_fold0,freeze,2.8534013859300793,2.6583485826560813,0.2325703466594604,22553,20948
held_task_fold1,support_current,7.500183181114469,8.318842606286601,0.2203173700382911,21438,19517
held_task_fold1,support_window4,8.680611573461585,9.200154727023076,0.21139542727983657,21438,19517
held_task_fold1,support_prefix_mean,10.031182545114932,10.105150832932209,0.21946906348155346,21438,19517
held_task_fold1,support_prefix_max,7.530049865551914,9.36445147867185,0.18530679519618629,21438,19517
held_task_fold1,freeze,2.7629430200102334,2.393404749457686,0.26668542108117854,21438,19517
held_task_fold2,support_current,7.642081448630601,8.494909554551413,0.2099253587313261,23176,21221
held_task_fold2,support_window4,8.729433806343446,9.291340500309754,0.20216433650082405,23176,21221
held_task_fold2,support_prefix_mean,10.218318008634498,10.30236018677306,0.20772172903512812,23176,21221
held_task_fold2,support_prefix_max,7.799345463953155,9.645036740264896,0.18010239417815138,23176,21221
held_task_fold2,freeze,2.614402380182847,2.42876521030457,0.2632514511793231,23176,21221
held_task_fold3,support_current,7.111246180347458,7.9621589648299445,0.22610534855181574,22777,20722
held_task_fold3,support_window4,8.291592424386943,8.815445352812445,0.21813573836728567,22777,20722
held_task_fold3,support_prefix_mean,9.470087626034285,9.52600201992284,0.23235516168265072,22777,20722
held_task_fold3,support_prefix_max,7.307289867175868,9.016808892738752,0.19917246720066736,22777,20722
held_task_fold3,freeze,2.735071577961099,2.42132307463277,0.2720082608350574,22777,20722
held_task_fold4,support_current,7.280108856232717,8.082446358661493,0.23437296615407788,22252,20164
held_task_fold4,support_window4,8.338173575716876,8.854327331669127,0.22794545867606825,22252,20164
held_task_fold4,support_prefix_mean,9.140372589813875,9.322873501908767,0.24220401400826705,22252,20164
held_task_fold4,support_prefix_max,7.338628575216031,9.060684314456896,0.20811640169095103,22252,20164
held_task_fold4,freeze,2.7637233003144357,2.3847042548837654,0.2784206437169816,22252,20164
