task,model,pairs,matched_auroc
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,clock_cap,103313,0.5
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,prior_unseen_task,103313,0.5
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,support_current_unseen_task,103313,0.5318304569608858
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,support_window4_unseen_task,103313,0.5389641187459467
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,support_prefix_mean_unseen_task,103313,0.6443235604425387
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,support_prefix_max_unseen_task,103313,0.5204378926175796
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,freeze_unseen_task,103313,0.6206479339482931
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,supervised_moe_unseen_task,103313,0.5240482804680922
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,prior,323,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_current,323,0.20123839009287925
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_window4,323,0.1393188854489164
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_prefix_mean,323,0.1238390092879257
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_prefix_max,323,0.3065015479876161
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,freeze,323,0.718266253869969
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,supervised_moe,323,0.6222910216718266
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,clock_cap,323,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,prior_unseen_task,323,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_current_unseen_task,323,0.1826625386996904
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_window4_unseen_task,323,0.1238390092879257
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_prefix_mean_unseen_task,323,0.10526315789473684
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,support_prefix_max_unseen_task,323,0.25077399380804954
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,freeze_unseen_task,323,0.718266253869969
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,supervised_moe_unseen_task,323,0.631578947368421
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,prior,1650,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_current,1650,0.46545454545454545
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_window4,1650,0.31333333333333335
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_prefix_mean,1650,0.2412121212121212
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_prefix_max,1650,0.35818181818181816
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,freeze,1650,0.38181818181818183
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,supervised_moe,1650,0.3781818181818182
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,clock_cap,1650,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,prior_unseen_task,1650,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_current_unseen_task,1650,0.48484848484848486
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_window4_unseen_task,1650,0.29393939393939394
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_prefix_mean_unseen_task,1650,0.1890909090909091
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,support_prefix_max_unseen_task,1650,0.24848484848484848
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,freeze_unseen_task,1650,0.38181818181818183
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,supervised_moe_unseen_task,1650,0.34939393939393937
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,prior,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_current,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_window4,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_prefix_mean,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_prefix_max,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,freeze,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,supervised_moe,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,clock_cap,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,prior_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_current_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_window4_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_prefix_mean_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,support_prefix_max_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,freeze_unseen_task,0,
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,supervised_moe_unseen_task,0,
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,prior,4830,0.5
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_current,4830,0.4567287784679089
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_window4,4830,0.41904761904761906
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_prefix_mean,4830,0.42132505175983437
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_prefix_max,4830,0.38488612836438924
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,freeze,4830,0.4772256728778468
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,supervised_moe,4830,0.562111801242236
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,clock_cap,4830,0.5
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,prior_unseen_task,4830,0.5
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_current_unseen_task,4830,0.40144927536231884
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_window4_unseen_task,4830,0.34265010351966874
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_prefix_mean_unseen_task,4830,0.4217391304347826
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,support_prefix_max_unseen_task,4830,0.35486542443064184
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,freeze_unseen_task,4830,0.4772256728778468
LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,supervised_moe_unseen_task,4830,0.5053830227743271
