left,right,metric,difference,low,high
support_window4,prior,brier,-0.021247422665109192,-0.03141825285615005,-0.012259045332009198
support_window4,prior,log_loss,-0.06120619056343007,-0.0937899553622824,-0.0333173176531815
support_window4,supervised_moe,brier,0.01906848459427648,0.010328495025222274,0.029887489517881893
support_window4,supervised_moe,log_loss,0.08428205038497641,0.04542591591242665,0.13144821857137218
support_window4,clock_cap,brier,0.014983163754747337,0.007078141599273412,0.023935074863339564
support_window4,clock_cap,log_loss,0.05769082860017512,0.024180029228726245,0.09713112414904061
support_window4,support_prefix_max,brier,0.004508554841045702,0.0020920651388192904,0.00702476067644464
support_window4,support_prefix_max,log_loss,0.01590748286630903,0.008800874270367366,0.023073877219790668
support_window4,support_prefix_mean,brier,-0.009300897529091929,-0.014292803861665183,-0.004669127247504428
support_window4,support_prefix_mean,log_loss,-0.03594360561003534,-0.05383773293571054,-0.020074895208328298
support_window4,freeze,brier,-0.005661903957257835,-0.01233715218135068,0.0012534839596049974
support_window4,freeze,log_loss,-0.012445332231258602,-0.04135614875878881,0.023021708802726387
support_window4_unseen_task,prior_unseen_task,brier,-0.0022714782878429816,-0.014650641146002166,0.009354197686163966
support_window4_unseen_task,prior_unseen_task,log_loss,-0.02222681218032167,-0.05944628247522197,0.01310214069178507
support_window4_unseen_task,supervised_moe_unseen_task,brier,0.02786657280884042,0.022566140272141932,0.03347938566298361
support_window4_unseen_task,supervised_moe_unseen_task,log_loss,0.07386190266227201,0.055388997428830335,0.0912347763653919
