corpus,signal,variant,control_kind,relative,auc_trap_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT,null_max_effect_q95
A,weighted_recurrence,raw,all_no_trap,-8,0.3911504424778761,0.6088495575221239,trap_low,0.2844096344133471,0.5026563075101218,16,130,565,0.09495252373813093,0.7016491754122939,0.2500259875259875
A,weighted_recurrence,raw,all_no_trap,-7,0.3825136612021858,0.6174863387978142,trap_low,0.2862743201729434,0.4840186485553125,15,129,549,,,
A,weighted_recurrence,raw,all_no_trap,-6,0.4665391969407266,0.5334608030592733,trap_low,0.37856490333545784,0.5535354581223291,15,129,523,0.4897551224387806,1.0,0.2500259875259875
A,weighted_recurrence,raw,all_no_trap,-5,0.7047244094488189,0.7047244094488189,trap_high,0.63220625,0.7628008338904332,15,129,508,,,
A,weighted_recurrence,raw,all_no_trap,-4,0.6646586345381527,0.6646586345381527,trap_high,0.5799470585384764,0.7418108283002588,14,128,498,0.010994502748625687,0.29035482258870565,0.2500259875259875
A,weighted_recurrence,raw,all_no_trap,-3,0.4959514170040486,0.5040485829959513,trap_low,0.3719495920493013,0.6213701145133183,14,127,494,,,
A,weighted_recurrence,raw,all_no_trap,-2,0.35040983606557374,0.6495901639344263,trap_low,0.2268737836247605,0.4901636739234069,14,127,488,0.09645177411294353,0.3698150924537731,0.2500259875259875
A,weighted_recurrence,raw,all_no_trap,-1,0.20910973084886128,0.7908902691511387,trap_low,0.11526128776928901,0.3333333333333333,13,126,483,,,
A,weighted_recurrence,raw,all_no_trap,0,0.21205821205821207,0.7879417879417879,trap_low,0.12041841040816684,0.3403397954356005,13,126,481,0.014492753623188406,0.022488755622188907,0.2500259875259875
A,weighted_recurrence,raw,all_no_trap,1,0.3541666666666667,0.6458333333333333,trap_low,0.24423808414842416,0.4795668017988081,13,126,480,,,
A,weighted_recurrence,raw,all_no_trap,2,0.5498938428874734,0.5498938428874734,trap_high,0.48987552680584145,0.6116384141216026,13,126,471,,,
A,weighted_recurrence,raw,all_no_trap,3,0.7012987012987013,0.7012987012987013,trap_high,0.5865346858638744,0.793169082751059,13,125,462,,,
A,weighted_recurrence,raw,all_no_trap,4,0.7834821428571429,0.7834821428571429,trap_high,0.6747590588488667,0.8605460989705617,13,122,448,,,
A,lag_periodicity,raw,all_no_trap,-8,0.48398576512455516,0.5160142348754448,trap_low,0.4312467078606159,0.554167921686747,16,129,562,0.6421789105447276,1.0,0.2500259875259875
A,lag_periodicity,raw,all_no_trap,-7,0.4663023679417122,0.5336976320582878,trap_low,0.4058376823347234,0.5411603231495704,15,129,549,,,
A,lag_periodicity,raw,all_no_trap,-6,0.4225621414913958,0.5774378585086042,trap_low,0.3512291076843482,0.4894591477799309,15,129,523,0.04697651174412794,0.9695152423788106,0.2500259875259875
A,lag_periodicity,raw,all_no_trap,-5,0.35039370078740156,0.6496062992125984,trap_low,0.27909347231715653,0.42659944066907135,15,129,508,,,
A,lag_periodicity,raw,all_no_trap,-4,0.4919678714859438,0.5080321285140562,trap_low,0.41830159676255607,0.5801432291666666,14,128,498,0.8350824587706147,1.0,0.2500259875259875
