corpus,state,bit_route_change,bit_gate_entropy,bit_late_flow,bit_state_action_gap,visits,transitions,p_self,expected_dwell,occupancy_success,occupancy_failure,mean_abs_goal_progress,descriptive_basin
A,0,0,0,0,0,125,117,0.19658119658119658,1.2446808510638296,0.0023011176857330702,0.009083469721767594,0.0024280121139702176,False
A,1,1,0,0,0,159,150,0.05333333333333334,1.056338028169014,0.012163050624589087,0.006955810147299509,0.0009537520285791669,False
A,2,0,1,0,0,1456,1370,0.46277372262773725,1.8614130434782612,0.0675542406311637,0.08551554828150573,0.0002724740268139566,False
A,3,1,1,0,0,445,430,0.2255813953488372,1.2912912912912913,0.038625904010519393,0.01718494271685761,0.0004698675867564908,False
A,4,0,0,1,0,284,266,0.37969924812030076,1.612121212121212,0.006903353057199211,0.019803600654664483,0.0013073671849899962,False
A,5,1,0,1,0,412,392,0.11989795918367346,1.136231884057971,0.024819197896120974,0.021358428805237317,0.00019062037279339865,False
A,6,0,1,1,0,224,209,0.11483253588516747,1.1297297297297297,0.008711374095989481,0.013993453355155483,0.001053168436803025,False
A,7,1,1,1,0,216,212,0.04245283018867924,1.0443349753694582,0.021203155818540435,0.0071194762684124386,0.00015566741479189233,False
A,8,0,0,0,1,97,93,0.24731182795698925,1.3285714285714285,0.003287310979618672,0.006301145662847791,0.0008443746943633912,False
A,9,1,0,0,1,292,275,0.06545454545454546,1.0700389105058365,0.02925706771860618,0.009328968903436988,0.0004346661791611112,False
A,10,0,1,0,1,1849,1784,0.6446188340807175,2.8138801261829656,0.09894806048652202,0.10204582651391161,0.00014788113065385827,True
A,11,1,1,0,1,1080,1062,0.4340866290018832,1.767054908485857,0.08284023668639054,0.047135842880523734,6.579546853189358e-05,True
A,12,0,0,1,1,263,244,0.4139344262295082,1.7062937062937062,0.004273504273504274,0.01939443535188216,0.0009739304894004645,False
A,13,1,0,1,1,911,884,0.3778280542986425,1.6072727272727272,0.03007889546351085,0.059574468085106386,0.0001947700452999425,False
A,14,0,1,1,1,147,129,0.21705426356589147,1.277227722772277,0.002136752136752137,0.010965630114566284,0.00014850068324167678,False
A,15,1,1,1,1,136,127,0.047244094488188976,1.0495867768595042,0.009204470742932281,0.006546644844517185,0.00010707521436909925,False
B,0,0,0,0,0,165,156,0.057692307692307696,1.0612244897959184,0.0058471933471933475,0.006677350427350427,0.00025764788927156666,False
B,1,1,0,0,0,237,233,0.02145922746781116,1.0219298245614035,0.008575883575883576,0.009348290598290598,1.0424958187189666e-05,False
B,2,0,1,0,0,1608,1582,0.40960809102402024,1.6937901498929337,0.06483887733887733,0.054309116809116806,1.3329522003738805e-05,False
B,3,1,1,0,0,513,511,0.08414872798434442,1.091880341880342,0.020984927234927234,0.016915954415954417,1.225896606172054e-07,False
B,4,0,0,1,0,66,64,0.046875,1.0491803278688525,0.002728690228690229,0.002136752136752137,9.5290775257553e-05,False
B,5,1,0,1,0,1122,1059,0.1652502360717658,1.1979638009049773,0.044243762993762994,0.03926282051282051,0.00011190861263426596,False
B,6,0,1,1,0,51,45,0.0,1.0,0.0018840956340956342,0.001958689458689459,0.0004917455915520501,False
B,7,1,1,1,0,79,78,0.02564102564102564,1.0263157894736843,0.002014033264033264,0.004273504273504274,0.0,False
B,8,0,0,0,1,410,339,0.34513274336283184,1.527027027027027,0.010005197505197506,0.022792022792022793,0.0005911042319242714,False
B,9,1,0,0,1,579,576,0.10416666666666667,1.1162790697674418,0.024753118503118503,0.017628205128205128,3.440635448960733e-05,False
B,10,0,1,0,1,1973,1907,0.47823807026743576,1.9165829145728646,0.0676975051975052,0.08288817663817664,5.9887967848631715e-05,False
B,11,1,1,0,1,1639,1634,0.4479804161566707,1.811529933481153,0.05483367983367984,0.07077991452991453,2.629498517442584e-06,True
B,12,0,0,1,1,163,146,0.1780821917808219,1.2166666666666668,0.004612785862785863,0.00819088319088319,0.00024062846944724733,False
B,13,1,0,1,1,2810,2581,0.5401007361487795,2.1743892165122154,0.1175935550935551,0.08903133903133903,0.00010748492544047609,False
B,14,0,1,1,1,31,29,0.0,1.0,0.0009095634095634096,0.0015135327635327634,0.00010762322242680302,False
B,15,1,1,1,1,330,324,0.033950617283950615,1.0351437699680512,0.010784823284823285,0.0146011396011396,1.3181266382497152e-05,False
