corpus,event_kind,signal,variant,control_kind,relative,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT,null_max_effect_q95
A,loop,weighted_recurrence,raw,all_no_event,-8,0.3790849673202614,0.6209150326797386,event_low,0.2861255035908215,0.46282810092525223,18,124,765,0.01999000499750125,0.8075962018990505,0.3108034501820628
A,loop,weighted_recurrence,raw,all_no_event,-7,0.3257676902536716,0.6742323097463284,event_low,0.24377916129955635,0.40344984074284007,17,123,749,,,
A,loop,weighted_recurrence,raw,all_no_event,-6,0.4046961325966851,0.5953038674033149,event_low,0.3327161829968674,0.4783418246445497,17,123,724,0.033483258370814596,0.9630184907546226,0.3108034501820628
A,loop,weighted_recurrence,raw,all_no_event,-5,0.6445698166431594,0.6445698166431594,event_high,0.5743421052631579,0.7058902806405581,17,123,709,,,
A,loop,weighted_recurrence,raw,all_no_event,-4,0.6357142857142857,0.6357142857142857,event_high,0.556984098910169,0.7039942333785616,16,122,700,0.01199400299850075,0.670664667666167,0.3108034501820628
A,loop,weighted_recurrence,raw,all_no_event,-3,0.4619799139167862,0.5380200860832138,event_low,0.3579220657383769,0.5537670339282038,16,121,697,,,
A,loop,weighted_recurrence,raw,all_no_event,-2,0.2745664739884393,0.7254335260115607,event_low,0.17355512384652744,0.3930871108869868,16,121,692,0.006496751624187906,0.19440279860069964,0.3108034501820628
A,loop,weighted_recurrence,raw,all_no_event,-1,0.07814761215629522,0.9218523878437048,event_low,0.03757162131855571,0.13683469735875065,15,120,691,,,
A,loop,weighted_recurrence,raw,all_no_event,0,0.06821480406386067,0.9317851959361393,event_low,0.028184852527508894,0.12730809647042296,15,120,689,0.0009995002498750624,0.004497751124437781,0.3108034501820628
A,loop,weighted_recurrence,raw,all_no_event,1,0.17130307467057102,0.828696925329429,event_low,0.10049450348280566,0.26083075900363656,15,119,683,,,
A,loop,weighted_recurrence,raw,all_no_event,2,0.3604135893648449,0.6395864106351551,event_low,0.25387455661997793,0.47059518295507174,15,119,677,,,
A,loop,weighted_recurrence,raw,all_no_event,3,0.5461309523809523,0.5461309523809523,event_high,0.3872318163025157,0.6982972614363216,15,119,672,,,
A,loop,weighted_recurrence,raw,all_no_event,4,0.6687116564417178,0.6687116564417178,event_high,0.5197036233848378,0.7892383528634143,15,116,652,,,
A,loop,lag_periodicity,raw,all_no_event,-8,0.4775132275132275,0.5224867724867726,event_low,0.40587249594177566,0.5538746136120947,18,122,756,0.5602198900549725,1.0,0.3108034501820628
A,loop,lag_periodicity,raw,all_no_event,-7,0.49265687583444595,0.507343124165554,event_low,0.4218916755048142,0.5681591903086962,17,123,749,,,
A,loop,lag_periodicity,raw,all_no_event,-6,0.44337016574585636,0.5566298342541436,event_low,0.3710221136404148,0.5115510581689018,17,123,724,0.1409295352323838,1.0,0.3108034501820628
