corpus,group,relative,concordant,pairs,n_events,auc_trap_high,signal,variant,control_kind
A,w00_s000,-8,31.0,60,6,0.5166666666666667,weighted_recurrence,raw,all_no_trap
A,w00_s001,-8,5.0,39,13,0.1282051282051282,weighted_recurrence,raw,all_no_trap
A,w00_s002,-8,7.0,64,8,0.109375,weighted_recurrence,raw,all_no_trap
A,w00_s003,-8,20.0,39,13,0.5128205128205128,weighted_recurrence,raw,all_no_trap
A,w00_s004,-8,26.0,64,8,0.40625,weighted_recurrence,raw,all_no_trap
A,w00_s005,-8,43.0,63,8,0.6825396825396826,weighted_recurrence,raw,all_no_trap
A,w01_s000,-8,1.0,15,15,0.06666666666666667,weighted_recurrence,raw,all_no_trap
A,w02_s000,-8,4.0,15,15,0.26666666666666666,weighted_recurrence,raw,all_no_trap
A,w02_s001,-8,16.0,28,14,0.5714285714285714,weighted_recurrence,raw,all_no_trap
A,w02_s002,-8,11.0,39,13,0.28205128205128205,weighted_recurrence,raw,all_no_trap
A,w02_s003,-8,20.0,60,10,0.3333333333333333,weighted_recurrence,raw,all_no_trap
A,w03_s001,-8,2.0,15,1,0.13333333333333333,weighted_recurrence,raw,all_no_trap
A,w03_s002,-8,1.0,1,1,1.0,weighted_recurrence,raw,all_no_trap
A,w03_s003,-8,3.0,15,1,0.2,weighted_recurrence,raw,all_no_trap
A,w03_s004,-8,20.0,25,2,0.8,weighted_recurrence,raw,all_no_trap
A,w03_s005,-8,11.0,23,2,0.4782608695652174,weighted_recurrence,raw,all_no_trap
A,w00_s000,-7,24.0,60,6,0.4,weighted_recurrence,raw,all_no_trap
A,w00_s001,-7,6.0,39,13,0.15384615384615385,weighted_recurrence,raw,all_no_trap
A,w00_s002,-7,11.0,64,8,0.171875,weighted_recurrence,raw,all_no_trap
A,w00_s003,-7,14.0,39,13,0.358974358974359,weighted_recurrence,raw,all_no_trap
A,w00_s004,-7,23.0,64,8,0.359375,weighted_recurrence,raw,all_no_trap
A,w00_s005,-7,41.0,62,8,0.6612903225806451,weighted_recurrence,raw,all_no_trap
A,w01_s000,-7,2.0,15,15,0.13333333333333333,weighted_recurrence,raw,all_no_trap
A,w02_s000,-7,5.0,15,15,0.3333333333333333,weighted_recurrence,raw,all_no_trap
A,w02_s001,-7,18.0,28,14,0.6428571428571429,weighted_recurrence,raw,all_no_trap
A,w02_s002,-7,12.0,39,13,0.3076923076923077,weighted_recurrence,raw,all_no_trap
A,w02_s003,-7,22.0,60,10,0.36666666666666664,weighted_recurrence,raw,all_no_trap
A,w03_s001,-7,2.0,13,1,0.15384615384615385,weighted_recurrence,raw,all_no_trap
A,w03_s003,-7,2.0,13,1,0.15384615384615385,weighted_recurrence,raw,all_no_trap
A,w03_s004,-7,14.0,19,2,0.7368421052631579,weighted_recurrence,raw,all_no_trap
A,w03_s005,-7,14.0,19,2,0.7368421052631579,weighted_recurrence,raw,all_no_trap
A,w00_s000,-6,28.0,58,6,0.4827586206896552,weighted_recurrence,raw,all_no_trap
A,w00_s001,-6,8.0,39,13,0.20512820512820512,weighted_recurrence,raw,all_no_trap
A,w00_s002,-6,15.0,64,8,0.234375,weighted_recurrence,raw,all_no_trap
A,w00_s003,-6,18.0,39,13,0.46153846153846156,weighted_recurrence,raw,all_no_trap
A,w00_s004,-6,31.0,64,8,0.484375,weighted_recurrence,raw,all_no_trap
A,w00_s005,-6,38.0,59,8,0.6440677966101694,weighted_recurrence,raw,all_no_trap
A,w01_s000,-6,4.0,15,15,0.26666666666666666,weighted_recurrence,raw,all_no_trap
A,w02_s000,-6,3.0,15,15,0.2,weighted_recurrence,raw,all_no_trap
A,w02_s001,-6,17.0,28,14,0.6071428571428571,weighted_recurrence,raw,all_no_trap
A,w02_s002,-6,20.0,39,13,0.5128205128205128,weighted_recurrence,raw,all_no_trap
A,w02_s003,-6,28.0,60,10,0.4666666666666667,weighted_recurrence,raw,all_no_trap
A,w03_s001,-6,8.0,9,1,0.8888888888888888,weighted_recurrence,raw,all_no_trap
A,w03_s003,-6,4.0,6,1,0.6666666666666666,weighted_recurrence,raw,all_no_trap
A,w03_s004,-6,8.0,13,2,0.6153846153846154,weighted_recurrence,raw,all_no_trap
A,w03_s005,-6,14.0,15,2,0.9333333333333333,weighted_recurrence,raw,all_no_trap
A,w00_s000,-5,49.0,58,6,0.8448275862068966,weighted_recurrence,raw,all_no_trap
A,w00_s001,-5,26.0,39,13,0.6666666666666666,weighted_recurrence,raw,all_no_trap
A,w00_s002,-5,43.0,64,8,0.671875,weighted_recurrence,raw,all_no_trap
A,w00_s003,-5,30.0,39,13,0.7692307692307693,weighted_recurrence,raw,all_no_trap
A,w00_s004,-5,51.0,64,8,0.796875,weighted_recurrence,raw,all_no_trap
A,w00_s005,-5,46.0,59,8,0.7796610169491526,weighted_recurrence,raw,all_no_trap
A,w01_s000,-5,5.0,15,15,0.3333333333333333,weighted_recurrence,raw,all_no_trap
A,w02_s000,-5,5.0,15,15,0.3333333333333333,weighted_recurrence,raw,all_no_trap
A,w02_s001,-5,20.0,28,14,0.7142857142857143,weighted_recurrence,raw,all_no_trap
A,w02_s002,-5,26.0,39,13,0.6666666666666666,weighted_recurrence,raw,all_no_trap
