source,task,variant,mixed_states,macro_within_state_auc,auc_ci95_low,auc_ci95_high,pair_weighted_within_state_auc,permutation_p_one_sided,holm_p_across_long_targets
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,7,0.5806988343477301,0.37332979786896836,0.7487974271404274,0.594306049822064,0.1795820417958204,0.5387461253874612
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,7,0.5599106401923024,0.39446651482246586,0.7263579688147651,0.5747330960854092,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,7,0.5257232252683548,0.3301090507887743,0.7057033325009648,0.498220640569395,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,7,0.3802489559660226,0.16874222807402534,0.602841487602333,0.400355871886121,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_mean,7,0.4886276071422266,,,0.49110320284697506,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,aligned,8,0.5804219470046084,0.385440668202765,0.7685680083525342,0.5335195530726257,0.208979102089791,0.5387461253874612
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_1,8,0.4546778993855607,0.24381720430107529,0.6674467165898617,0.505586592178771,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_2,8,0.6438940092165899,0.4906653225806451,0.8024481566820273,0.5754189944134078,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_3,8,0.5288570468509985,0.322472638248848,0.7192254104262672,0.5893854748603352,,
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,shift_mean,8,0.542476318484383,,,0.5567970204841713,,
