source,task,variant,init_state_id,failures,successes,pairs,auc
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,3,1,31,31,0.8709677419354839
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,7,4,28,112,0.7767857142857143
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,13,1,31,31,0.6451612903225806
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,16,27,5,135,0.5111111111111111
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,26,3,29,87,0.7471264367816093
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,29,5,27,135,0.4814814814814815
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,aligned,36,1,31,31,0.032258064516129004
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,3,1,31,31,0.5483870967741935
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,7,4,28,112,0.49107142857142855
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,13,1,31,31,0.935483870967742
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,16,27,5,135,0.7629629629629631
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,26,3,29,87,0.49425287356321834
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,29,5,27,135,0.5259259259259259
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_1,36,1,31,31,0.16129032258064513
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,3,1,31,31,0.8387096774193549
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,7,4,28,112,0.33035714285714285
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,13,1,31,31,0.7741935483870968
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,16,27,5,135,0.5481481481481482
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,26,3,29,87,0.7241379310344829
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,29,5,27,135,0.39999999999999997
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_2,36,1,31,31,0.06451612903225812
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,3,1,31,31,0.7741935483870968
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,7,4,28,112,0.22321428571428575
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,13,1,31,31,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,16,27,5,135,0.31851851851851853
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,26,3,29,87,0.8045977011494252
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shift_3,29,5,27,135,0.4444444444444445
