task,failures,successes,mixed_states,checkpoint_sha12
libero_goal/open_the_middle_drawer_of_the_cabinet,0,512,0,98ee29d09d18
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,470,7,98ee29d09d18
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,216,296,13,cdc2b21f9ef6
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,500,8,1029d0827030
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,37,475,12,1029d0827030
