detector,bundle,name,cohort,alarms_any,alarms_in_window,tp,fp,recall,fpr,precision,task_prior,task_lift,suite_prior,suite_lift,is_baseline,tp_libero_goal,fp_libero_goal,recall_libero_goal,fpr_libero_goal,tp_libero_long,fp_libero_long,recall_libero_long,fpr_libero_long,tp_libero_object,fp_libero_object,recall_libero_object,fpr_libero_object,tp_libero_spatial,fp_libero_spatial,recall_libero_spatial,fpr_libero_spatial,shared_cohorts
moe-circuit-analogy-0906::circuit|dd_deficit|global,moe-circuit-analogy-0906,circuit|dd_deficit|global,external_8b,103,89,27,62,0.047872340425531915,0.004123437084330939,0.30337078651685395,0.21930555076432048,1.383324705916246,0.12307938414209707,2.4648383531608156,True,0,0,0.0,0.0,27,62,0.09854014598540146,0.016639828234031134,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|dd_deficit|per_task,moe-circuit-analogy-0906,circuit|dd_deficit|per_task,external_8b,112,39,30,9,0.05319148936170213,0.0005985634477254589,0.7692307692307693,0.6979249948505942,1.102168248603046,0.21044359319867612,3.6552824324024535,True,22,0,0.20754716981132076,0.0,8,9,0.029197080291970802,0.0024154589371980675,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|fiedler|global,moe-circuit-analogy-0906,circuit|fiedler|global,external_8b,21,11,8,3,0.014184397163120567,0.00019952114924181964,0.7272727272727273,0.6392981996658064,1.1376110986280106,0.37857152714443637,1.9210972699361275,True,0,0,0.0,0.0,8,3,0.029197080291970802,0.0008051529790660225,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|fiedler|per_task,moe-circuit-analogy-0906,circuit|fiedler|per_task,external_8b,80,46,38,8,0.0673758865248227,0.0005320563979781857,0.8260869565217391,0.6664945385120357,1.239450451261007,0.26976617622762267,3.062233257236465,True,24,1,0.22641509433962265,0.00025680534155110427,10,4,0.0364963503649635,0.0010735373054213634,0,2,0.0,0.0005624296962879641,4,1,0.02857142857142857,0.00025906735751295336,False
moe-circuit-analogy-0906::circuit|foster_residual|global,moe-circuit-analogy-0906,circuit|foster_residual|global,external_8b,1,0,0,0,0.0,0.0,,,,,,True,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|gap_ratio|global,moe-circuit-analogy-0906,circuit|gap_ratio|global,external_8b,54,32,17,15,0.030141843971631204,0.0009976057462090981,0.53125,0.5309637913054616,1.0005390361814217,0.16144666627426485,3.290560358165061,True,15,7,0.14150943396226415,0.0017976373908577298,2,6,0.0072992700729927005,0.001610305958132045,0,2,0.0,0.0005624296962879641,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|gap_ratio|per_task,moe-circuit-analogy-0906,circuit|gap_ratio|per_task,external_8b,53,33,17,16,0.030141843971631204,0.0010641127959563714,0.5151515151515151,0.48217793762478595,1.068384666642272,0.15055383671764547,3.421709644754191,True,12,3,0.11320754716981132,0.0007704160246533128,3,4,0.010948905109489052,0.0010735373054213634,0,8,0.0,0.0022497187851518562,2,1,0.014285714285714285,0.00025906735751295336,False
moe-circuit-analogy-0906::circuit|ground_leak_cv|global,moe-circuit-analogy-0906,circuit|ground_leak_cv|global,external_8b,25,17,8,9,0.014184397163120567,0.0005985634477254589,0.47058823529411764,0.2907454277855523,1.6185576463861493,0.20581150843185905,2.2865010750840593,True,0,2,0.0,0.0005136106831022085,8,7,0.029197080291970802,0.001878690284487386,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|ground_leak_cv|per_task,moe-circuit-analogy-0906,circuit|ground_leak_cv|per_task,external_8b,62,31,21,10,0.03723404255319149,0.0006650704974727321,0.6774193548387096,0.6153094422521234,1.1009409385288398,0.19362455242571766,3.498623218760418,True,17,2,0.16037735849056603,0.0005136106831022085,3,3,0.010948905109489052,0.0008051529790660225,0,0,0.0,0.0,1,5,0.007142857142857143,0.0012953367875647669,False
moe-circuit-analogy-0906::circuit|ground_leak_mean|global,moe-circuit-analogy-0906,circuit|ground_leak_mean|global,external_8b,41,19,12,7,0.02127659574468085,0.0004655493482309125,0.631578947368421,0.5789816620535876,1.0908444753297994,0.3398273704314742,1.8585287776158637,True,1,0,0.009433962264150943,0.0,11,7,0.040145985401459854,0.001878690284487386,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|ground_leak_mean|per_task,moe-circuit-analogy-0906,circuit|ground_leak_mean|per_task,external_8b,49,33,22,11,0.03900709219858156,0.0007315775472200053,0.6666666666666666,0.6516790572974611,1.022998451770661,0.16339365765837613,4.0801257296077855,True,19,2,0.1792452830188679,0.0005136106831022085,2,6,0.0072992700729927005,0.001610305958132045,1,1,0.022727272727272728,0.00028121484814398203,0,2,0.0,0.0005181347150259067,False
moe-circuit-analogy-0906::circuit|kirchhoff_efficiency|global,moe-circuit-analogy-0906,circuit|kirchhoff_efficiency|global,external_8b,71,42,21,21,0.03723404255319149,0.0013966480446927375,0.5,0.427351894085142,1.1699959843874803,0.15587108247479917,3.2077790957847405,True,14,10,0.1320754716981132,0.0025680534155110425,7,11,0.025547445255474453,0.0029522275899087494,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|kirchhoff_efficiency|per_task,moe-circuit-analogy-0906,circuit|kirchhoff_efficiency|per_task,external_8b,122,37,30,7,0.05319148936170213,0.0004655493482309125,0.8108108108108109,0.5788150641091817,1.4008115218263701,0.21174634776650086,3.8291607829992733,True,17,2,0.16037735849056603,0.0005136106831022085,11,3,0.040145985401459854,0.0008051529790660225,0,0,0.0,0.0,2,2,0.014285714285714285,0.0005181347150259067,False
moe-circuit-analogy-0906::circuit|lam_max|global,moe-circuit-analogy-0906,circuit|lam_max|global,external_8b,43,21,12,9,0.02127659574468085,0.0005985634477254589,0.5714285714285714,0.5224845616924944,1.0936755137367729,0.3155361703632302,1.8109764429566668,True,1,0,0.009433962264150943,0.0,11,9,0.040145985401459854,0.0024154589371980675,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|lam_max|per_task,moe-circuit-analogy-0906,circuit|lam_max|per_task,external_8b,50,33,22,11,0.03900709219858156,0.0007315775472200053,0.6666666666666666,0.6516790572974611,1.022998451770661,0.16991701894441552,3.923483773480933,True,19,2,0.1792452830188679,0.0005136106831022085,2,6,0.0072992700729927005,0.001610305958132045,1,1,0.022727272727272728,0.00028121484814398203,0,2,0.0,0.0005181347150259067,False
moe-circuit-analogy-0906::circuit|log_kirchhoff|global,moe-circuit-analogy-0906,circuit|log_kirchhoff|global,external_8b,20,9,5,4,0.008865248226950355,0.00026602819898909286,0.5555555555555556,0.3834430512016718,1.4488606686560117,0.16717989391129737,3.323100299670745,True,0,0,0.0,0.0,5,4,0.01824817518248175,0.0010735373054213634,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|log_kirchhoff|per_task,moe-circuit-analogy-0906,circuit|log_kirchhoff|per_task,external_8b,84,48,36,12,0.06382978723404255,0.0007980845969672786,0.75,0.5601875930732277,1.3388372203772816,0.21457332107663862,3.49530871888833,True,20,1,0.18867924528301888,0.00025680534155110427,13,0,0.04744525547445255,0.0,0,4,0.0,0.0011248593925759281,3,7,0.02142857142857143,0.0018134715025906736,False
moe-circuit-analogy-0906::circuit|log_spanning_trees|global,moe-circuit-analogy-0906,circuit|log_spanning_trees|global,external_8b,20,9,5,4,0.008865248226950355,0.00026602819898909286,0.5555555555555556,0.3834430512016718,1.4488606686560117,0.16717989391129737,3.323100299670745,True,0,0,0.0,0.0,5,4,0.01824817518248175,0.0010735373054213634,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|log_spanning_trees|per_task,moe-circuit-analogy-0906,circuit|log_spanning_trees|per_task,external_8b,83,47,36,11,0.06382978723404255,0.0007315775472200053,0.7659574468085106,0.5714149886705302,1.3404573943546847,0.2181201152920263,3.5116314044810673,True,20,1,0.18867924528301888,0.00025680534155110427,13,0,0.04744525547445255,0.0,0,4,0.0,0.0011248593925759281,3,6,0.02142857142857143,0.0015544041450777201,False
moe-circuit-analogy-0906::circuit|norm_fiedler|global,moe-circuit-analogy-0906,circuit|norm_fiedler|global,external_8b,44,17,15,2,0.026595744680851064,0.00013301409949454643,0.8823529411764706,0.8961764705882352,0.9845749917952085,0.19017510724813735,4.639686833593794,True,15,0,0.14150943396226415,0.0,0,2,0.0,0.0005367686527106817,0,0,0.0,0.0,0,0,0.0,0.0,False
moe-circuit-analogy-0906::circuit|norm_fiedler|per_task,moe-circuit-analogy-0906,circuit|norm_fiedler|per_task,external_8b,188,69,47,22,0.08333333333333333,0.0014631550944400106,0.6811594202898551,0.47603085615429336,1.4309144280955488,0.14457531828889522,4.711450255490634,True,27,4,0.25471698113207547,0.001027221366204417,17,12,0.06204379562043796,0.00322061191626409,0,0,0.0,0.0,3,6,0.02142857142857143,0.0015544041450777201,False
