ext_fp_target,single_tp,single_tp,or_pair_tp,or_pair_tp,best_tp,best_tp
,mean,std,mean,std,mean,std
100,9.8,1.3038404810405297,13.6,1.140175425099138,19.0,2.8284271247461903
200,21.4,5.272570530585627,24.2,3.271085446759225,30.8,2.280350850198276
400,28.6,2.7928480087537886,39.6,4.449719092257397,52.2,4.438468204234429
600,35.8,3.1144823004794877,50.0,5.612486080160913,66.0,3.8729833462074166
800,58.0,8.276472678623424,68.6,4.449719092257398,80.8,2.4899799195977455
1000,66.4,4.7222875812470395,82.6,2.701851217221259,99.0,2.449489742783178
1500,104.2,10.616025621672168,116.0,5.4313902456001095,136.2,6.05805249234438
2000,135.6,8.23407554009556,154.0,6.3639610306789285,165.2,2.5884358211089573
3000,178.8,8.197560612767683,213.8,4.43846820423443,218.0,6.0
5000,228.2,6.016643582596528,303.0,8.306623862918077,317.0,10.173494974687902
