cohort,arm,field,value,n_risk,n_uncaught,uncaught_share,share_of_all_uncaught
external_8b,families@0.005,physical_mode,object_moved_but_goal_unmet,89,25,0.2808988764044944,0.16339869281045752
external_8b,families@0.005,physical_mode,object_released_or_dropped_before_goal,241,86,0.35684647302904565,0.5620915032679739
external_8b,families@0.005,physical_mode,object_released_outside_goal,25,3,0.12,0.0196078431372549
external_8b,families@0.005,physical_mode,stable_grasp_not_observed,143,32,0.22377622377622378,0.20915032679738563
external_8b,families@0.005,physical_mode,timeout_while_holding_target,23,2,0.08695652173913043,0.013071895424836602
external_8b,families@0.005,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,51,28,0.5490196078431373,0.1830065359477124
external_8b,families@0.005,task,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_bowl_on_the_plate,18,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_bowl_on_the_stove,9,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_cream_cheese_in_the_bowl,9,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_wine_bottle_on_the_rack,1,0,0.0,0.0
external_8b,families@0.005,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,0.0,0.0
external_8b,families@0.005,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,1,0.25,0.006535947712418301
external_8b,families@0.005,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,0,0.0,0.0
external_8b,families@0.005,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,1,1.0,0.006535947712418301
external_8b,families@0.005,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,151,29,0.19205298013245034,0.1895424836601307
external_8b,families@0.005,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,2,0.06666666666666667,0.013071895424836602
external_8b,families@0.005,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,10,1,0.1,0.006535947712418301
