arm,suite,similarity,cut,n_detectors,n_families_observed,n_families_null,largest_family_observed,largest_family_null,within_sim_observed,between_sim_observed,within_sim_null,between_sim_null
development_shared419,pooled,jaccard,0.2,411,41,390,60,12,0.3618567883968353,0.03997262194752693,0.37587353587150574,0.006286527495831251
development_shared419,pooled,jaccard,0.3,411,62,398,31,10,0.5141375660896301,0.04694065824151039,0.5423516631126404,0.006486575119197369
development_shared419,pooled,jaccard,0.4,411,95,403,18,9,0.6589677333831787,0.05088185891509056,0.6343088150024414,0.006549071986228228
development_shared419,pooled,jaccard,0.5,411,120,404,14,8,0.7407117486000061,0.05255847051739693,0.678676426410675,0.0065939477644860744
development_shared419,pooled,jaccard,0.6,411,158,405,14,7,0.8074802756309509,0.05403338372707367,0.7230329513549805,0.006638741120696068
development_shared419,pooled,jaccard,0.7,411,202,407,10,5,0.8895881772041321,0.05559132248163223,0.7782725095748901,0.006725724320858717
development_shared419,pooled,jaccard,0.8,411,254,409,10,3,0.94200199842453,0.05668901652097702,0.8308272361755371,0.006787956692278385
development_shared419,pooled,excess_jaccard,0.2,411,42,396,60,11,0.3610123097896576,0.036609333008527756,0.366399347782135,0.003094166051596403
development_shared419,pooled,excess_jaccard,0.3,411,65,403,31,9,0.5081315040588379,0.043199025094509125,0.4802336096763611,0.0031749210320413113
development_shared419,pooled,excess_jaccard,0.4,411,98,404,18,8,0.6476891040802002,0.046973686665296555,0.5151852369308472,0.0032086134888231754
development_shared419,pooled,excess_jaccard,0.5,411,125,406,14,6,0.7387610673904419,0.04883059859275818,0.5758288502693176,0.003276824252679944
development_shared419,pooled,excess_jaccard,0.6,411,174,409,14,3,0.821863055229187,0.05053696036338806,0.6651021242141724,0.0033551938831806183
development_shared419,pooled,excess_jaccard,0.7,411,213,411,10,1,0.8924711346626282,0.051799412816762924,,0.00337875634431839
development_shared419,pooled,excess_jaccard,0.8,411,262,411,10,1,0.9430899620056152,0.05280477553606033,,0.00337875634431839
development_shared419,pooled,overlap,0.2,411,2,266,313,55,0.3993830680847168,0.17694485187530518,0.322929710149765,0.051179174333810806
development_shared419,pooled,overlap,0.3,411,5,301,137,31,0.6162423491477966,0.20097598433494568,0.45250892639160156,0.05410955101251602
development_shared419,pooled,overlap,0.4,411,7,337,125,24,0.6791186332702637,0.2143920361995697,0.5996726751327515,0.05577019229531288
development_shared419,pooled,overlap,0.5,411,9,351,125,21,0.7559353709220886,0.2284422665834427,0.6680974364280701,0.05636296421289444
development_shared419,pooled,overlap,0.6,411,11,364,68,17,0.8410069942474365,0.2509938180446625,0.7218170762062073,0.05690532550215721
development_shared419,pooled,overlap,0.7,411,16,377,68,10,0.9075695872306824,0.2627560496330261,0.8020491003990173,0.057596247643232346
development_shared419,pooled,overlap,0.8,411,20,390,47,4,0.9747149348258972,0.2758945822715759,0.9526652693748474,0.05802880972623825
development_shared419,pooled,excess_overlap,0.2,411,3,277,177,31,0.5123615860939026,0.15684950351715088,0.31548500061035156,0.02553134225308895
development_shared419,pooled,excess_overlap,0.3,411,6,321,137,22,0.6213794946670532,0.1730373203754425,0.4332238435745239,0.02705269493162632
development_shared419,pooled,excess_overlap,0.4,411,9,350,124,17,0.7197090983390808,0.19208073616027832,0.5253403782844543,0.027801040560007095
development_shared419,pooled,excess_overlap,0.5,411,9,363,124,10,0.7197090983390808,0.19208073616027832,0.6042599678039551,0.028319941833615303
development_shared419,pooled,excess_overlap,0.6,411,15,383,72,3,0.836118221282959,0.21898595988750458,0.7689293622970581,0.02871260792016983
development_shared419,pooled,excess_overlap,0.7,411,20,395,68,2,0.8631042242050171,0.2247757762670517,0.8706461191177368,0.028816303238272667
development_shared419,pooled,excess_overlap,0.8,411,30,399,47,2,0.9477876424789429,0.2428411990404129,0.916266918182373,0.028849778696894646
development_shared419,libero_goal,excess_overlap,0.5,315,5,288,133,3,0.7690050601959229,0.34165626764297485,0.7626770734786987,0.01267456728965044
development_shared419,libero_long,excess_overlap,0.5,386,17,337,87,3,0.7396326661109924,0.18658044934272766,0.7117397785186768,0.021021563559770584
development_shared419,libero_object,excess_overlap,0.5,232,14,187,63,4,0.8166984915733337,0.1699300855398178,0.8432502746582031,0.013150930404663086
development_shared419,libero_spatial,excess_overlap,0.5,254,20,210,74,3,0.7873547077178955,0.14639553427696228,0.8150642514228821,0.016554957255721092
external_shared419,pooled,jaccard,0.2,414,44,388,47,16,0.3866124749183655,0.04045061022043228,0.34224385023117065,0.006707629654556513
external_shared419,pooled,jaccard,0.3,414,67,397,37,11,0.5284496545791626,0.045777056366205215,0.4588299095630646,0.0069989790208637714
external_shared419,pooled,jaccard,0.4,414,96,404,18,9,0.6397390961647034,0.04918474704027176,0.5960678458213806,0.007168995216488838
external_shared419,pooled,jaccard,0.5,414,124,407,14,8,0.7289644479751587,0.05129990726709366,0.647027313709259,0.007228097878396511
external_shared419,pooled,jaccard,0.6,414,161,408,12,7,0.8148705959320068,0.05311214551329613,0.6761115193367004,0.007273351773619652
external_shared419,pooled,jaccard,0.7,414,201,411,12,4,0.886371910572052,0.054464612156152725,0.7504042983055115,0.007385497447103262
external_shared419,pooled,jaccard,0.8,414,259,413,10,2,0.9520314335823059,0.05577240511775017,0.8596179485321045,0.00742767658084631
external_shared419,pooled,excess_jaccard,0.2,414,46,396,47,11,0.38967832922935486,0.03660600259900093,0.3215249478816986,0.003029197221621871
external_shared419,pooled,excess_jaccard,0.3,414,72,406,37,9,0.5301704406738281,0.04171869903802872,0.4540484845638275,0.0031783566810190678
external_shared419,pooled,excess_jaccard,0.4,414,100,407,18,8,0.6308095455169678,0.044842299073934555,0.4806981384754181,0.003211830509826541
external_shared419,pooled,excess_jaccard,0.5,414,133,410,14,5,0.7255082130432129,0.046946052461862564,0.5565788149833679,0.0033034991938620806
external_shared419,pooled,excess_jaccard,0.6,414,174,413,12,2,0.8241079449653625,0.04889388754963875,0.705115795135498,0.0033600081223994493
external_shared419,pooled,excess_jaccard,0.7,414,213,413,12,2,0.890093207359314,0.050033606588840485,0.705115795135498,0.0033600081223994493
external_shared419,pooled,excess_jaccard,0.8,414,268,414,10,1,0.9523365497589111,0.05118203163146973,,0.0033682165667414665
external_shared419,pooled,overlap,0.2,414,2,252,315,65,0.40651294589042664,0.18089474737644196,0.3234487771987915,0.05131850764155388
external_shared419,pooled,overlap,0.3,414,4,298,144,37,0.6001436114311218,0.20934821665287018,0.4217609465122223,0.054810523986816406
external_shared419,pooled,overlap,0.4,414,6,330,138,23,0.6515184640884399,0.21967589855194092,0.5333541035652161,0.05734481289982796
