arm,ext_fp,ext_tp,ext_recall,oracle419_lower,oracle419_upper,oracle622_lower,oracle622_upper,n_risks,honesty_gap_419_lower,honesty_gap_419_upper,honesty_gap_622_lower,honesty_gap_622_upper
family_union@0.002,195,289,0.5124113475177305,279.0,348.0,321.0,401.0,564,-10.0,59.0,32.0,112.0
dev_greedy8@0.002,275,320,0.5673758865248227,348.0,420.0,401.0,473.0,564,28.0,100.0,81.0,153.0
family_union@0.005,434,411,0.7287234042553191,420.0,448.0,473.0,494.0,564,9.0,37.0,62.0,83.0
dev_greedy8@0.005,546,427,0.7570921985815603,420.0,448.0,473.0,494.0,564,-7.0,21.0,46.0,67.0
family_union@0.01,870,443,0.7854609929078015,466.0,484.0,504.0,516.0,564,23.0,41.0,61.0,73.0
dev_greedy8@0.01,852,463,0.8209219858156028,466.0,484.0,504.0,516.0,564,3.0,21.0,41.0,53.0
family_union@0.02,1676,476,0.8439716312056738,518.0,529.0,531.0,541.0,564,42.0,53.0,55.0,65.0
dev_greedy8@0.02,1674,511,0.9060283687943262,518.0,529.0,531.0,541.0,564,7.0,18.0,20.0,30.0
family_union@0.0543,4117,531,0.9414893617021277,542.0,560.0,551.0,561.0,564,11.0,29.0,20.0,30.0
dev_greedy8@0.0543,4457,540,0.9574468085106383,542.0,560.0,551.0,561.0,564,2.0,20.0,11.0,21.0
family_union@0.1,6618,545,0.9663120567375887,560.0,,561.0,,564,15.0,,16.0,
dev_greedy8@0.1,4873,554,0.9822695035460993,542.0,560.0,551.0,561.0,564,-12.0,6.0,-3.0,7.0
family_union@0.2,10778,562,0.9964539007092199,560.0,,561.0,,564,-2.0,,-1.0,
dev_greedy8@0.2,7414,562,0.9964539007092199,560.0,,561.0,,564,-2.0,,-1.0,
family_union@1.0,11914,563,0.99822695035461,560.0,,561.0,,564,-3.0,,-2.0,
dev_greedy8@1.0,7568,561,0.9946808510638298,560.0,,561.0,,564,-1.0,,0.0,
