cohort,budget,family,n_sole_catches,share_of_sole,detector
external_8b,0.0543,2,24,0.25263157894736843,moe-combination-rules-0906::partial_edge_std|global|0.75
external_8b,0.0543,3,17,0.17894736842105263,moe-combination-rules-0906::flow_path|global|0.85
external_8b,0.0543,4,14,0.14736842105263157,moe-combination-rules-0906::flow_path|per_task|0.5
external_8b,0.0543,9,7,0.07368421052631578,moe-failure-modes-0906::v7_guard|task_agnostic
external_8b,0.0543,7,2,0.021052631578947368,moe-combination-rules-0906::conditional_energy|per_task|0.6
external_8b,0.0543,8,1,0.010526315789473684,moe-combination-rules-0906::flow_settling_log_ratio|global|0.7
external_8b,0.0543,1,1,0.010526315789473684,moe-combination-rules-0906::state_action_alignment|global|0.75
development_main,0.1,4,26,0.4727272727272727,moe-combination-rules-0906::flow_endpoint|per_task|0.5
development_main,0.1,9,10,0.18181818181818182,moe-combination-rules-0906::mobility|global|0.6
development_main,0.1,5,7,0.12727272727272726,moe-combination-rules-0906::expert_load_effective_rank|global|0.7
development_main,0.1,3,6,0.10909090909090909,moe-combination-rules-0906::flow_path|global|0.8
development_main,0.1,8,4,0.07272727272727272,moe-combination-rules-0906::flow_settling_log_ratio|global|0.6
development_main,0.1,2,1,0.01818181818181818,moe-combination-rules-0906::conditional_query_d1|global|0.6
development_main,0.1,7,1,0.01818181818181818,moe-combination-rules-0906::state_action_alignment|per_task|0.5
external_8b,0.1,4,28,0.36363636363636365,moe-combination-rules-0906::flow_endpoint|per_task|0.5
external_8b,0.1,5,19,0.24675324675324675,moe-combination-rules-0906::expert_load_effective_rank|global|0.7
external_8b,0.1,9,14,0.18181818181818182,moe-combination-rules-0906::mobility|global|0.6
external_8b,0.1,3,8,0.1038961038961039,moe-combination-rules-0906::flow_path|global|0.8
external_8b,0.1,8,4,0.05194805194805195,moe-combination-rules-0906::flow_settling_log_ratio|global|0.6
external_8b,0.1,2,3,0.03896103896103896,moe-combination-rules-0906::conditional_query_d1|global|0.6
external_8b,0.1,7,1,0.012987012987012988,moe-combination-rules-0906::state_action_alignment|per_task|0.5
development_main,0.2,9,7,0.5,moe-combination-rules-0906::mobility|global|0.5
development_main,0.2,8,2,0.14285714285714285,moe-combination-rules-0906::flow_settling_log_ratio|global|0.5
