arm,cohort,suite,partition,n_methods,n_episodes,n_flagged_union,sum_of_sets,concentration,concentration_null,concentration_null_sd,concentration_null_within,concentration_null_within_sd,excess_over_null,excess_over_null_within,mean_votes_given_flagged,share_flagged_by_exactly_one
families@0.002,development_main,pooled,risk,9,487,257,461,1.793774319066148,1.0190707797152836,0.028731104767322015,1.4783882887289348,0.02940116698246756,0.7747035393508643,0.31538603033721313,1.793774319066148,0.5525291828793775
families@0.002,development_main,pooled,safe,9,14313,152,183,1.2039473684210527,1.018869669534576,0.0056140710065695106,1.0055811889434576,0.005637079386611505,0.18507769888647663,0.19836617947759505,1.2039473684210527,0.8552631578947368
families@0.002,development_main,libero_goal,risk,9,102,57,149,2.6140350877192984,1.0137626262626265,0.058665942521687685,1.7483949406585015,0.05952045637333201,1.600272461456672,0.8656401470607968,2.6140350877192984,0.24561403508771928
families@0.002,development_main,libero_goal,safe,9,3898,11,15,1.3636363636363635,1.0162332230479822,0.010440127550921807,1.0014285714285713,0.009999999999999997,0.3474031405883813,0.3622077922077922,1.3636363636363635,0.8181818181818182
families@0.002,development_main,libero_long,risk,9,222,137,223,1.6277372262773722,1.0479781772740904,0.04367136038803174,1.4823238076313316,0.042933361763066884,0.5797590490032818,0.14541341864604052,1.6277372262773722,0.6277372262773723
families@0.002,development_main,libero_long,safe,9,2578,95,121,1.2736842105263158,1.0517673036137223,0.012506016697257729,1.0212402914457868,0.01388543254623327,0.22191690691259347,0.252443919080529,1.2736842105263158,0.8
families@0.002,development_main,libero_object,risk,9,37,17,20,1.1764705882352942,1.0,0.0,1.2042861348318004,0.09854436485376292,0.17647058823529416,-0.027815546596506202,1.1764705882352942,0.8235294117647058
families@0.002,development_main,libero_object,safe,9,3963,23,23,1.0,1.0040856562137048,0.009368561093386043,1.0027489177489177,0.011878581996878008,-0.004085656213704825,-0.002748917748917723,1.0,1.0
families@0.002,development_main,libero_spatial,risk,9,126,46,69,1.5,1.0067901234567902,0.04177903067237938,1.1966461544809226,0.04540259334687839,0.4932098765432098,0.3033538455190774,1.5,0.6086956521739131
families@0.002,development_main,libero_spatial,safe,9,3874,23,24,1.0434782608695652,1.0083727306138572,0.010362312811598912,1.0028260869565218,0.010718515683148733,0.03510553025570795,0.04065217391304343,1.0434782608695652,0.9565217391304348
families@0.002,external_8b,pooled,risk,9,564,289,553,1.9134948096885813,1.0206826508533704,0.030481164953538812,1.4928267554029304,0.02761864948047072,0.8928121588352109,0.4206680542856509,1.9134948096885813,0.47750865051903113
families@0.002,external_8b,pooled,safe,9,15036,195,261,1.3384615384615384,1.0224518657102537,0.0053942382011399805,1.0073797297509015,0.00524700553516993,0.31600967275128466,0.33108180871063686,1.3384615384615384,0.764102564102564
families@0.002,external_8b,libero_goal,risk,9,106,57,170,2.982456140350877,1.0149038845018743,0.06137034481910668,1.8419476881392136,0.053104710536895444,1.9675522558490028,1.1405084522116635,2.982456140350877,0.12280701754385964
families@0.002,external_8b,libero_goal,safe,9,3894,8,13,1.625,1.018267076616848,0.009430016130540222,1.0,0.0,0.606732923383152,0.625,1.625,0.75
families@0.002,external_8b,libero_long,risk,9,274,168,292,1.7380952380952381,1.0479062651395625,0.043986887249369964,1.5248870936332974,0.03914555356310712,0.6901889729556756,0.2132081444619407,1.7380952380952381,0.5357142857142857
