cohort,suite,family_a,family_b,tp_jaccard,fp_jaccard,tp_a,tp_b,fp_a,fp_b,union_tp,union_fp,and_tp,and_fp,marginal_tp_over_better,marginal_fp_over_better,exchange_rate_tp_per_fp
development_main,pooled,1,2,0.21656050955414013,0.05128205128205128,56,135,70,94,157,156,34,8,22,62,0.3548387096774194
development_main,pooled,1,3,0.03731343283582089,0.03048780487804878,56,83,70,99,134,164,5,5,51,65,0.7846153846153846
development_main,pooled,1,4,0.09467455621301775,0.024154589371980676,56,129,70,142,169,207,16,5,40,65,0.6153846153846154
development_main,pooled,1,5,0.07239819004524888,0.0273224043715847,56,181,70,118,221,183,16,5,40,65,0.6153846153846154
development_main,pooled,1,6,0.12612612612612611,0.04093567251461988,56,69,70,108,111,171,14,7,42,63,0.6666666666666666
development_main,pooled,1,7,0.0963855421686747,0.0,56,35,70,83,83,153,8,0,27,83,0.3253012048192771
development_main,pooled,1,8,0.01639344262295082,0.005128205128205128,56,6,70,126,61,195,1,1,5,125,0.04
development_main,pooled,1,9,0.15463917525773196,0.05217391304347826,56,168,70,51,194,115,30,6,26,64,0.40625
development_main,pooled,2,3,0.023474178403755867,0.005208333333333333,135,83,94,99,213,192,5,1,78,98,0.7959183673469388
development_main,pooled,2,4,0.07755102040816327,0.008547008547008548,135,129,94,142,245,234,19,2,110,140,0.7857142857142857
development_main,pooled,2,5,0.1048951048951049,0.019230769230769232,135,181,94,118,286,208,30,4,105,90,1.1666666666666667
development_main,pooled,2,6,0.1724137931034483,0.046632124352331605,135,69,94,108,174,193,30,9,39,99,0.3939393939393939
development_main,pooled,2,7,0.036585365853658534,0.0,135,35,94,83,164,177,6,0,29,83,0.3493975903614458
development_main,pooled,2,8,0.007142857142857143,0.0,135,6,94,126,140,220,1,0,5,126,0.03968253968253968
development_main,pooled,2,9,0.4027777777777778,0.058394160583941604,135,168,94,51,216,137,87,8,48,86,0.5581395348837209
development_main,pooled,3,4,0.1977401129943503,0.07589285714285714,83,129,99,142,177,224,35,17,48,82,0.5853658536585366
development_main,pooled,3,5,0.17333333333333334,0.05339805825242718,83,181,99,118,225,206,39,11,44,88,0.5
development_main,pooled,3,6,0.14285714285714285,0.07253886010362694,83,69,99,108,133,193,19,14,50,94,0.5319148936170213
development_main,pooled,3,7,0.03508771929824561,0.0055248618784530384,83,35,99,83,114,181,4,1,31,82,0.3780487804878049
development_main,pooled,3,8,0.011363636363636364,0.008968609865470852,83,6,99,126,88,223,1,2,5,124,0.04032258064516129
