arm,cohort,suite,k,tp,fp,recall,fpr,precision,fp_removed_vs_k1,fp_removed_that_were_idiosyncratic,share_of_removed_fp_idiosyncratic,tp_lost_vs_k1,fp_removed_per_tp_lost
families@0.002,development_main,pooled,1,257,152,0.5277207392197125,0.010619716341787187,0.628361858190709,0,0,,0,inf
families@0.002,development_main,pooled,2,115,22,0.23613963039014374,0.001537064207363935,0.8394160583941606,130,130,1.0,142,0.9154929577464789
families@0.002,development_main,pooled,3,64,7,0.13141683778234087,0.000489065884161252,0.9014084507042254,145,130,0.896551724137931,193,0.7512953367875648
families@0.002,development_main,pooled,4,19,2,0.039014373716632446,0.00013973310976035772,0.9047619047619048,150,130,0.8666666666666667,238,0.6302521008403361
families@0.002,development_main,pooled,5,5,0,0.01026694045174538,0.0,1.0,152,130,0.8552631578947368,252,0.6031746031746031
families@0.002,development_main,pooled,6,1,0,0.002053388090349076,0.0,1.0,152,130,0.8552631578947368,256,0.59375
families@0.002,development_main,pooled,7,0,0,0.0,0.0,,152,130,0.8552631578947368,257,0.5914396887159533
families@0.002,development_main,pooled,8,0,0,0.0,0.0,,152,130,0.8552631578947368,257,0.5914396887159533
families@0.002,development_main,pooled,9,0,0,0.0,0.0,,152,130,0.8552631578947368,257,0.5914396887159533
families@0.002,development_main,libero_goal,1,57,11,0.5588235294117647,0.0028219599794766545,0.8382352941176471,0,0,,0,inf
families@0.002,development_main,libero_goal,2,43,2,0.4215686274509804,0.000513083632632119,0.9555555555555556,9,9,1.0,14,0.6428571428571429
families@0.002,development_main,libero_goal,3,31,1,0.30392156862745096,0.0002565418163160595,0.96875,10,9,0.9,26,0.38461538461538464
families@0.002,development_main,libero_goal,4,15,1,0.14705882352941177,0.0002565418163160595,0.9375,10,9,0.9,42,0.23809523809523808
families@0.002,development_main,libero_goal,5,3,0,0.029411764705882353,0.0,1.0,11,9,0.8181818181818182,54,0.2037037037037037
families@0.002,development_main,libero_goal,6,0,0,0.0,0.0,,11,9,0.8181818181818182,57,0.19298245614035087
families@0.002,development_main,libero_goal,7,0,0,0.0,0.0,,11,9,0.8181818181818182,57,0.19298245614035087
families@0.002,development_main,libero_goal,8,0,0,0.0,0.0,,11,9,0.8181818181818182,57,0.19298245614035087
families@0.002,development_main,libero_goal,9,0,0,0.0,0.0,,11,9,0.8181818181818182,57,0.19298245614035087
families@0.002,development_main,libero_long,1,137,95,0.6171171171171171,0.036850271528316526,0.5905172413793104,0,0,,0,inf
families@0.002,development_main,libero_long,2,51,19,0.22972972972972974,0.007370054305663305,0.7285714285714285,76,76,1.0,86,0.8837209302325582
families@0.002,development_main,libero_long,3,28,6,0.12612612612612611,0.0023273855702094647,0.8235294117647058,89,76,0.8539325842696629,109,0.8165137614678899
families@0.002,development_main,libero_long,4,4,1,0.018018018018018018,0.0003878975950349108,0.8,94,76,0.8085106382978723,133,0.706766917293233
families@0.002,development_main,libero_long,5,2,0,0.009009009009009009,0.0,1.0,95,76,0.8,135,0.7037037037037037
families@0.002,development_main,libero_long,6,1,0,0.0045045045045045045,0.0,1.0,95,76,0.8,136,0.6985294117647058
families@0.002,development_main,libero_long,7,0,0,0.0,0.0,,95,76,0.8,137,0.6934306569343066
families@0.002,development_main,libero_long,8,0,0,0.0,0.0,,95,76,0.8,137,0.6934306569343066
