arm,budget,n_methods,dev_tp,dev_fp,ext_tp,ext_fp,ext_recall,ext_fpr,ext_precision,members
family_union@0.002,0.002,9,257,152,289,195,0.5124113475177305,0.012968874700718277,0.5971074380165289,moe-combination-rules-0906::conditional_energy|global|0.95 | moe-combination-rules-0906::conditional_query_d1|global|0.95 | moe-combination-rules-0906::flow_path|global|0.975 | moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.95 | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.9 | moe-failure-modes-0906::v7_turbulence|task_agnostic | moe-combination-rules-0906::conditional_energy|per_task|0.925 | moe-combination-rules-0906::flow_settling_log_ratio|global|0.9 | moe-combination-rules-0906::mobility|per_task|0.7
dev_greedy8@0.002,0.002,8,281,143,320,275,0.5673758865248227,0.018289438680500134,0.5378151260504201,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.9 | moe-two-tier-0906::conditional_query_d1|global | moe-combination-rules-0906::flow_path|global|0.975 | moe-two-tier-0906::mobility|per_task | moe-combination-rules-0906::partial_edge_std|global|0.925 | moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.95 | moe-two-tier-0906::flow_endpoint|per_task | moe-two-tier-0906::expert_load_effective_rank|global
family_union@0.005,0.005,9,361,382,411,434,0.7287234042553191,0.028864059590316574,0.4863905325443787,moe-combination-rules-0906::conditional_energy|global|0.9 | moe-combination-rules-0906::conditional_query_d1|global|0.925 | moe-combination-rules-0906::flow_path|global|0.95 | moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.85 | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.8 | moe-failure-modes-0906::v7_turbulence|task_agnostic | moe-combination-rules-0906::state_action_alignment|per_task|0.9 | moe-combination-rules-0906::flow_settling_log_ratio|global|0.85 | moe-failure-modes-0906::v7_guard|task_agnostic
dev_greedy8@0.005,0.005,8,381,327,427,546,0.7570921985815603,0.036312849162011177,0.43884892086330934,moe-v7-0905::guard | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.8 | moe-combination-rules-0906::conditional_query_d1|global|0.925 | moe-combination-rules-0906::flow_path|global|0.95 | moe-two-tier-0906::flow_settling_log_ratio|per_task | moe-combination-rules-0906::expert_load_effective_rank|global|0.9 | moe-two-tier-0906::partial_edge_std|global | moe-combination-rules-0906::mobility|per_task|0.6
family_union@0.01,0.01,9,389,734,443,870,0.7854609929078015,0.057861133280127694,0.3373952779893374,moe-combination-rules-0906::conditional_energy|global|0.9 | moe-combination-rules-0906::conditional_query_d1|global|0.9 | moe-combination-rules-0906::flow_path|global|0.925 | moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.7 | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.7 | moe-failure-modes-0906::v7_acceleration|task_agnostic | moe-combination-rules-0906::conditional_energy|per_task|0.85 | moe-combination-rules-0906::flow_settling_log_ratio|global|0.8 | moe-failure-modes-0906::v7_guard|task_agnostic
dev_greedy8@0.01,0.01,8,407,545,463,852,0.8209219858156028,0.05666400638467677,0.3520912547528517,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.7 | moe-combination-rules-0906::conditional_query_d1|global|0.9 | moe-v7-0905::guard | moe-combination-rules-0906::flow_path|global|0.925 | moe-combination-rules-0906::expert_load_effective_rank|global|0.85 | moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.7 | moe-two-tier-0906::partial_edge_std|global | moe-combination-rules-0906::mobility|per_task|0.6
family_union@0.02,0.02,9,416,1408,476,1676,0.8439716312056738,0.1114658153764299,0.2211895910780669,moe-combination-rules-0906::state_action_alignment|global|0.85 | moe-combination-rules-0906::conditional_query_d1|global|0.8 | moe-combination-rules-0906::flow_path|global|0.9 | moe-combination-rules-0906::flow_path|per_task|0.75 | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.6 | moe-failure-modes-0906::v7_acceleration|task_agnostic | moe-combination-rules-0906::conditional_energy|per_task|0.75 | moe-combination-rules-0906::flow_settling_log_ratio|global|0.8 | moe-failure-modes-0906::v7_guard|task_agnostic
dev_greedy8@0.02,0.02,8,438,1141,511,1674,0.9060283687943262,0.11133280127693536,0.23386727688787184,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.6 | moe-combination-rules-0906::conditional_query_d1|global|0.8 | moe-combination-rules-0906::flow_path|global|0.9 | moe-v7-0905::freeze | moe-combination-rules-0906::expert_load_effective_rank|global|0.8 | moe-combination-rules-0906::flow_endpoint|per_task|0.8 | moe-combination-rules-0906::mobility|per_task|0.6 | moe-combination-rules-0906::partial_edge_std|global|0.85
family_union@0.0543,0.0543,9,454,3178,531,4117,0.9414893617021277,0.27380952380952384,0.11424268502581755,moe-combination-rules-0906::state_action_alignment|global|0.75 | moe-combination-rules-0906::partial_edge_std|global|0.75 | moe-combination-rules-0906::flow_path|global|0.85 | moe-combination-rules-0906::flow_path|per_task|0.5 | moe-combination-rules-0906::expert_load_effective_rank|per_task|0.5 | moe-failure-modes-0906::v7_acceleration|task_agnostic | moe-combination-rules-0906::conditional_energy|per_task|0.6 | moe-combination-rules-0906::flow_settling_log_ratio|global|0.7 | moe-failure-modes-0906::v7_guard|task_agnostic
dev_greedy8@0.0543,0.0543,8,470,3387,540,4457,0.9574468085106383,0.2964219207235967,0.10806483890334201,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.5 | moe-combination-rules-0906::partial_edge_std|global|0.75 | moe-combination-rules-0906::flow_endpoint|per_task|0.6 | moe-combination-rules-0906::expert_load_effective_rank|global|0.75 | moe-combination-rules-0906::mobility|global|0.9 | moe-combination-rules-0906::flow_endpoint|global|0.85 | moe-combination-rules-0906::flow_path|per_task|0.5 | moe-combination-rules-0906::conditional_energy|per_task|0.6
