budget,family,detector,dev_tp,dev_fp,dev_recall,dev_fpr,n_members_in_budget
0.002,1,moe-combination-rules-0906::conditional_energy|global|0.95,17,10,0.03490759753593429,0.0006986655488017886,18
0.002,2,moe-combination-rules-0906::conditional_query_d1|global|0.95,77,26,0.15811088295687886,0.0018165304268846503,32
0.002,3,moe-combination-rules-0906::flow_path|global|0.975,41,25,0.08418891170431211,0.0017466638720044715,14
0.002,4,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.95,71,23,0.1457905544147844,0.0016069307622441137,23
0.002,5,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.9,112,23,0.2299794661190965,0.0016069307622441137,18
0.002,6,moe-failure-modes-0906::v7_turbulence|task_agnostic,37,12,0.07597535934291581,0.0008383986585621463,2
0.002,7,moe-combination-rules-0906::conditional_energy|per_task|0.925,26,24,0.053388090349075976,0.0016767973171242926,20
0.002,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.9,4,13,0.008213552361396304,0.0009082652134423251,7
0.002,9,moe-combination-rules-0906::mobility|per_task|0.7,76,27,0.15605749486652978,0.0018863969817648292,76
0.005,1,moe-combination-rules-0906::conditional_energy|global|0.9,56,70,0.11498973305954825,0.00489065884161252,22
0.005,2,moe-combination-rules-0906::conditional_query_d1|global|0.925,116,57,0.23819301848049282,0.0039823936281701946,39
0.005,3,moe-combination-rules-0906::flow_path|global|0.95,63,61,0.1293634496919918,0.00426185984769091,18
0.005,4,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.85,105,58,0.21560574948665298,0.004052260183050374,43
0.005,5,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.8,157,64,0.32238193018480493,0.004471459512331447,24
0.005,6,moe-failure-modes-0906::v7_turbulence|task_agnostic,37,12,0.07597535934291581,0.0008383986585621463,2
0.005,7,moe-combination-rules-0906::state_action_alignment|per_task|0.9,30,34,0.061601642710472276,0.0023754628659260813,22
0.005,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.85,5,49,0.01026694045174538,0.003423461189128764,8
0.005,9,moe-failure-modes-0906::v7_guard|task_agnostic,168,51,0.34496919917864477,0.0035631942988891218,92
0.01,1,moe-combination-rules-0906::conditional_energy|global|0.9,56,70,0.11498973305954825,0.00489065884161252,22
0.01,2,moe-combination-rules-0906::conditional_query_d1|global|0.9,135,94,0.27720739219712526,0.006567456158736813,40
0.01,3,moe-combination-rules-0906::flow_path|global|0.925,83,99,0.1704312114989733,0.006916788933137707,20
0.01,4,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.7,129,142,0.2648870636550308,0.009921050792985399,50
0.01,5,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.7,181,118,0.37166324435318276,0.008244253475861106,27
0.01,6,moe-failure-modes-0906::v7_acceleration|task_agnostic,69,108,0.14168377823408623,0.007545587927059317,4
0.01,7,moe-combination-rules-0906::conditional_energy|per_task|0.85,35,83,0.07186858316221766,0.005798924055054846,24
0.01,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.8,6,126,0.012320328542094456,0.008803185914902536,9
0.01,9,moe-failure-modes-0906::v7_guard|task_agnostic,168,51,0.34496919917864477,0.0035631942988891218,99
0.02,1,moe-combination-rules-0906::state_action_alignment|global|0.85,84,223,0.17248459958932238,0.015580241738279885,24
0.02,2,moe-combination-rules-0906::conditional_query_d1|global|0.8,169,282,0.3470225872689938,0.019702368476210437,45
0.02,3,moe-combination-rules-0906::flow_path|global|0.9,102,185,0.20944558521560575,0.01292531265283309,22
0.02,4,moe-combination-rules-0906::flow_path|per_task|0.75,164,278,0.33675564681724846,0.019422902256689724,58
0.02,5,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.6,199,224,0.4086242299794661,0.015650108293160065,29
0.02,6,moe-failure-modes-0906::v7_acceleration|task_agnostic,69,108,0.14168377823408623,0.007545587927059317,4
0.02,7,moe-combination-rules-0906::conditional_energy|per_task|0.75,45,257,0.09240246406570841,0.017955704604205966,28
0.02,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.8,6,126,0.012320328542094456,0.008803185914902536,10
0.02,9,moe-failure-modes-0906::v7_guard|task_agnostic,168,51,0.34496919917864477,0.0035631942988891218,106
0.0543,1,moe-combination-rules-0906::state_action_alignment|global|0.75,140,616,0.2874743326488706,0.04303779780619018,28
0.0543,2,moe-combination-rules-0906::partial_edge_std|global|0.75,213,626,0.43737166324435317,0.04373646335499196,53
0.0543,3,moe-combination-rules-0906::flow_path|global|0.85,121,445,0.24845995893223818,0.031090616921679592,24
0.0543,4,moe-combination-rules-0906::flow_path|per_task|0.5,207,598,0.42505133470225875,0.04178019981834696,67
0.0543,5,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.5,216,380,0.44353182751540043,0.026549290854467965,31
0.0543,6,moe-failure-modes-0906::v7_acceleration|task_agnostic,69,108,0.14168377823408623,0.007545587927059317,4
0.0543,7,moe-combination-rules-0906::conditional_energy|per_task|0.6,69,615,0.14168377823408623,0.042967931251309995,32
0.0543,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.7,10,462,0.02053388090349076,0.03227834835464263,11
0.0543,9,moe-failure-modes-0906::v7_guard|task_agnostic,168,51,0.34496919917864477,0.0035631942988891218,115
0.1,1,moe-combination-rules-0906::state_action_alignment|global|0.7,162,860,0.3326488706365503,0.06008523719695382,30
0.1,2,moe-combination-rules-0906::conditional_query_d1|global|0.6,245,1228,0.5030800821355236,0.08579612939285963,57
0.1,3,moe-combination-rules-0906::flow_path|global|0.8,149,862,0.3059548254620123,0.06022497030671418,25
0.1,4,moe-combination-rules-0906::flow_endpoint|per_task|0.5,231,902,0.47433264887063653,0.06301963250192133,68
0.1,5,moe-combination-rules-0906::expert_load_effective_rank|global|0.7,234,1152,0.4804928131416838,0.08048627122196604,32
0.1,6,moe-failure-modes-0906::v7_acceleration|task_agnostic,69,108,0.14168377823408623,0.007545587927059317,4
0.1,7,moe-combination-rules-0906::state_action_alignment|per_task|0.5,82,991,0.16837782340862423,0.06923775588625725,34
0.1,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.6,30,1237,0.061601642710472276,0.08642492838678124,12
0.1,9,moe-combination-rules-0906::mobility|global|0.6,254,1408,0.5215605749486653,0.09837210927129184,122
0.2,1,moe-combination-rules-0906::state_action_alignment|global|0.5,228,2421,0.4681724845995893,0.16914692936491302,34
0.2,2,moe-combination-rules-0906::partial_edge_std|global|0.5,312,2247,0.6406570841889117,0.1569901488157619,64
0.2,3,moe-combination-rules-0906::flow_path|global|0.7,191,2410,0.3921971252566735,0.16837839726123105,28
0.2,4,moe-combination-rules-0906::flow_endpoint|per_task|0.5,231,902,0.47433264887063653,0.06301963250192133,68
0.2,5,moe-combination-rules-0906::expert_load_effective_rank|global|0.7,234,1152,0.4804928131416838,0.08048627122196604,32
0.2,6,moe-failure-modes-0906::v7_periodicity|task_agnostic,166,1859,0.3408624229979466,0.1298819255222525,6
0.2,7,moe-combination-rules-0906::state_action_alignment|per_task|0.5,82,991,0.16837782340862423,0.06923775588625725,34
0.2,8,moe-combination-rules-0906::flow_settling_log_ratio|global|0.5,81,2671,0.16632443531827515,0.18661356808495774,13
0.2,9,moe-combination-rules-0906::mobility|global|0.5,289,2171,0.5934291581108829,0.1516802906448683,124
1.0,1,moe-combination-rules-0906::state_action_alignment|global|0.5,228,2421,0.4681724845995893,0.16914692936491302,34
1.0,2,moe-combination-rules-0906::partial_edge_std|global|0.5,312,2247,0.6406570841889117,0.1569901488157619,64
1.0,3,moe-combination-rules-0906::flow_path|global|0.5,258,4630,0.5297741273100616,0.3234821490952281,34
1.0,4,moe-combination-rules-0906::flow_endpoint|per_task|0.5,231,902,0.47433264887063653,0.06301963250192133,68
