cohort,budget,n_families_available,union_recall,n_uncaught,union_fp,union_fpr,union_precision,n_caught_by_exactly_one,n_caught_by_all,mean_votes_on_risk,mean_votes_on_safe,mean_votes_on_fired_safe,n_admissible_detectors,ceiling_recall_all_admissible,ceiling_fp_all_admissible,ceiling_n_uncaught
development_main,0.002,9,0.5277207392197125,230,152,0.010619716341787187,0.628361858190709,142,0,0.946611909650924,0.012785579543072731,1.2039473684210527,210,0.6180698151950719,305,186
development_main|libero_goal,0.002,9,0.5588235294117647,45,11,0.0028219599794766545,0.8382352941176471,14,0,1.4607843137254901,0.0038481272447408927,1.3636363636363635,210,0.5588235294117647,53,45
development_main|libero_long,0.002,9,0.6171171171171171,85,95,0.036850271528316526,0.5905172413793104,86,0,1.0045045045045045,0.04693560899922421,1.2736842105263158,210,0.7072072072072072,154,65
development_main|libero_object,0.002,9,0.4594594594594595,20,23,0.0058036840777189,0.425,14,0,0.5405405405405406,0.0058036840777189,1.0,210,0.7297297297297297,30,10
development_main|libero_spatial,0.002,9,0.36507936507936506,80,23,0.005937016004130098,0.6666666666666666,28,0,0.5476190476190477,0.00619514713474445,1.0434782608695652,210,0.47619047619047616,68,66
external_8b,0.002,9,0.5124113475177305,275,195,0.012968874700718277,0.5971074380165289,138,0,0.9804964539007093,0.01735833998403831,1.3384615384615384,210,0.6170212765957447,528,216
external_8b|libero_goal,0.002,9,0.5377358490566038,49,8,0.002054442732408834,0.8769230769230769,7,0,1.6037735849056605,0.003338469440164355,1.625,210,0.5377358490566038,45,49
external_8b|libero_long,0.002,9,0.6131386861313869,106,131,0.03515834675254965,0.5618729096989966,90,0,1.0656934306569343,0.05045625335480408,1.4351145038167938,210,0.7262773722627737,378,75
external_8b|libero_object,0.002,9,0.4318181818181818,25,20,0.00562429696287964,0.48717948717948717,13,0,0.5909090909090909,0.006186726659167604,1.1,210,0.45454545454545453,25,24
external_8b|libero_spatial,0.002,9,0.32142857142857145,95,36,0.00932642487046632,0.5555555555555556,28,0,0.4642857142857143,0.009844559585492229,1.0555555555555556,210,0.5142857142857142,80,68
development_main,0.005,9,0.7412731006160165,126,382,0.026689023964228325,0.4858681022880215,146,0,1.513347022587269,0.031859149025361556,1.193717277486911,270,0.8172484599589322,827,89
development_main|libero_goal,0.005,9,0.7254901960784313,28,41,0.01051821446895844,0.6434782608695652,29,0,1.6764705882352942,0.011544381734222679,1.0975609756097562,270,0.7450980392156863,198,26
development_main|libero_long,0.005,9,0.8738738738738738,28,201,0.07796741660201707,0.4911392405063291,67,0,1.8783783783783783,0.10279286268425136,1.318407960199005,270,0.918918918918919,338,18
development_main|libero_object,0.005,9,0.9459459459459459,2,83,0.02094372949785516,0.2966101694915254,18,0,1.4864864864864864,0.02195306585919758,1.0481927710843373,270,0.9459459459459459,120,2
development_main|libero_spatial,0.005,9,0.4603174603174603,68,57,0.01471347444501807,0.5043478260869565,32,0,0.746031746031746,0.015229736706246774,1.0350877192982457,270,0.6587301587301587,171,43
external_8b,0.005,9,0.7287234042553191,153,434,0.028864059590316574,0.4863905325443787,144,0,1.5407801418439717,0.03850758180367119,1.3341013824884793,270,0.8067375886524822,1122,109
external_8b|libero_goal,0.005,9,0.7358490566037735,28,50,0.012840267077555213,0.609375,27,0,1.820754716981132,0.014637904468412942,1.14,270,0.7452830188679245,164,27
external_8b|libero_long,0.005,9,0.8686131386861314,36,254,0.06816961889425657,0.483739837398374,70,0,1.8832116788321167,0.10037573805689748,1.4724409448818898,270,0.9197080291970803,656,22
external_8b|libero_object,0.005,9,0.5909090909090909,18,58,0.016310461192350956,0.30952380952380953,9,0,1.1136363636363635,0.018841394825646795,1.1551724137931034,270,0.7727272727272727,82,10
external_8b|libero_spatial,0.005,9,0.4928571428571429,71,72,0.01865284974093264,0.48936170212765956,38,0,0.7928571428571428,0.02098445595854922,1.125,270,0.6428571428571429,220,50
development_main,0.01,9,0.7987679671457906,98,734,0.05128205128205128,0.346393588601959,144,0,1.7700205338809034,0.06225110039823936,1.2138964577656677,295,0.86652977412731,1460,65
development_main|libero_goal,0.01,9,0.7647058823529411,24,110,0.028219599794766546,0.4148936170212766,31,0,1.8235294117647058,0.029502308876346844,1.0454545454545454,295,0.7843137254901961,336,22
development_main|libero_long,0.01,9,0.9144144144144144,19,334,0.1295577967416602,0.3780260707635009,62,0,2.2072072072072073,0.18153607447633824,1.401197604790419,295,0.9414414414414415,486,13
development_main|libero_object,0.01,9,0.972972972972973,1,193,0.04870047943477164,0.1572052401746725,15,0,1.7297297297297298,0.05122382033812768,1.0518134715025906,295,0.972972972972973,271,1
development_main|libero_spatial,0.01,9,0.5714285714285714,54,97,0.025038719669592154,0.4260355029585799,36,0,0.9682539682539683,0.02710376871450697,1.0824742268041236,295,0.7698412698412699,367,29
external_8b,0.01,9,0.7854609929078015,121,870,0.057861133280127694,0.3373952779893374,134,0,1.877659574468085,0.07468741686618782,1.2908045977011495,295,0.875886524822695,1789,70
external_8b|libero_goal,0.01,9,0.7830188679245284,23,125,0.03210066769388803,0.39903846153846156,29,0,2.0,0.03466872110939907,1.08,295,0.8018867924528302,289,21
external_8b|libero_long,0.01,9,0.8941605839416058,29,423,0.11352657004830918,0.36676646706586824,55,0,2.31021897810219,0.16908212560386474,1.4893617021276595,295,0.948905109489051,840,14
external_8b|libero_object,0.01,9,0.75,11,158,0.04443194600674916,0.17277486910994763,13,0,1.5454545454545454,0.04921259842519685,1.1075949367088607,295,0.9090909090909091,217,4
external_8b|libero_spatial,0.01,9,0.5857142857142857,58,164,0.04248704663212435,0.3333333333333333,37,0,1.042857142857143,0.04740932642487047,1.1158536585365855,295,0.7785714285714286,443,31
development_main,0.02,9,0.8542094455852156,71,1408,0.09837210927129184,0.22807017543859648,115,1,2.0657084188911705,0.12114860616223014,1.2315340909090908,326,0.9281314168377823,3009,35
development_main|libero_goal,0.02,9,0.7941176470588235,21,257,0.0659312467932273,0.23964497041420119,29,0,2.0,0.07234479220112879,1.0972762645914398,326,0.8333333333333334,749,17
development_main|libero_long,0.02,9,0.9459459459459459,12,550,0.21334367726920092,0.27631578947368424,45,1,2.5,0.3064391000775795,1.4363636363636363,326,0.9864864864864865,855,3
