cohort,layer,contrast,n_a,n_b,mean_a,mean_b,difference,null_mean,null_sd,z_vs_stratified_null,p_two_sided
development_main,L2,uncaught_vs_caught_risk,98,389,0.03596941483233396,0.032667404920709325,0.0033020099116246315,0.004427489869383202,0.0002680537188319574,-4.1987104773731305,0.0
development_main,L2,uncaught_risk_vs_safe,98,14313,0.03596941483233396,0.03602215811095983,-5.27432786258733e-05,-6.697037723487523e-05,0.00011812883583171334,0.1204371355125339,0.9195
development_main,L2,caught_risk_vs_safe,389,14313,0.032667404920709325,0.03602215811095983,-0.003354753190250505,-0.002625121178831143,5.5508260698099695e-05,-13.144566272535732,0.0
development_main,L3,uncaught_vs_caught_risk,98,389,0.040999359900429605,0.03714846706883247,0.003850892831597133,0.004961346493690776,0.00035122241366380546,-3.161682224405482,0.0005
development_main,L3,uncaught_risk_vs_safe,98,14313,0.040999359900429605,0.03983139033836854,0.0011679695620610622,0.000280458093403246,0.00015632883388475984,5.677209038174357,0.0
development_main,L3,caught_risk_vs_safe,389,14313,0.03714846706883247,0.03983139033836854,-0.002682923269536071,-0.002306829933997516,7.302708994423777e-05,-5.150052341202879,0.0
development_main,L4,uncaught_vs_caught_risk,98,389,0.04240420175335699,0.03783271102768993,0.004571490725667059,0.006026900028540156,0.0003591343539904809,-4.0525482641843675,0.0
development_main,L4,uncaught_risk_vs_safe,98,14313,0.04240420175335699,0.04165592296637032,0.0007482787869866683,-2.5090890598565976e-05,0.00014723853967944813,5.252494892090966,0.0
development_main,L4,caught_risk_vs_safe,389,14313,0.03783271102768993,0.04165592296637032,-0.0038232119386803903,-0.0032835223033788204,7.339374965619996e-05,-7.35334599784928,0.0
development_main,L5,uncaught_vs_caught_risk,98,389,0.049502271172412717,0.04520839859580189,0.004293872576610826,0.005990222501052101,0.00048031866036742364,-3.531717720780697,0.0005
development_main,L5,uncaught_risk_vs_safe,98,14313,0.049502271172412717,0.04925106197702484,0.0002512091953878748,-0.0007858346116222402,0.0001848432817550272,5.6103949094807195,0.0
development_main,L5,caught_risk_vs_safe,389,14313,0.04520839859580189,0.04925106197702484,-0.004042663381222951,-0.0033429357143344913,0.00010367998805747711,-6.748917317588341,0.0
development_main,L12,uncaught_vs_caught_risk,98,389,0.06150500641886051,0.04994486585618174,0.011560140562678768,0.011968854511112915,0.0005398243726492955,-0.7571239261174926,0.444
development_main,L12,uncaught_risk_vs_safe,98,14313,0.06150500641886051,0.05920653240371575,0.002298474015144762,0.001908069189369257,0.00023090512280401557,1.6907586156365515,0.0875
development_main,L12,caught_risk_vs_safe,389,14313,0.04994486585618174,0.05920653240371575,-0.009261666547534006,-0.006867920959838451,0.00012103104401993054,-19.77794711331557,0.0
development_main,L13,uncaught_vs_caught_risk,98,389,0.06429337601720744,0.052838705312586,0.011454670704621445,0.011934609048655372,0.0005825367771852362,-0.823876470689018,0.4045
development_main,L13,uncaught_risk_vs_safe,98,14313,0.06429337601720744,0.06228336526786768,0.0020100107493397634,0.0018445009673275336,0.00022328818192469802,0.7412384327086623,0.471
development_main,L13,caught_risk_vs_safe,389,14313,0.052838705312586,0.06228336526786768,-0.009444659955281681,-0.007063797104863708,0.00012701112679388906,-18.745309253744253,0.0
development_main,L14,uncaught_vs_caught_risk,98,389,0.06315372007631727,0.051431764027999906,0.011721956048317363,0.011766611421457204,0.0005298595349502787,-0.08427775701730401,0.9315
development_main,L14,uncaught_risk_vs_safe,98,14313,0.06315372007631727,0.06136838154032256,0.0017853385359947113,0.002034735602912148,0.00023596590283868934,-1.0569199359618031,0.282
development_main,L14,caught_risk_vs_safe,389,14313,0.051431764027999906,0.06136838154032256,-0.009936617512322651,-0.0070817747722836015,0.00012641176140549203,-22.58367978025041,0.0
development_main,L15,uncaught_vs_caught_risk,98,389,0.06672272742589765,0.057061097326318956,0.00966163009957869,0.010663935890113184,0.0006037868714890732,-1.6600324350587221,0.0925
development_main,L15,uncaught_risk_vs_safe,98,14313,0.06672272742589765,0.06553074155206276,0.001191985873834886,0.0004705588159567242,0.00024303531706768776,2.968404208007502,0.002
development_main,L15,caught_risk_vs_safe,389,14313,0.057061097326318956,0.06553074155206276,-0.008469644225743804,-0.006535350014087892,0.00013898137617304688,-13.917650442945003,0.0
external_8b,L2,uncaught_vs_caught_risk,121,443,0.035545783798183836,0.03274562096866506,0.002800162829518775,0.0040476661832720305,0.00026965846754483286,-4.6262346779295855,0.0
