dev_fp_budget,draw,draw,null_single_dev_tp,null_single_dev_tp,null_or_pair_dev_tp,null_or_pair_dev_tp,null_or_gain,null_or_gain
,mean,std,mean,std,mean,std,mean,std
25,9.5,5.916079783099616,4.5,0.8271701918685113,6.4,1.2311740225021848,1.9,0.6407232755171874
50,9.5,5.916079783099616,7.6,1.635140425323255,9.75,1.585294261245162,2.15,0.9333020044867295
100,9.5,5.916079783099616,12.35,1.8994459025837258,16.05,2.372540277512913,3.7,1.7800059136507325
200,9.5,5.916079783099616,17.9,2.7890764364608325,25.35,2.661123624969051,7.45,2.327750212679956
400,9.5,5.916079783099616,29.45,2.7042850986419396,40.75,2.1244194253340942,11.3,1.976173868336169
600,9.5,5.916079783099616,47.25,3.9453503613347456,56.8,4.6180424196269225,9.55,2.762054917705485
800,9.5,5.916079783099616,59.95,4.570788254027735,72.4,4.083342284272326,12.45,5.558066683943069
1000,9.5,5.916079783099616,75.0,3.612842589838002,87.85,4.145701642094274,12.85,3.9506828190633207
1500,9.5,5.916079783099616,93.55,5.595816106229443,124.5,4.236433455284364,30.95,5.539095499029461
2000,9.5,5.916079783099616,128.6,5.082477638649119,153.0,4.553772293962794,24.4,5.950674442093893
3000,9.5,5.916079783099616,179.7,7.034501441205042,209.2,5.346912537550116,29.5,4.173853451138282
