quantity,layer,survival_auc,survival_auc_early,abs_auc_gap
td_slope,L2,0.5329689659290535,0.528956408898552,0.03296896592905352
td_slope,L3,0.5152452541934587,0.5161966754359991,0.01524525419345868
td_slope,L4,0.5086744074619263,0.5077185731300924,0.00867440746192627
td_slope,L5,0.5143021650072701,0.5136271414387745,0.014302165007270107
td_slope,L12,0.4478483645861119,0.4491333520190846,0.05215163541388812
td_slope,L13,0.4598601701412095,0.46320607363928923,0.0401398298587905
td_slope,L14,0.44629852863813296,0.4488405004944023,0.05370147136186704
td_slope,L15,0.4491277961966989,0.45201732140768963,0.0508722038033011
td_late_early,L2,0.5329697610648085,0.5289914497488063,0.032969761064808534
td_late_early,L3,0.5153506387713391,0.5163256922391914,0.015350638771339131
td_late_early,L4,0.5086725262870911,0.5077600992736269,0.008672526287091142
td_late_early,L5,0.5141321804976782,0.513507224312716,0.01413218049767817
td_late_early,L12,0.44809724207745155,0.44924654065336495,0.05190275792254845
td_late_early,L13,0.46031758652948496,0.46366683346030324,0.03968241347051504
td_late_early,L14,0.4467186512201397,0.44916379236441834,0.053281348779860294
td_late_early,L15,0.44975277290019094,0.4526080302928049,0.050247227099809055
pc1corr_slope,L2,0.5042378214583558,0.5059943768453953,0.004237821458355828
pc1corr_slope,L3,0.5230492401197886,0.5258270319589173,0.023049240119788594
pc1corr_slope,L4,0.5314794051500206,0.5299491046343298,0.03147940515002057
pc1corr_slope,L5,0.5118463785309312,0.5110640116686639,0.011846378530931179
pc1corr_slope,L12,0.5255493796564168,0.523534115986633,0.025549379656416793
pc1corr_slope,L13,0.5215584769403455,0.5200995654650837,0.021558476940345517
pc1corr_slope,L14,0.5263178298798131,0.5228919098195649,0.026317829879813126
pc1corr_slope,L15,0.5346220337703076,0.5320858263712697,0.03462203377030759
pc1share_slope,L2,0.47221000535999075,0.47642863411008907,0.027789994640009252
pc1share_slope,L3,0.47094416863146005,0.47864532761978995,0.029055831368539953
pc1share_slope,L4,0.4746016961370482,0.4790555021532187,0.025398303862951777
pc1share_slope,L5,0.47902782901447266,0.4830620960751613,0.02097217098552734
pc1share_slope,L12,0.5254298183898299,0.5270332965090274,0.02542981838982994
pc1share_slope,L13,0.5396355780351855,0.5414017069697244,0.03963557803518547
pc1share_slope,L14,0.5498243118458821,0.5496187154214802,0.0498243118458821
pc1share_slope,L15,0.4949677409545453,0.49977477792430486,0.005032259045454679
stretch_slope,L2,0.5076960026120791,0.507265575394473,0.007696002612079145
stretch_slope,L3,0.5217273172301923,0.5280931758298794,0.021727317230192278
stretch_slope,L4,0.5217324371287129,0.522993870789854,0.021732437128712867
stretch_slope,L5,0.4992388611468394,0.49771006320931627,0.0007611388531605923
stretch_slope,L12,0.526790043550555,0.5283383604489525,0.02679004355055503
stretch_slope,L13,0.5456525642294179,0.5465429840171974,0.04565256422941788
stretch_slope,L14,0.5479195738413679,0.5446605263099228,0.04791957384136791
stretch_slope,L15,0.5242102352899788,0.525017140427474,0.024210235289978788
centred_slope,L2,0.5331444969953759,0.5291627628241101,0.033144496995375916
centred_slope,L3,0.515409827901205,0.5163577539078452,0.015409827901205042
centred_slope,L4,0.5091007359815336,0.5080866743233661,0.009100735981533603
centred_slope,L5,0.5144953054215342,0.5138192479856578,0.01449530542153421
centred_slope,L12,0.4479214201078041,0.449189976736037,0.052078579892195886
centred_slope,L13,0.4597956477837181,0.46315550861824545,0.04020435221628188
centred_slope,L14,0.4462574530886389,0.4487695675991505,0.0537425469113611
centred_slope,L15,0.44827731123564446,0.4511844678847263,0.05172268876435554
pc1_index_corr_s9,L2,0.4556422852573957,0.4609358561934855,0.044357714742604304
pc1_index_corr_s9,L3,0.468355342367808,0.47167234028495975,0.031644657632191986
pc1_index_corr_s9,L4,0.4725613971830706,0.47342912516838964,0.02743860281692939
pc1_index_corr_s9,L5,0.4799841639987276,0.4798514705706511,0.02001583600127238
pc1_index_corr_s9,L12,0.48589041299389907,0.4865482654779124,0.014109587006100932
pc1_index_corr_s9,L13,0.4956680810127749,0.4962908378411188,0.004331918987225125
pc1_index_corr_s9,L14,0.4960056646246934,0.4970753961956864,0.003994335375306579
pc1_index_corr_s9,L15,0.4943118897114902,0.4965675166656837,0.005688110288509796
arc_stretch_s9,L2,0.49785714792717223,0.49686336763850814,0.0021428520728277722
arc_stretch_s9,L3,0.5183849931740504,0.5249403910348116,0.0183849931740504
arc_stretch_s9,L4,0.5125027146128613,0.5149363600197072,0.012502714612861343
arc_stretch_s9,L5,0.4911079386702871,0.48970848809371087,0.008892061329712875
arc_stretch_s9,L12,0.5015077907207347,0.5045227422008774,0.001507790720734703
arc_stretch_s9,L13,0.5422364283029386,0.5435903515859886,0.04223642830293861
arc_stretch_s9,L14,0.5368336941762822,0.535719637528852,0.03683369417628224
arc_stretch_s9,L15,0.523244494431548,0.5220963669995041,0.02324449443154797
fiedler_index_rho_s9,L2,0.47804864842242545,0.48224391552824436,0.02195135157757455
