cohort,quantity,layer,null_p95,median_step0,median_step9,delta,first_step_above_null,above_null_at_step0
development_main,pc1_index_corr,L2,0.63201858637175,0.39853399991989136,0.9133846163749695,0.5148506164550781,4,False
development_main,pc1_index_corr,L3,0.63201858637175,0.5983648896217346,0.924046516418457,0.3256816267967224,1,False
development_main,pc1_index_corr,L4,0.63201858637175,0.6881492733955383,0.9520886540412903,0.26393938064575195,0,True
development_main,pc1_index_corr,L5,0.63201858637175,0.7113707661628723,0.9490465521812439,0.23767578601837158,0,True
development_main,pc1_index_corr,L12,0.63201858637175,0.951951801776886,0.97430819272995,0.022356390953063965,0,True
development_main,pc1_index_corr,L13,0.63201858637175,0.9500835537910461,0.9780175089836121,0.027933955192565918,0,True
development_main,pc1_index_corr,L14,0.63201858637175,0.9526660442352295,0.9745693802833557,0.02190333604812622,0,True
development_main,pc1_index_corr,L15,0.63201858637175,0.9385575652122498,0.9731149077415466,0.034557342529296875,0,True
development_main,fiedler_index_rho,L2,0.6363636363636365,0.3696969747543335,0.903030276298523,0.5333333015441895,5,False
development_main,fiedler_index_rho,L3,0.6363636363636365,0.46666666865348816,0.8909090757369995,0.42424240708351135,4,False
development_main,fiedler_index_rho,L4,0.6363636363636365,0.5636363625526428,0.9515151381492615,0.38787877559661865,2,False
development_main,fiedler_index_rho,L5,0.6363636363636365,0.6363636255264282,0.9515151381492615,0.31515151262283325,1,False
development_main,fiedler_index_rho,L12,0.6363636363636365,0.9151515364646912,0.9757575988769531,0.06060606241226196,0,True
development_main,fiedler_index_rho,L13,0.6363636363636365,0.9272727370262146,0.9878787994384766,0.06060606241226196,0,True
development_main,fiedler_index_rho,L14,0.6363636363636365,0.9272727370262146,0.9878787994384766,0.06060606241226196,0,True
development_main,fiedler_index_rho,L15,0.6363636363636365,0.9272727370262146,0.9757575988769531,0.048484861850738525,0,True
external_8b,pc1_index_corr,L2,0.63201858637175,0.3688572347164154,0.9094144105911255,0.5405571758747101,4,False
external_8b,pc1_index_corr,L3,0.63201858637175,0.55755615234375,0.9230753779411316,0.3655192255973816,2,False
external_8b,pc1_index_corr,L4,0.63201858637175,0.6838870644569397,0.9511371850967407,0.267250120639801,0,True
external_8b,pc1_index_corr,L5,0.63201858637175,0.6795263290405273,0.9468252658843994,0.26729893684387207,0,True
external_8b,pc1_index_corr,L12,0.63201858637175,0.9499754905700684,0.9738320708274841,0.02385658025741577,0,True
external_8b,pc1_index_corr,L13,0.63201858637175,0.949278712272644,0.9782187342643738,0.028940021991729736,0,True
external_8b,pc1_index_corr,L14,0.63201858637175,0.9523723721504211,0.9747210741043091,0.02234870195388794,0,True
external_8b,pc1_index_corr,L15,0.63201858637175,0.9353033304214478,0.9733507633209229,0.0380474328994751,0,True
external_8b,fiedler_index_rho,L2,0.6363636363636365,0.3696969747543335,0.903030276298523,0.5333333015441895,5,False
external_8b,fiedler_index_rho,L3,0.6363636363636365,0.4424242377281189,0.8909090757369995,0.4484848380088806,4,False
external_8b,fiedler_index_rho,L4,0.6363636363636365,0.5757575631141663,0.9515151381492615,0.3757575750350952,1,False
external_8b,fiedler_index_rho,L5,0.6363636363636365,0.6000000238418579,0.9515151381492615,0.35151511430740356,1,False
external_8b,fiedler_index_rho,L12,0.6363636363636365,0.9151515364646912,0.9757575988769531,0.06060606241226196,0,True
external_8b,fiedler_index_rho,L13,0.6363636363636365,0.9272727370262146,0.9878787994384766,0.06060606241226196,0,True
external_8b,fiedler_index_rho,L14,0.6363636363636365,0.9272727370262146,0.9878787994384766,0.06060606241226196,0,True
external_8b,fiedler_index_rho,L15,0.6363636363636365,0.9151515364646912,0.9757575988769531,0.06060606241226196,0,True
