cohort,quantity,layer,block,step,n,mean,q25,median,q75
development_main,centred_energy,L2,front,0,221781,0.002007249975576997,0.0014835619367659092,0.0018353697378188372,0.0023433775641024113
development_main,centred_energy,L2,front,1,221781,0.0019571224693208933,0.0014545494923368096,0.0017925197025761008,0.0022859747987240553
development_main,centred_energy,L2,front,2,221781,0.001976791536435485,0.0014576137764379382,0.0018242021324113011,0.0023242144379764795
development_main,centred_energy,L2,front,3,221781,0.002008374547585845,0.0014694160781800747,0.0018655138555914164,0.002374032512307167
development_main,centred_energy,L2,front,4,221781,0.002008074428886175,0.0014485972933471203,0.0018858357798308134,0.002387864049524069
development_main,centred_energy,L2,front,5,221781,0.0020048555452376604,0.0014299389440566301,0.0018873490625992417,0.0023973707575351
development_main,centred_energy,L2,front,6,221781,0.0019439621828496456,0.0013654717477038503,0.0018212090944871306,0.0023454036563634872
development_main,centred_energy,L2,front,7,221781,0.0018461046274751425,0.0012637379113584757,0.001701891073025763,0.002247643657028675
development_main,centred_energy,L2,front,8,221781,0.0017461598617956042,0.0011658902512863278,0.0015808710595592856,0.0021525679621845484
development_main,centred_energy,L2,front,9,221781,0.0016277574468404055,0.0010902290232479572,0.0014480422250926495,0.002010176656767726
development_main,centred_energy,L3,front,0,221781,0.0016743829473853111,0.0012177341850474477,0.0015555137069895864,0.001965184463188052
development_main,centred_energy,L3,front,1,221781,0.0017007588176056743,0.00124046066775918,0.0015785186551511288,0.0020036783535033464
development_main,centred_energy,L3,front,2,221781,0.0017345626838505268,0.0012612779391929507,0.0016042620409280062,0.0020499692764133215
development_main,centred_energy,L3,front,3,221781,0.0017913056071847677,0.0012980506289750338,0.00165114039555192,0.0021348607260733843
development_main,centred_energy,L3,front,4,221781,0.0018312142929062247,0.001319430535659194,0.0016811196692287922,0.00220794091001153
development_main,centred_energy,L3,front,5,221781,0.0018623379291966558,0.0013314178213477135,0.0016958084888756275,0.002289967378601432
development_main,centred_energy,L3,front,6,221781,0.0018444337183609605,0.0013020819751545787,0.0016513658920302987,0.0023103889543563128
development_main,centred_energy,L3,front,7,221781,0.001818841672502458,0.0012490171939134598,0.0015869316412135959,0.0022953052539378405
development_main,centred_energy,L3,front,8,221781,0.0018283824902027845,0.0012039848370477557,0.0015577118610963225,0.0022926193196326494
development_main,centred_energy,L3,front,9,221781,0.0018642147770151496,0.001204951200634241,0.00158783292863518,0.0022856807336211205
development_main,centred_energy,L4,front,0,221781,0.001457247301004827,0.0010871163103729486,0.0014029197627678514,0.001735454541631043
development_main,centred_energy,L4,front,1,221781,0.0014721968909725547,0.0010987124405801296,0.001413501682691276,0.0017618543934077024
development_main,centred_energy,L4,front,2,221781,0.0015741016250103712,0.0011771402787417173,0.0015166423982009292,0.0018861490534618497
development_main,centred_energy,L4,front,3,221781,0.00166993064340204,0.0012482079910114408,0.0016079252818599343,0.002001836895942688
development_main,centred_energy,L4,front,4,221781,0.001765130553394556,0.001319322851486504,0.0017065013526007533,0.002121112309396267
development_main,centred_energy,L4,front,5,221781,0.0018480763537809253,0.0013678035466000438,0.0017764026997610927,0.00222961138933897
development_main,centred_energy,L4,front,6,221781,0.0019086654065176845,0.0013887647073715925,0.0018079314613714814,0.002315343590453267
development_main,centred_energy,L4,front,7,221781,0.0019429431995376945,0.0013660602271556854,0.0017926478758454323,0.002366810804232955
development_main,centred_energy,L4,front,8,221781,0.0020115221850574017,0.0013494854792952538,0.001802371465601027,0.0024538689758628607
development_main,centred_energy,L4,front,9,221781,0.00211479514837265,0.0013825781643390656,0.0018826043233275414,0.00255820550955832
development_main,centred_energy,L5,front,0,221781,0.001989939482882619,0.0014798492193222046,0.0019240083638578653,0.0024322166573256254
