corpus,event,lead,score,status,auc_event_high,events,pairs
grid50x8,loop,-8,loop_dynamic_homeostasis,prior_fixed,0.5383838383838384,229,990
grid50x8,loop,-6,loop_dynamic_homeostasis,prior_fixed,0.5447545717035611,255,1039
grid50x8,loop,-4,loop_dynamic_homeostasis,prior_fixed,0.5802113352545629,285,1041
grid50x8,loop,-2,loop_dynamic_homeostasis,prior_fixed,0.5857400722021661,305,1108
grid50x8,loop,0,loop_dynamic_homeostasis,prior_fixed,0.7223851417399805,284,1023
grid50x8,loop,-8,loop_flow_instability,prior_fixed,0.5616710875331565,354,1508
grid50x8,loop,-6,loop_flow_instability,prior_fixed,0.5218676122931442,409,1692
grid50x8,loop,-4,loop_flow_instability,prior_fixed,0.5869252873563219,360,1392
grid50x8,loop,-2,loop_flow_instability,prior_fixed,0.6073674752920036,306,1113
grid50x8,loop,0,loop_flow_instability,prior_fixed,0.6754643206256109,284,1023
grid50x8,static,-8,static_rigid_consensus,prior_fixed,0.7455089820359282,116,334
grid50x8,static,-6,static_rigid_consensus,prior_fixed,0.819078947368421,110,304
grid50x8,static,-4,static_rigid_consensus,prior_fixed,0.8461538461538461,104,286
grid50x8,static,-2,static_rigid_consensus,prior_fixed,0.8651685393258427,100,267
grid50x8,static,0,static_rigid_consensus,prior_fixed,0.8894472361809045,92,199
main16x32,loop,-8,loop_dynamic_homeostasis,prior_fixed,0.5543199315654406,89,1169
main16x32,loop,-6,loop_dynamic_homeostasis,prior_fixed,0.5314109165808445,89,971
main16x32,loop,-4,loop_dynamic_homeostasis,prior_fixed,0.5591939546599496,89,794
main16x32,loop,-2,loop_dynamic_homeostasis,prior_fixed,0.5280210157618214,103,1142
main16x32,loop,0,loop_dynamic_homeostasis,prior_fixed,0.5761648745519713,103,1116
main16x32,loop,-8,loop_flow_instability,prior_fixed,0.5255212077641984,98,1391
main16x32,loop,-6,loop_flow_instability,prior_fixed,0.5189486552567237,116,1636
main16x32,loop,-4,loop_flow_instability,prior_fixed,0.5642683912691997,107,1237
main16x32,loop,-2,loop_flow_instability,prior_fixed,0.6059544658493871,103,1142
main16x32,loop,0,loop_flow_instability,prior_fixed,0.5887096774193549,103,1116
main16x32,static,-8,static_rigid_consensus,prior_fixed,0.8035714285714286,126,1232
main16x32,static,-6,static_rigid_consensus,prior_fixed,0.8791836734693877,126,1225
main16x32,static,-4,static_rigid_consensus,prior_fixed,0.8850771869639794,126,1166
main16x32,static,-2,static_rigid_consensus,prior_fixed,0.8663551401869158,126,1070
main16x32,static,0,static_rigid_consensus,prior_fixed,0.8871595330739299,126,771
