corpus,suite,task,event,event_settling,control_settling,event_responsiveness,control_responsiveness,event_coherence,control_coherence
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.9943382252626245,9.744879066020395e-06,0.07925290775195389,0.06864756200127183,0.9845348769221774,0.8664074528835097
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.11102340719951664,0.5644087781870627,0.13533610945865557,0.46319411680239597,0.9845348769221774,0.9845348769221774
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.9007094271960085,0.4422323568964509,0.9151059508913003,0.8246681983220168,0.9845348769221774,0.7882194156970512
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.29948936833693895,0.4000019489758132,0.847966112125377,0.8577263123346119,0.3357792979789121,0.39655615973805763
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,9.744879066020395e-06,0.4000019489758132,0.8207860674065109,0.8577263123346119,0.2619910736907755,0.39655615973805763
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.25815159133875154,0.4000019489758132,0.809319165521344,0.8577263123346119,0.3357792979789121,0.39655615973805763
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.999990255120934,0.36887290728722055,0.1202999035877659,0.29298036882807854,0.8664074528835097,0.9845348769221774
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.930177941491746,0.5847024888421135,0.8575457958111962,0.2191532133992492,0.9845348769221774,0.9845348769221774
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.7479487029565963,0.36887290728722055,0.08269913228989313,0.29298036882807854,0.9845348769221774,0.9845348769221774
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,9.744879066020395e-06,9.744879066020395e-06,0.06136536134074545,0.06446286077663131,0.8664074528835097,0.8664074528835097
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.999990255120934,9.744879066020395e-06,0.08920182978112372,0.24729738045908634,0.9845348769221774,0.8664074528835097
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.8888011849772944,0.704135726675632,0.06606289359781739,0.7559847381484749,0.9845348769221774,0.9845348769221774
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.999990255120934,9.744879066020395e-06,0.10442265482368869,0.24729738045908634,0.9845348769221774,0.8664074528835097
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.008838605312908032,9.744879066020395e-06,0.1142895238876695,0.24729738045908634,0.9845348769221774,0.8664074528835097
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.7697382525482859,0.48620125124247204,0.1502287226404644,0.36317257789903384,0.9845348769221774,0.9845348769221773
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,loop,0.7792297647586194,0.42862070981699113,0.9484809944819381,0.8066401362079223,0.9845348769221774,0.8851721920130972
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,9.744879066020395e-06,0.574604009878523,0.12329483681716548,0.7414496414578468,0.3357792979789121,0.32523812308060684
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,0.09720516868385665,0.6171752101413565,0.040359802252353895,0.3382472314450406,0.8664074528835097,0.950784184339701
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,0.42436024868931377,0.03031631877448404,0.053898541508543764,0.1774908203245195,0.8664074528835097,0.3357792979789121
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,0.9072774756865267,9.744879066020395e-06,0.04392910623807668,0.0987404869843484,0.8664074528835097,0.487721452376776
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,static,0.5287084137285856,0.22501900251417878,0.00321032226302078,0.6420182978112372,0.9845348769221774,0.3748562630337757
