corpus,event,lead,axis,auc_event_high,events,pairs
main16x32,loop,-8,flow|back|edge_state|efficiency,0.5,98,1391
main16x32,loop,-8,flow|back|edge_state|curvature,0.5,98,1391
main16x32,loop,-8,flow|back|edge_state|settling_log_ratio,0.5,98,1391
main16x32,loop,-8,flow|back|token_gram|early_speed,0.5808770668583753,98,1391
main16x32,loop,-8,flow|back|token_gram|late_speed,0.49245147375988496,98,1391
main16x32,loop,-8,flow|back|token_gram|path,0.5359453630481668,98,1391
main16x32,loop,-8,flow|back|token_gram|endpoint,0.49388928828181167,98,1391
main16x32,loop,-8,flow|back|token_gram|efficiency,0.3989935298346513,98,1391
main16x32,loop,-8,flow|back|token_gram|curvature,0.5575125808770669,98,1391
main16x32,loop,-8,flow|back|token_gram|settling_log_ratio,0.38533429187634793,98,1391
main16x32,loop,-8,flow|back|expert_load|early_speed,0.592020129403307,98,1391
main16x32,loop,-8,flow|back|expert_load|late_speed,0.5571531272465852,98,1391
main16x32,loop,-8,flow|back|expert_load|path,0.5650611071171819,98,1391
main16x32,loop,-8,flow|back|expert_load|endpoint,0.596333572969087,98,1391
main16x32,loop,-8,flow|back|expert_load|efficiency,0.6225736879942487,98,1391
main16x32,loop,-8,flow|back|expert_load|curvature,0.5456506110711719,98,1391
main16x32,loop,-8,flow|back|expert_load|settling_log_ratio,0.5150970524802301,98,1391
main16x32,loop,-8,flow|back|spectrum|early_speed,0.5449317038102085,98,1391
main16x32,loop,-8,flow|back|spectrum|late_speed,0.4485981308411215,98,1391
main16x32,loop,-8,flow|back|spectrum|path,0.49568655643422,98,1391
main16x32,loop,-8,flow|back|spectrum|endpoint,0.4784327821710999,98,1391
main16x32,loop,-8,flow|back|spectrum|efficiency,0.43601725377426315,98,1391
main16x32,loop,-8,flow|back|spectrum|curvature,0.5298346513299784,98,1391
main16x32,loop,-8,flow|back|spectrum|settling_log_ratio,0.3871315600287563,98,1391
main16x32,loop,-8,terminal|all|effective_rank_fraction,0.5916606757728253,98,1391
main16x32,loop,-8,terminal|all|token_affinity,0.5301941049604602,98,1391
main16x32,loop,-8,terminal|all|state_action_affinity,0.4245147375988497,98,1391
main16x32,loop,-8,terminal|all|expert_load_entropy,0.4291876347951114,98,1391
main16x32,loop,-8,terminal|front|effective_rank_fraction,0.5535585909417685,98,1391
main16x32,loop,-8,terminal|front|token_affinity,0.4784327821710999,98,1391
