corpus,event,lead,score,score_type,event_mean_auc,bootstrap_95_low,bootstrap_95_high,events
grid50x8,loop,-8,loop_baseline,fixed_train_free,0.6077481840193705,0.5690529997309658,0.6462404156577886,354
grid50x8,loop,-6,loop_baseline,fixed_train_free,0.5410117592269181,0.5031193969030154,0.5782096285947143,409
grid50x8,loop,-4,loop_baseline,fixed_train_free,0.572797619047619,0.5293515211640212,0.6133290343915344,360
grid50x8,loop,-2,loop_baseline,fixed_train_free,0.6742180205415499,0.6321428571428572,0.7189679621848739,306
grid50x8,loop,0,loop_baseline,fixed_train_free,0.7553445674044265,0.7123738262910797,0.7957502305499664,284
grid50x8,loop,-8,loop_edge_structure_handoff,fixed_train_free,0.5403979840111227,0.49612378345498775,0.5856373826903024,274
grid50x8,loop,-6,loop_edge_structure_handoff,fixed_train_free,0.5446766169154228,0.5013237384506042,0.5876062544420753,335
grid50x8,loop,-4,loop_edge_structure_handoff,fixed_train_free,0.5722443294866693,0.531494064199496,0.6126155657248972,359
grid50x8,loop,-2,loop_edge_structure_handoff,fixed_train_free,0.5750233426704014,0.5291697790227202,0.6204108309990664,306
grid50x8,loop,0,loop_edge_structure_handoff,fixed_train_free,0.658827967806841,0.6098497233400402,0.7041442404426559,284
grid50x8,loop,-8,loop_equal_fusion,fixed_train_free,0.6026304845082139,0.5521415574963611,0.6529153670201705,229
grid50x8,loop,-6,loop_equal_fusion,fixed_train_free,0.5759570494864612,0.5280735294117647,0.6234834267040149,255
grid50x8,loop,-4,loop_equal_fusion,fixed_train_free,0.5848538011695906,0.5354500835421888,0.6331165413533835,285
grid50x8,loop,-2,loop_equal_fusion,fixed_train_free,0.6766354410616705,0.6320837236533958,0.7214578454332552,305
grid50x8,loop,0,loop_equal_fusion,fixed_train_free,0.7321428571428571,0.6882606052984575,0.7757220405767941,284
grid50x8,loop,-8,loop_transfer_overcorrection,fixed_train_free,0.5632667914327303,0.5114522249948014,0.6156383863589103,229
grid50x8,loop,-6,loop_transfer_overcorrection,fixed_train_free,0.5334173669467787,0.486047619047619,0.5825228758169934,255
grid50x8,loop,-4,loop_transfer_overcorrection,fixed_train_free,0.5760818713450293,0.527609231411863,0.624595655806182,285
