corpus,event,rows,spearman,p_value
grid50x8,loop,189722,0.6941364551262161,0.0
grid50x8,static,189722,0.35335423363738094,0.0
main16x32,loop,41068,0.6408941488723355,0.0
main16x32,static,41068,0.5096530485723506,0.0
