method,calibration,threshold,units,rank
euclidean,episode,1.3458218574523926,559,532
euclidean,task_init,2.344538450241089,70,68
cosine,episode,0.29589810967445374,559,532
cosine,task_init,0.4150772988796234,70,68
cosine_neighbors_euclidean_score,episode,2.102557420730591,559,532
cosine_neighbors_euclidean_score,task_init,2.6203019618988037,70,68
euclidean_neighbors_cosine_score,episode,0.3943328261375427,559,532
euclidean_neighbors_cosine_score,task_init,0.5818333625793457,70,68
cosine_without_center,episode,0.21491168439388275,559,532
cosine_without_center,task_init,0.3148912787437439,70,68
norm_only,episode,4.881370544433594,559,532
norm_only,task_init,5.6797566413879395,70,68
