method,calibration,threshold,units,rank
euclidean,episode,1.7712910175323486,551,525
euclidean,task_init,2.798142433166504,70,68
cosine,episode,0.31301820278167725,551,525
cosine,task_init,0.4424794614315033,70,68
cosine_neighbors_euclidean_score,episode,2.710806369781494,551,525
cosine_neighbors_euclidean_score,task_init,3.4756205081939697,70,68
euclidean_neighbors_cosine_score,episode,0.4514399766921997,551,525
euclidean_neighbors_cosine_score,task_init,0.6856396794319153,70,68
cosine_without_center,episode,0.23252958059310913,551,525
cosine_without_center,task_init,0.33344826102256775,70,68
norm_only,episode,6.066745758056641,551,525
norm_only,task_init,8.035072326660156,70,68
