method,calibration,threshold,units,rank
euclidean,episode,2.6460964679718018,547,521
euclidean,task_init,3.9340829849243164,70,68
cosine,episode,0.31559085845947266,547,521
cosine,task_init,0.3964971899986267,70,68
cosine_neighbors_euclidean_score,episode,4.249028205871582,547,521
cosine_neighbors_euclidean_score,task_init,6.207699775695801,70,68
euclidean_neighbors_cosine_score,episode,0.46627116203308105,547,521
euclidean_neighbors_cosine_score,task_init,0.5984431505203247,70,68
cosine_without_center,episode,0.3271716237068176,547,521
cosine_without_center,task_init,0.39500877261161804,70,68
norm_only,episode,8.70171070098877,547,521
norm_only,task_init,13.135553359985352,70,68
