method,calibration,threshold,units,rank
euclidean,episode,1.575398564338684,557,531
euclidean,task_init,2.761309862136841,70,68
cosine,episode,0.3197823464870453,557,531
cosine,task_init,0.40082550048828125,70,68
cosine_neighbors_euclidean_score,episode,2.7932865619659424,557,531
cosine_neighbors_euclidean_score,task_init,3.3775370121002197,70,68
euclidean_neighbors_cosine_score,episode,0.44482460618019104,557,531
euclidean_neighbors_cosine_score,task_init,0.5035867691040039,70,68
cosine_without_center,episode,0.2132362425327301,557,531
cosine_without_center,task_init,0.2836020290851593,70,68
norm_only,episode,6.202128887176514,557,531
norm_only,task_init,7.221375465393066,70,68
