method,calibration,threshold,units,rank
euclidean,episode,1.7048996686935425,547,521
euclidean,task_init,2.4561617374420166,70,68
cosine,episode,0.28690221905708313,547,521
cosine,task_init,0.38948389887809753,70,68
cosine_neighbors_euclidean_score,episode,2.7646801471710205,547,521
cosine_neighbors_euclidean_score,task_init,3.3827483654022217,70,68
euclidean_neighbors_cosine_score,episode,0.4259762167930603,547,521
euclidean_neighbors_cosine_score,task_init,0.5446472764015198,70,68
cosine_without_center,episode,0.2525675594806671,547,521
cosine_without_center,task_init,0.31349462270736694,70,68
norm_only,episode,7.524178981781006,547,521
norm_only,task_init,8.506902694702148,70,68
