method,calibration,threshold,units,rank
euclidean,episode,1.6953964233398438,542,516
euclidean,task_init,1.9988833665847778,70,68
cosine,episode,0.23805604875087738,542,516
cosine,task_init,0.3380890488624573,70,68
cosine_neighbors_euclidean_score,episode,2.6272823810577393,542,516
cosine_neighbors_euclidean_score,task_init,3.696152925491333,70,68
euclidean_neighbors_cosine_score,episode,0.318893700838089,542,516
euclidean_neighbors_cosine_score,task_init,0.49472659826278687,70,68
cosine_without_center,episode,0.22754843533039093,542,516
cosine_without_center,task_init,0.36175912618637085,70,68
norm_only,episode,6.17126989364624,542,516
norm_only,task_init,6.720889091491699,70,68
