method,calibration,threshold,units,rank
euclidean,episode,2.544574499130249,503,479
euclidean,task_init,4.464548110961914,67,65
cosine,episode,0.35048648715019226,503,479
cosine,task_init,0.4352206289768219,67,65
cosine_neighbors_euclidean_score,episode,4.642955303192139,503,479
cosine_neighbors_euclidean_score,task_init,6.735311031341553,67,65
euclidean_neighbors_cosine_score,episode,0.47884291410446167,503,479
euclidean_neighbors_cosine_score,task_init,0.5858906507492065,67,65
cosine_without_center,episode,0.31412839889526367,503,479
cosine_without_center,task_init,0.3926379978656769,67,65
norm_only,episode,7.742671012878418,503,479
norm_only,task_init,14.248290061950684,67,65
