method,calibration,threshold,units,rank
euclidean,episode,1.7363826036453247,542,516
euclidean,task_init,2.3054089546203613,70,68
cosine,episode,0.29450711607933044,542,516
cosine,task_init,0.39142635464668274,70,68
cosine_neighbors_euclidean_score,episode,2.8282272815704346,542,516
cosine_neighbors_euclidean_score,task_init,4.32516622543335,70,68
euclidean_neighbors_cosine_score,episode,0.4410194158554077,542,516
euclidean_neighbors_cosine_score,task_init,0.577734112739563,70,68
cosine_without_center,episode,0.17033912241458893,542,516
cosine_without_center,task_init,0.2880176901817322,70,68
norm_only,episode,6.527319431304932,542,516
norm_only,task_init,7.897656440734863,70,68
