method,calibration,threshold,units,rank
euclidean,episode,1.524238109588623,549,523
euclidean,task_init,2.192049026489258,70,68
cosine,episode,0.2849724590778351,549,523
cosine,task_init,0.36977940797805786,70,68
cosine_neighbors_euclidean_score,episode,2.4086532592773438,549,523
cosine_neighbors_euclidean_score,task_init,3.004129409790039,70,68
euclidean_neighbors_cosine_score,episode,0.37492215633392334,549,523
euclidean_neighbors_cosine_score,task_init,0.5794082283973694,70,68
cosine_without_center,episode,0.26586097478866577,549,523
cosine_without_center,task_init,0.3447635769844055,70,68
norm_only,episode,5.04538106918335,549,523
norm_only,task_init,5.962634086608887,70,68
