method,calibration,threshold,units,rank
euclidean,episode,2.693880081176758,518,494
euclidean,task_init,4.315521240234375,69,67
cosine,episode,0.3548452854156494,518,494
cosine,task_init,0.4260764420032501,69,67
cosine_neighbors_euclidean_score,episode,5.0124311447143555,518,494
cosine_neighbors_euclidean_score,task_init,6.798381328582764,69,67
euclidean_neighbors_cosine_score,episode,0.501879870891571,518,494
euclidean_neighbors_cosine_score,task_init,0.6792610883712769,69,67
cosine_without_center,episode,0.3393350839614868,518,494
cosine_without_center,task_init,0.39829352498054504,69,67
norm_only,episode,7.963517189025879,518,494
norm_only,task_init,14.2236909866333,69,67
