method,calibration,threshold,units,rank
euclidean,episode,2.3335700035095215,515,491
euclidean,task_init,3.875976085662842,68,66
cosine,episode,0.34071505069732666,515,491
cosine,task_init,0.38027602434158325,68,66
cosine_neighbors_euclidean_score,episode,4.427421569824219,515,491
cosine_neighbors_euclidean_score,task_init,5.741111755371094,68,66
euclidean_neighbors_cosine_score,episode,0.473927766084671,515,491
euclidean_neighbors_cosine_score,task_init,0.5538575649261475,68,66
cosine_without_center,episode,0.31186920404434204,515,491
cosine_without_center,task_init,0.37768545746803284,68,66
norm_only,episode,8.800275802612305,515,491
norm_only,task_init,10.923628807067871,68,66
