method,calibration,threshold,units,rank
euclidean,episode,1.823172926902771,541,515
euclidean,task_init,2.2216238975524902,70,68
cosine,episode,0.28964197635650635,541,515
cosine,task_init,0.35855260491371155,70,68
cosine_neighbors_euclidean_score,episode,2.684988260269165,541,515
cosine_neighbors_euclidean_score,task_init,3.344986915588379,70,68
euclidean_neighbors_cosine_score,episode,0.38498571515083313,541,515
euclidean_neighbors_cosine_score,task_init,0.48727527260780334,70,68
cosine_without_center,episode,0.255004346370697,541,515
cosine_without_center,task_init,0.3336459696292877,70,68
norm_only,episode,6.088837623596191,541,515
norm_only,task_init,7.023609638214111,70,68
