method,calibration,threshold,units,rank
euclidean,episode,1.6881214380264282,543,517
euclidean,task_init,2.021517753601074,70,68
cosine,episode,0.25951406359672546,543,517
cosine,task_init,0.38040366768836975,70,68
cosine_neighbors_euclidean_score,episode,2.5364859104156494,543,517
cosine_neighbors_euclidean_score,task_init,3.2524895668029785,70,68
euclidean_neighbors_cosine_score,episode,0.3534770905971527,543,517
euclidean_neighbors_cosine_score,task_init,0.4720713198184967,70,68
cosine_without_center,episode,0.2475750744342804,543,517
cosine_without_center,task_init,0.39717012643814087,70,68
norm_only,episode,5.912968158721924,543,517
norm_only,task_init,6.885584831237793,70,68
