method,calibration,threshold,units,rank
euclidean,episode,1.6210957765579224,540,514
euclidean,task_init,1.9599847793579102,70,68
cosine,episode,0.24182528257369995,540,514
cosine,task_init,0.326732873916626,70,68
cosine_neighbors_euclidean_score,episode,2.355415105819702,540,514
cosine_neighbors_euclidean_score,task_init,2.9383974075317383,70,68
euclidean_neighbors_cosine_score,episode,0.3158353269100189,540,514
euclidean_neighbors_cosine_score,task_init,0.40795448422431946,70,68
cosine_without_center,episode,0.2274586409330368,540,514
cosine_without_center,task_init,0.34858438372612,70,68
norm_only,episode,5.7772603034973145,540,514
norm_only,task_init,6.996034145355225,70,68
