detector,budget,rule,k,drift
ablate_no_gating,0.002,k_of_m,28.0,
ablate_no_gating,0.005,k_of_m,28.0,
ablate_no_gating,0.01,k_of_m,28.0,
ablate_no_gating,0.02,k_of_m,29.0,
ablate_no_gating,0.05,cusum_gated,,0.3437711808102058
ablate_no_gating,0.1,cusum_gated,,0.3437711808102058
ablate_no_gating,0.2,cusum_gated,,0.6505237638529358
ablate_no_gating,0.3,k_of_m,8.0,
ablate_no_pop,0.002,cusum_gated,,-0.2148211205823477
ablate_no_pop,0.005,k_of_m,6.0,
ablate_no_pop,0.01,k_of_m,6.0,
ablate_no_pop,0.02,k_of_m,6.0,
ablate_no_pop,0.05,k_of_m,6.0,
ablate_no_pop,0.1,k_of_m,6.0,
ablate_no_pop,0.2,k_of_m,5.0,
ablate_no_pop,0.3,k_of_m,5.0,
ablate_no_self,0.002,cusum_gated,,-0.1207164155228551
ablate_no_self,0.005,cusum_gated,,-0.1207164155228551
ablate_no_self,0.01,cusum_gated,,-0.1207164155228551
ablate_no_self,0.02,k_of_m,4.0,
ablate_no_self,0.05,cusum_all,,-0.1207164155228551
ablate_no_self,0.1,cusum_all,,-0.1207164155228551
ablate_no_self,0.2,cusum_all,,-0.1207164155228551
ablate_no_self,0.3,cusum_all,,-0.1207164155228551
ablate_raw_only,0.002,cusum_gated,,-0.139372746806854
ablate_raw_only,0.005,cusum_all,,-0.139372746806854
ablate_raw_only,0.01,cusum_all,,-0.139372746806854
ablate_raw_only,0.02,cusum_all,,-0.139372746806854
ablate_raw_only,0.05,cusum_all,,0.1721147072812667
ablate_raw_only,0.1,cusum_all,,-0.139372746806854
ablate_raw_only,0.2,cusum_all,,-0.139372746806854
ablate_raw_only,0.3,k_of_m,5.0,
null_episode_const,0.002,cusum_all,,0.0002004184367046
null_episode_const,0.005,cusum_all,,0.0002004184367046
null_episode_const,0.01,cusum_all,,0.0002004184367046
null_episode_const,0.02,cusum_all,,0.0002004184367046
null_episode_const,0.05,cusum_all,,0.0002004184367046
null_episode_const,0.1,cusum_all,,0.0002004184367046
null_episode_const,0.2,k_of_m,6.0,
null_episode_const,0.3,k_of_m,6.0,
null_white,0.002,cusum_all,,0.0007538112441494
null_white,0.005,cusum_all,,0.0007538112441494
null_white,0.01,cusum_all,,0.0007538112441494
null_white,0.02,cusum_all,,0.0007538112441494
null_white,0.05,cusum_all,,0.0007538112441494
null_white,0.1,cusum_all,,0.0007538112441494
null_white,0.2,single_chunk,,
null_white,0.3,single_chunk,,
unified,0.002,cusum_all,,-0.2109494320649544
unified,0.005,cusum_all,,-0.2109494320649544
unified,0.01,k_of_m,6.0,
unified,0.02,k_of_m,6.0,
unified,0.05,k_of_m,6.0,
unified,0.1,k_of_m,4.0,
unified,0.2,k_of_m,6.0,
unified,0.3,k_of_m,5.0,
unified_extended,0.002,k_of_m,4.0,
unified_extended,0.005,k_of_m,5.0,
unified_extended,0.01,k_of_m,5.0,
unified_extended,0.02,k_of_m,5.0,
unified_extended,0.05,k_of_m,6.0,
unified_extended,0.1,k_of_m,6.0,
unified_extended,0.2,k_of_m,6.0,
unified_extended,0.3,k_of_m,6.0,
unified_plus_prior,0.002,cusum_all,,-1.5211178662040306
unified_plus_prior,0.005,cusum_all,,-0.4706977093601539
unified_plus_prior,0.01,cusum_all,,-0.4706977093601539
unified_plus_prior,0.02,cusum_all,,-0.4706977093601539
unified_plus_prior,0.05,cusum_all,,-1.5211178662040306
unified_plus_prior,0.1,cusum_all,,-1.981024485308361
unified_plus_prior,0.2,cusum_all,,-1.981024485308361
unified_plus_prior,0.3,cusum_all,,-1.981024485308361
