detector,arm,scope,budget,rule,alpha,tau,k,drift,point_id,development_main.iw_tp,development_main.iw_fp,development_main.n_risk,development_main.iw_recall,development_main.iw_fpr,development_main.iw_precision,external_8b.iw_tp,external_8b.iw_fp,external_8b.n_risk,external_8b.iw_recall,external_8b.iw_fpr,external_8b.iw_precision,legacy_main16x32.iw_tp,legacy_main16x32.iw_fp,legacy_main16x32.n_risk,legacy_main16x32.iw_recall,legacy_main16x32.iw_fpr,legacy_main16x32.iw_precision,corpus.iw_tp,corpus.iw_fp,corpus.n_risk,corpus.iw_recall,corpus.iw_fpr,corpus.iw_precision,sealed.iw_tp,sealed.iw_fp,sealed.n_risk,sealed.iw_recall,sealed.iw_fpr,sealed.iw_precision,development_main.survival_recall_at_same_fpr,development_main.excess_over_survival,external_8b.survival_recall_at_same_fpr,external_8b.excess_over_survival,legacy_main16x32.survival_recall_at_same_fpr,legacy_main16x32.excess_over_survival
ablate_no_gating,real,any_rule,0.002,k_of_m,0.6666666666666666,-0.187294771943637,28.0,,3655.0,111,28,487,0.2279260780287474,0.001956263536645,0.7985611510791367,108,46,564,0.1914893617021276,0.0030593242883745,0.7012987012987013,118.0,57.0,307.0,0.3843648208469055,0.0252996005326231,0.6742857142857143,337.0,131.0,1358.0,0.24815905743740796,0.0041453072590342385,0.7200854700854701,226.0,103.0,871.0,0.25947187141216993,0.005957545259991902,0.6869300911854104,0.0,0.2279260780287474,0.0,0.1914893617021276,0.0,0.3843648208469055
ablate_no_gating,real,any_rule,0.005,k_of_m,0.7333333333333333,-0.2909871411025371,28.0,,3779.0,142,69,487,0.2915811088295688,0.0048207922867323,0.6729857819905213,144,88,564,0.2553191489361702,0.00585262037776,0.6206896551724138,169.0,107.0,307.0,0.5504885993485342,0.0474922325787838,0.6123188405797102,455.0,264.0,1358.0,0.33505154639175255,0.00835390165179419,0.6328233657858137,313.0,195.0,871.0,0.3593570608495982,0.011278847822314766,0.6161417322834646,0.0,0.2915811088295688,0.0,0.2553191489361702,0.0,0.5504885993485342
ablate_no_gating,real,any_rule,0.01,k_of_m,0.8,-0.4175685533577336,28.0,,3903.0,173,136,487,0.3552361396303901,0.0095018514637043,0.5598705501618123,182,148,564,0.3226950354609929,0.0098430433625964,0.5515151515151515,192.0,161.0,307.0,0.6254071661237784,0.0714602751886373,0.5439093484419264,547.0,445.0,1358.0,0.4027982326951399,0.014081387253971268,0.5514112903225806,374.0,309.0,871.0,0.4293915040183697,0.017872635779975707,0.5475841874084919,0.0,0.3552361396303901,0.0,0.3226950354609929,0.0,0.6254071661237784
ablate_no_gating,real,any_rule,0.02,k_of_m,0.9833333333333332,-1.4400067668854903,29.0,,4245.0,219,281,487,0.4496919917864476,0.0196325019213302,0.438,260,277,564,0.4609929078014184,0.0184224527799946,0.4841713221601489,216.0,295.0,307.0,0.7035830618892508,0.1309365290723479,0.4227005870841487,695.0,853.0,1358.0,0.5117820324005891,0.026991962534016836,0.44896640826873385,476.0,572.0,871.0,0.5464982778415615,0.03308462027878998,0.4541984732824427,0.0,0.4496919917864476,0.0,0.4609929078014184,0.0,0.7035830618892508
ablate_no_gating,real,any_rule,0.05,cusum_gated,0.0647457627118644,2.655648497797439,,0.3437711808102058,4601.0,245,715,487,0.5030800821355236,0.0499545867393278,0.2552083333333333,278,715,564,0.4929078014184397,0.0475525405693003,0.2799597180261833,196.0,268.0,307.0,0.6384364820846905,0.1189525077674212,0.4224137931034483,719.0,1698.0,1358.0,0.5294550810014728,0.05373077653313081,0.2974762101779065,474.0,983.0,871.0,0.5442020665901263,0.05685696107351495,0.32532601235415237,0.7905544147843943,-0.2874743326488707,0.8120567375886525,-0.3191489361702128,0.0,0.6384364820846905
ablate_no_gating,real,any_rule,0.1,cusum_gated,0.1150847457627118,1.7001271787669596,,0.3437711808102058,4610.0,305,1400,487,0.6262833675564682,0.0978131768322504,0.1788856304985337,349,1418,564,0.6187943262411347,0.0943069965416334,0.1975099037917374,256.0,300.0,307.0,0.8338762214983714,0.133155792276964,0.460431654676259,910.0,3118.0,1358.0,0.6701030927835051,0.09866464147838744,0.22591857000993049,605.0,1718.0,871.0,0.6946039035591275,0.09936954132685523,0.26043908738699956,1.0,-0.3737166324435318,1.0,-0.38120567375886527,0.7035830618892508,0.13029315960912058
ablate_no_gating,real,any_rule,0.2,cusum_gated,0.2157627118644067,0.2597138017785304,,0.6505237638529358,4904.0,373,2822,487,0.7659137577002053,0.1971634178718647,0.1167449139280125,435,3292,564,0.7712765957446809,0.2189412077680234,0.1167158572578481,258.0,371.0,307.0,0.8403908794788274,0.1646693297825122,0.410174880763116,1066.0,6485.0,1358.0,0.7849779086892489,0.20520853110562623,0.14117335452257979,693.0,3663.0,871.0,0.7956371986222732,0.2118688183237897,0.1590909090909091,1.0,-0.2340862422997947,1.0,-0.22872340425531912,0.8631921824104235,-0.0228013029315961
ablate_no_gating,real,any_rule,0.3,k_of_m,0.6666666666666666,-0.187294771943637,8.0,,3635.0,393,4265,487,0.8069815195071869,0.2979808565639628,0.0843709746672391,466,5394,564,0.8262411347517731,0.3587390263367917,0.0795221843003413,262.0,938.0,307.0,0.8534201954397395,0.4163337771859742,0.2183333333333333,1121.0,10597.0,1358.0,0.8254786450662739,0.33532687804569333,0.09566478921317631,728.0,6332.0,871.0,0.835820895522388,0.3662444328763954,0.10311614730878187,1.0,-0.19301848049281312,1.0,-0.17375886524822692,1.0,-0.14657980456026054
ablate_no_gating,real,cusum_all,0.002,cusum_all,0.0039176060908879,15.061449814802868,,0.0258185972044481,4443.0,34,25,487,0.0698151950718685,0.0017466638720044,0.576271186440678,29,24,564,0.051418439716312,0.0015961691939345,0.5471698113207547,2.0,0.0,307.0,0.006514657980456,0.0,1.0,65.0,49.0,1358.0,0.04786450662739323,0.0015505347762799822,0.5701754385964912,31.0,24.0,871.0,0.03559127439724455,0.0013881658858233559,0.5636363636363636,0.0,0.0698151950718685,0.0,0.051418439716312,0.0,0.006514657980456
ablate_no_gating,real,cusum_all,0.005,cusum_all,0.01161520606972,12.003329649928698,,0.0258185972044481,4451.0,104,69,487,0.2135523613963039,0.0048207922867323,0.6011560693641619,96,67,564,0.1702127659574468,0.0044559723330673,0.588957055214724,63.0,39.0,307.0,0.2052117263843648,0.0173102529960053,0.6176470588235294,263.0,175.0,1358.0,0.19366715758468336,0.005537624200999937,0.6004566210045662,159.0,106.0,871.0,0.182548794489093,0.0061310659957198215,0.6,0.0,0.2135523613963039,0.0,0.1702127659574468,0.0,0.2052117263843648
