variant,ends,iw_tp,iw_fp,iw_libero_goal,iw_libero_long,iw_libero_object,iw_libero_spatial
published_anchor  q<=round(0.65*cap-1),"{'libero_goal': 18, 'libero_long': 33, 'libero_object': 17, 'libero_spatial': 13}",472,127,39,424,9,0
strict  (q+1)/cap<=0.65,"{'libero_goal': 18, 'libero_long': 32, 'libero_object': 17, 'libero_spatial': 13}",390,122,39,342,9,0
loose   q/cap<=0.65,"{'libero_goal': 19, 'libero_long': 33, 'libero_object': 18, 'libero_spatial': 14}",482,130,41,424,15,2
