alarm_cause,alarms,failures,successes,empirical_failure_fraction,first_alarm_query_median,first_alarm_phase_median
convergence_and_response,3,3,0,1.0,51.0,1.0
persistent_recurrence,304,149,155,0.4901315789473684,13.0,0.7692307692307693
