task,episode,init_state_id,flow_noise_seed,episode_length,failure,onset_query,onset_type,label_stagnation,label_goal_regression,label_goal_approach_leave,label_subtask_undo,static_onset_phase,goal_regression_onset_phase,goal_approach_first_exit_phase,subtask_undo_first_phase,alarm,first_alarm_query,clock_alarm,matched_clock_alarm,detector_delta,clock_first_alarm_query,clock_delta,matched_clock_first_alarm_query,matched_clock_delta
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,33,4,1001,52,True,24.0,goal_regression,False,True,False,True,0.696078431372549,0.4705882352941176,-1.0,0.8431372549019608,False,,True,True,,39.0,15.0,29.0,5.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,34,4,1002,52,True,22.0,goal_regression,False,True,True,True,-1.0,0.4313725490196078,0.7450980392156863,0.6274509803921569,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,57,7,1001,52,True,27.0,stagnation,True,False,False,False,0.5196078431372549,0.4117647058823529,-1.0,-1.0,False,,True,True,,39.0,12.0,29.0,2.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,61,7,1005,52,True,33.0,stagnation,True,False,False,False,0.6372549019607843,0.4117647058823529,-1.0,-1.0,False,,True,True,,39.0,6.0,29.0,-4.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,72,9,1000,52,True,27.0,stagnation,True,False,False,False,0.5196078431372549,0.4705882352941176,-1.0,-1.0,False,,True,True,,39.0,12.0,29.0,2.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,106,13,1002,52,True,22.0,goal_regression,True,True,False,False,0.5196078431372549,0.4313725490196078,-1.0,-1.0,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,109,13,1005,52,True,22.0,goal_regression,False,True,False,True,0.8529411764705882,0.4313725490196078,-1.0,0.803921568627451,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,116,14,1004,52,True,28.0,stagnation,True,False,False,False,0.5392156862745098,0.2156862745098039,-1.0,-1.0,False,,True,True,,39.0,11.0,29.0,1.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,117,14,1005,52,True,24.0,goal_regression,False,True,False,True,0.7941176470588235,0.4705882352941176,-1.0,0.7647058823529411,False,,True,True,,39.0,15.0,29.0,5.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,133,16,1005,52,True,27.0,goal_regression,False,True,False,True,0.8333333333333334,0.5294117647058824,-1.0,0.6666666666666666,False,,True,True,,39.0,12.0,29.0,2.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,168,21,1000,52,True,37.0,stagnation,True,False,False,False,0.7156862745098039,0.4117647058823529,-1.0,-1.0,False,,True,True,,39.0,2.0,29.0,-8.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,170,21,1002,52,True,20.0,goal_regression,True,True,False,True,0.7156862745098039,0.392156862745098,-1.0,0.6274509803921569,False,,True,True,,39.0,19.0,29.0,9.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,171,21,1003,52,True,21.0,goal_regression,False,True,False,True,0.7352941176470589,0.4117647058823529,-1.0,0.7450980392156863,False,,True,True,,39.0,18.0,29.0,8.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,173,21,1005,52,True,40.0,stagnation,True,False,False,False,0.7745098039215687,0.392156862745098,-1.0,-1.0,False,,True,True,,39.0,-1.0,29.0,-11.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,174,21,1006,52,True,22.0,goal_regression,False,True,False,True,0.2254901960784313,0.4313725490196078,-1.0,0.5294117647058824,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,185,23,1001,52,True,27.0,stagnation,True,False,False,False,0.5196078431372549,0.4509803921568627,-1.0,-1.0,False,,True,True,,39.0,12.0,29.0,2.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,186,23,1002,52,True,22.0,goal_regression,True,True,False,True,0.5588235294117647,0.4313725490196078,-1.0,0.7843137254901961,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,212,26,1004,52,True,30.0,stagnation,True,False,False,False,0.5784313725490197,0.4117647058823529,-1.0,-1.0,False,,True,True,,39.0,9.0,29.0,-1.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,214,26,1006,52,True,22.0,goal_regression,True,True,True,True,0.696078431372549,0.4313725490196078,0.9803921568627452,0.6078431372549019,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,217,27,1001,52,True,22.0,goal_regression,True,True,False,True,0.5392156862745098,0.4313725490196078,-1.0,0.4705882352941176,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,218,27,1002,52,True,22.0,goal_regression,True,True,False,True,0.5588235294117647,0.4313725490196078,-1.0,0.4901960784313725,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,219,27,1003,52,True,22.0,goal_regression,True,True,False,True,0.5392156862745098,0.4313725490196078,-1.0,0.4901960784313725,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,220,27,1004,52,True,22.0,goal_regression,False,True,False,True,0.5588235294117647,0.4313725490196078,-1.0,0.4901960784313725,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,221,27,1005,52,True,22.0,goal_regression,False,True,False,True,0.5392156862745098,0.4313725490196078,-1.0,0.5098039215686274,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,222,27,1006,52,True,22.0,goal_regression,False,True,False,True,0.5392156862745098,0.4313725490196078,-1.0,0.4705882352941176,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,223,27,1007,52,True,22.0,goal_regression,True,True,False,True,0.5392156862745098,0.4313725490196078,-1.0,0.4705882352941176,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,237,29,1005,52,True,36.0,stagnation,True,False,False,False,0.696078431372549,0.2156862745098039,-1.0,-1.0,False,,True,True,,39.0,3.0,29.0,-7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,241,30,1001,52,True,22.0,goal_regression,False,True,True,True,0.5588235294117647,0.4313725490196078,0.8823529411764706,0.7254901960784313,False,,True,True,,39.0,17.0,29.0,7.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,246,30,1006,52,True,26.0,stagnation,True,False,False,False,0.5,0.4509803921568627,-1.0,-1.0,False,,True,True,,39.0,13.0,29.0,3.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,281,35,1001,52,True,32.0,subtask_undo,False,False,False,True,0.8137254901960784,0.9019607843137256,-1.0,0.6274509803921569,False,,True,True,,39.0,7.0,29.0,-3.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,299,37,1003,52,True,23.0,goal_regression,False,True,True,True,0.5784313725490197,0.4509803921568627,0.8627450980392157,0.6274509803921569,False,,True,True,,39.0,16.0,29.0,6.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,327,40,1007,52,True,27.0,goal_regression,False,True,False,True,0.6372549019607843,0.5294117647058824,-1.0,0.8823529411764706,False,,True,True,,39.0,12.0,29.0,2.0
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,70,8,1006,28,True,20.0,stagnation,True,False,False,False,0.7222222222222222,0.2962962962962963,-1.0,-1.0,True,21.0,False,False,1.0,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,107,13,1003,28,True,6.0,goal_regression,False,True,False,False,-1.0,0.2222222222222222,-1.0,-1.0,False,,False,False,,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,119,14,1007,28,True,11.0,goal_regression,False,True,True,False,0.7592592592592593,0.4074074074074074,0.4444444444444444,-1.0,True,22.0,False,False,11.0,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,175,21,1007,28,True,11.0,goal_regression,False,True,False,False,0.8333333333333334,0.4074074074074074,-1.0,-1.0,True,18.0,False,False,7.0,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,265,33,1001,28,True,0.0,goal_regression,True,True,False,False,0.5,0.0,-1.0,-1.0,True,16.0,False,False,16.0,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,288,36,1000,28,True,10.0,goal_regression,False,True,False,False,0.4629629629629629,0.3703703703703703,-1.0,-1.0,True,24.0,False,False,14.0,,,,
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,307,38,1003,28,True,9.0,goal_regression,False,True,False,False,-1.0,0.3333333333333333,-1.0,-1.0,False,,False,False,,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,186,23,1002,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.3333333333333333,-1.0,-1.0,True,16.0,False,False,0.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,224,28,1000,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.2857142857142857,-1.0,-1.0,True,17.0,False,False,0.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,226,28,1002,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.3333333333333333,-1.0,-1.0,True,17.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,229,28,1005,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.3333333333333333,-1.0,-1.0,True,18.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,230,28,1006,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.2857142857142857,-1.0,-1.0,True,17.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,264,33,1000,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.3809523809523809,-1.0,-1.0,True,17.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,265,33,1001,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.3333333333333333,-1.0,-1.0,True,16.0,False,False,0.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,267,33,1003,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.3333333333333333,-1.0,-1.0,True,17.0,False,False,0.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,268,33,1004,22,True,16.0,stagnation,True,False,False,False,0.7380952380952381,0.3333333333333333,-1.0,-1.0,True,17.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,269,33,1005,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.3809523809523809,-1.0,-1.0,True,18.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,270,33,1006,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.3333333333333333,-1.0,-1.0,True,18.0,False,False,1.0,,,,
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,310,38,1006,22,True,17.0,stagnation,True,False,False,False,0.7857142857142857,0.4761904761904761,-1.0,-1.0,True,18.0,False,False,1.0,,,,
