split,suite,selection,model,rows,successes,success_rate,brier,log_loss,auroc,ece10
test_unseen_init,all,all_q7plus,prior_global,56437,50218,0.8898063327249853,0.09868493006613879,0.3497848670637937,0.5,0.025177511764286953
test_unseen_init,all,all_q7plus,clock_global,56437,50218,0.8898063327249853,0.07389510052901793,0.2675720665228541,0.7930655434442828,0.021192099555898118
test_unseen_init,all,all_q7plus,clock_global_raw,56437,50218,0.8898063327249853,0.07408419869328876,0.2678300626643632,0.7930655434442828,0.022795902605128697
test_unseen_init,all,all_q7plus,clock_cap_global,56437,50218,0.8898063327249853,0.06241653893664867,0.23153715885811976,0.8379818117465161,0.0189762089191496
test_unseen_init,all,all_q7plus,clock_cap_global_raw,56437,50218,0.8898063327249853,0.06245690821084054,0.23123256080541016,0.8379818117465161,0.018908702050178514
test_unseen_init,all,all_q7plus,moe_local_global,56437,50218,0.8898063327249853,0.05833121809711543,0.2049459370732766,0.9092224951790991,0.021902344371379324
test_unseen_init,all,all_q7plus,moe_local_global_raw,56437,50218,0.8898063327249853,0.05596672347346607,0.20096204258810313,0.9092224951790991,0.017086698163583842
test_unseen_init,all,all_q7plus,moe_local_clock_global,56437,50218,0.8898063327249853,0.051770565589866584,0.18435714832093997,0.9244584814582114,0.020713444145204925
test_unseen_init,all,all_q7plus,moe_local_clock_global_raw,56437,50218,0.8898063327249853,0.05069998332905186,0.1823084071899384,0.9244584814582114,0.01727816463082454
test_unseen_init,all,all_q7plus,moe_local_clock_cap_global,56437,50218,0.8898063327249853,0.04946307259989556,0.17657671818471132,0.9299616623763517,0.01952165768722139
test_unseen_init,all,all_q7plus,moe_local_clock_cap_global_raw,56437,50218,0.8898063327249853,0.04831464931156061,0.17417837624051663,0.9299616623763517,0.015886086311699982
test_unseen_init,all,all_q7plus,prior_suite,56437,50218,0.8898063327249853,0.09734170687478737,0.3404590868002022,0.6024779861396208,0.027128164356016216
test_unseen_init,all,all_q7plus,clock_suite,56437,50218,0.8898063327249853,0.06238705408842776,0.23110448332931902,0.8387301361241064,0.018942735460734016
test_unseen_init,all,all_q7plus,moe_local_suite,56437,50218,0.8898063327249853,0.054048587015947065,0.1888685407117811,0.9249164973726292,0.020410583338141993
test_unseen_init,all,all_q7plus,moe_local_unseen_task,56437,50218,0.8898063327249853,0.06846482381427395,0.25416585975845674,0.8225702187057451,0.020841525009267916
test_unseen_init,all,all_q7plus,moe_local_unseen_task_raw,56437,50218,0.8898063327249853,0.07320391738709317,0.265726050904464,0.8053824079225544,0.03855817106735897
test_unseen_init,all,all_q7plus,prior_unseen_task,56437,50218,0.8898063327249853,0.10232598862948886,0.3672210631361539,0.33362296137353764,0.09017268327827892
test_unseen_init,all,all_q7plus,original_suite_clock,56437,50218,0.8898063327249853,0.062390337353494085,0.23110329951508957,0.8387350063515644,0.018819114393271576
test_unseen_init,all,all_q7plus,original_suite_moe_clock,56437,50218,0.8898063327249853,0.04683235526322184,0.1650289610388912,0.9412484785502279,0.014997126627185981
test_unseen_init,all,q7,prior_global,6368,6173,0.9693781407035176,0.04065658101629216,0.2022364687941941,0.5,0.1047493197428192
test_unseen_init,all,q7,clock_global,6368,6173,0.9693781407035176,0.02970256403040389,0.13723855115130254,0.5,0.0042898718739668995
test_unseen_init,all,q7,clock_global_raw,6368,6173,0.9693781407035176,0.029742249239065485,0.13774295744996115,0.5,0.007621562133620531
test_unseen_init,all,q7,clock_cap_global,6368,6173,0.9693781407035176,0.029397127772926475,0.1321465348313981,0.6757579533701354,0.006107913844395574
test_unseen_init,all,q7,clock_cap_global_raw,6368,6173,0.9693781407035176,0.02941019702311576,0.1323186466620305,0.6757579533701354,0.007905260700686645
test_unseen_init,all,q7,moe_local_global,6368,6173,0.9693781407035176,0.028803049486763283,0.12405433302259672,0.7639310147166943,0.004542056756521918
test_unseen_init,all,q7,moe_local_global_raw,6368,6173,0.9693781407035176,0.030560407305779053,0.13325325948716174,0.7639310147166943,0.028794565106532412
test_unseen_init,all,q7,moe_local_clock_global,6368,6173,0.9693781407035176,0.02795818882959594,0.1205591855395505,0.7738970786759543,0.011288568650713785
test_unseen_init,all,q7,moe_local_clock_global_raw,6368,6173,0.9693781407035176,0.027254461927590772,0.11865423026473913,0.7738970786759543,0.011855295232013946
test_unseen_init,all,q7,moe_local_clock_cap_global,6368,6173,0.9693781407035176,0.027482785660015524,0.11770363169758083,0.7808840816292623,0.010261816556354221
test_unseen_init,all,q7,moe_local_clock_cap_global_raw,6368,6173,0.9693781407035176,0.026965509478563476,0.11632970515674487,0.7808840816292623,0.012151988167854984
test_unseen_init,all,q7,prior_suite,6368,6173,0.9693781407035176,0.039490596853903576,0.18774957506434847,0.6450834278308764,0.09006925655044888
test_unseen_init,all,q7,clock_suite,6368,6173,0.9693781407035176,0.029371548868895665,0.1318827033779789,0.6757579533701354,0.007148148723656766
test_unseen_init,all,q7,moe_local_suite,6368,6173,0.9693781407035176,0.026865391862716352,0.1108148453630695,0.8321299953893506,0.0030871503815531843
test_unseen_init,all,q7,moe_local_unseen_task,6368,6173,0.9693781407035176,0.03268669101813774,0.1501270636683241,0.5728465982961366,0.014991500046707872
test_unseen_init,all,q7,moe_local_unseen_task_raw,6368,6173,0.9693781407035176,0.03986013419432112,0.17394023569940018,0.5265897394360055,0.04400307409875431
test_unseen_init,all,q7,prior_unseen_task,6368,6173,0.9693781407035176,0.041859609994728667,0.20662682817070024,0.3385790892513718,0.1039845414812752
test_unseen_init,all,q7,original_suite_clock,6368,6173,0.9693781407035176,0.029369468473052645,0.1318462877503833,0.6757579533701354,0.006916313303297894
test_unseen_init,all,q7,original_suite_moe_clock,6368,6173,0.9693781407035176,0.026631829134185752,0.11120282179411033,0.8231238603180933,0.007609191498476671
test_unseen_init,all,q15,prior_global,2020,1825,0.9034653465346535,0.08872398986432845,0.3244572333106108,0.5,0.038836525573955116
test_unseen_init,all,q15,clock_global,2020,1825,0.9034653465346535,0.08788520879262517,0.32201130588906385,0.5,0.025874594623938263
