left,right,metric,difference,low,high
moe_local_global,clock_cap_global,brier,-0.004085320839533243,-0.010588394936093929,0.0008882873021786044
moe_local_global,clock_cap_global,log_loss,-0.02659122178484319,-0.04715782438873548,-0.010323599301807915
moe_local_global,clock_suite,brier,-0.004055835991312329,-0.01085249372419214,0.001156218150680671
moe_local_global,clock_suite,log_loss,-0.02615854625604242,-0.04739630552633493,-0.009371049617686828
moe_local_clock_cap_global,moe_local_global,brier,-0.008868145497219874,-0.011432267875889371,-0.006546355491447437
moe_local_clock_cap_global,moe_local_global,log_loss,-0.028369218888565233,-0.036509291660372124,-0.021228161299651212
moe_local_suite,moe_local_global,brier,-0.004282631081168369,-0.006314176584143821,-0.0023137510343018697
moe_local_suite,moe_local_global,log_loss,-0.016077396361495487,-0.021972240844909143,-0.010557163218765318
moe_local_unseen_task,prior_unseen_task,brier,-0.0338611648152149,-0.047099419924589034,-0.023562247316754416
moe_local_unseen_task,prior_unseen_task,log_loss,-0.1130552033776972,-0.1409910848758287,-0.09021811522085806
