cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,lock_quantile,instability_quantile,max_suite_fpr,max_task_fpr,worst_task_recall_min_risk5,eligible
development_main,all,candidate,14800,487,14313,30,457,10280,485,9795,2,4518,0.9958932238193019,0.6843429050513519,0.04717898832684825,0.9666666666666667,0.9978118161925602,19.0,0.9958932238193019,0.9753593429158111,0.9568788501026694,0.7782340862422998,0.5,0.5,0.800403734544537,0.8575,0.9855072463768116,False
development_main,all,candidate,14800,487,14313,30,457,9756,484,9272,3,5041,0.9938398357289527,0.6478026968490184,0.04961049610496105,0.9666666666666667,0.9956236323851203,18.0,0.9917864476386037,0.971252566735113,0.9342915811088296,0.757700205338809,0.5,0.6,0.7469089073933889,0.805,0.9782608695652174,False
development_main,all,candidate,14800,487,14313,30,457,9233,482,8751,5,5562,0.9897330595482546,0.6114022217564452,0.05220405068775046,0.9,0.9956236323851203,18.0,0.9856262833675564,0.9589322381930184,0.9137577002053389,0.7351129363449692,0.5,0.7,0.6926570779712339,0.74,0.9637681159420289,False
development_main,all,candidate,14800,487,14313,30,457,8937,482,8455,5,5858,0.9897330595482546,0.5907217215119123,0.053933087165715564,0.9,0.9956236323851203,18.0,0.9815195071868583,0.9507186858316222,0.8973305954825462,0.7186858316221766,0.5,0.75,0.6603583144082765,0.7125,0.9637681159420289,False
development_main,all,candidate,14800,487,14313,30,457,8672,479,8193,8,6120,0.9835728952772074,0.5724166841333054,0.055235239852398525,0.9,0.9890590809628009,18.0,0.9650924024640657,0.9383983572895277,0.8809034907597536,0.7084188911704312,0.5,0.8,0.6310875599293465,0.6825,0.9420289855072463,False
development_main,all,candidate,14800,487,14313,30,457,8391,477,7914,10,6399,0.9794661190965093,0.5529239153217355,0.056846621380050054,0.9,0.9846827133479212,18.0,0.9548254620123203,0.9219712525667351,0.8562628336755647,0.6919917864476386,0.5,0.85,0.6013121372697452,0.6375,0.927536231884058,False
development_main,all,candidate,14800,487,14313,30,457,8080,473,7607,14,6706,0.971252566735113,0.5314748829735205,0.05853960396039604,0.8666666666666667,0.9781181619256017,18.0,0.946611909650924,0.9117043121149897,0.8439425051334702,0.6858316221765913,0.5,0.9,0.569518041887459,0.595,0.8985507246376812,False
development_main,all,candidate,14800,487,14313,30,457,7915,472,7443,15,6870,0.9691991786447639,0.5200167679731712,0.05963360707517372,0.8666666666666667,0.975929978118162,18.0,0.9425051334702259,0.9014373716632443,0.8357289527720739,0.6837782340862423,0.5,0.925,0.5518546555639667,0.5725,0.8913043478260869,False
development_main,all,candidate,14800,487,14313,30,457,7750,470,7280,17,7033,0.9650924024640657,0.508628519527702,0.06064516129032258,0.8666666666666667,0.9715536105032823,18.0,0.9383983572895277,0.8973305954825462,0.8213552361396304,0.6735112936344969,0.5,0.95,0.533181932879132,0.5525,0.8840579710144928,False
development_main,all,candidate,14800,487,14313,30,457,7679,470,7209,17,7104,0.9650924024640657,0.5036679941312094,0.061205886183096754,0.8666666666666667,0.9715536105032823,18.0,0.9383983572895277,0.893223819301848,0.8069815195071869,0.6735112936344969,0.5,0.96,0.5253595760787282,0.5475,0.8840579710144928,False
development_main,all,candidate,14800,487,14313,30,457,7578,464,7114,23,7199,0.9527720739219713,0.4970306714175924,0.06122987595671681,0.8666666666666667,0.9584245076586433,18.0,0.9240246406570842,0.8788501026694046,0.7987679671457906,0.6632443531827515,0.5,0.975,0.514004542013626,0.5325,0.855072463768116,False
development_main,all,candidate,14800,487,14313,30,457,7544,461,7083,26,7230,0.946611909650924,0.49486480821630685,0.06110816542948038,0.8666666666666667,0.9518599562363238,18.0,0.9158110882956879,0.8767967145790554,0.7926078028747433,0.6611909650924025,0.5,0.98,0.5102195306585919,0.5325,0.8478260869565217,False
development_main,all,candidate,14800,487,14313,30,457,7472,449,7023,38,7290,0.9219712525667351,0.4906728149234961,0.06009100642398287,0.8333333333333334,0.9277899343544858,17.0,0.8891170431211499,0.8542094455852156,0.7659137577002053,0.6509240246406571,0.5,0.99,0.5046681806712087,0.52,0.8,False
development_main,all,candidate,14800,487,14313,30,457,7426,438,6988,49,7325,0.8993839835728953,0.48822748550268985,0.05898195529221654,0.8333333333333334,0.9037199124726477,18.0,0.86652977412731,0.8357289527720739,0.7412731006160165,0.6303901437371663,0.5,0.995,0.5003785011355034,0.51,0.4,False
development_main,all,candidate,14800,487,14313,30,457,7411,436,6975,51,7338,0.8952772073921971,0.4873192202892475,0.058831466738631766,0.8333333333333334,0.899343544857768,18.0,0.8603696098562629,0.8295687885010267,0.7330595482546202,0.62217659137577,0.5,1.0,0.49835982841281856,0.51,0.2,False
development_main,all,candidate,14800,487,14313,30,457,9331,484,8847,3,5466,0.9938398357289527,0.6181094110249423,0.05187011038473904,0.9666666666666667,0.9956236323851203,18.0,0.9938398357289527,0.9630390143737166,0.9425051334702259,0.75564681724846,0.6,0.5,0.7511985869290941,0.8060453400503779,0.9782608695652174,False
development_main,all,candidate,14800,487,14313,30,457,8717,482,8235,5,6078,0.9897330595482546,0.5753510794382729,0.05529425260984284,0.9666666666666667,0.9912472647702407,18.0,0.9876796714579056,0.9568788501026694,0.9117043121149897,0.7248459958932238,0.6,0.6,0.688115064345193,0.74,0.9637681159420289,False
development_main,all,candidate,14800,487,14313,30,457,8070,480,7590,7,6723,0.9856262833675564,0.5302871515405575,0.05947955390334572,0.9,0.9912472647702407,18.0,0.9794661190965093,0.9383983572895277,0.8870636550308009,0.6981519507186859,0.6,0.7,0.6222558667676003,0.6649874055415617,0.9492753623188406,False
