metric,n_query_pairs,n_sites_per_pair,baseline_hard_turnover,bf16_stable_only_turnover,margin_weighted_turnover,bf16_stable_pair_site_fraction,exact_zero_min_margin_fraction,n_pairs_with_stable_site,n_pairs_with_positive_weight,legacy_expected,legacy_abs_error,cache_id,rows_used
state_adjacent_query_top4_turnover,2004,8,0.311127744510978,0.3002601938979184,0.24677859478294928,0.8834830339321357,0.09443612774451098,2004,2004,0.311127744510978,0.0,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32,2048
action_adjacent_query_top4_turnover,2004,800,0.6949723989520958,0.6661775965917878,0.6611361093176565,0.36373253493013974,0.5100405439121757,2004,2004,0.6949723989520958,0.0,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32,2048
action_adjacent_denoise_top4_turnover,2048,720,0.203131103515625,0.1489801711940907,0.1284439968599671,0.38472222222222224,0.4996337890625,2048,2048,0.20313110351562502,2.7755575615628914e-17,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32,2048
action_denoise0_vs_denoise9_top4_turnover,512,80,0.698358154296875,0.6850160646010794,0.6843310436029799,0.3650146484375,0.46748046875,512,512,0.698358154296875,0.0,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-16x32,512
