scope,var_a,var_b,rho,n_obs,n_cells
pooled,H_gate,H_gate,1.0,717840,0
pooled,H_gate,H_usage,0.7225570119637335,717840,0
pooled,H_gate,D_time,-0.7061403110748886,717840,0
pooled,H_gate,hard_churn,-0.07040252851782053,717840,0
pooled,H_gate,tie_gap_ulp,-0.34342339425591767,717840,0
pooled,H_usage,H_gate,0.7225570119637335,717840,0
pooled,H_usage,H_usage,1.0,717840,0
pooled,H_usage,D_time,-0.37126207846978665,717840,0
pooled,H_usage,hard_churn,0.15151472233785318,717840,0
pooled,H_usage,tie_gap_ulp,-0.24307425980782363,717840,0
pooled,D_time,H_gate,-0.7061403110748886,717840,0
pooled,D_time,H_usage,-0.37126207846978665,717840,0
pooled,D_time,D_time,1.0,717840,0
pooled,D_time,hard_churn,0.4189389510945417,717840,0
pooled,D_time,tie_gap_ulp,0.26945073964997196,717840,0
pooled,hard_churn,H_gate,-0.07040252851782053,717840,0
pooled,hard_churn,H_usage,0.15151472233785318,717840,0
pooled,hard_churn,D_time,0.4189389510945417,717840,0
pooled,hard_churn,hard_churn,1.0,717840,0
pooled,hard_churn,tie_gap_ulp,0.0010575068898147728,717840,0
pooled,tie_gap_ulp,H_gate,-0.34342339425591767,717840,0
pooled,tie_gap_ulp,H_usage,-0.24307425980782363,717840,0
pooled,tie_gap_ulp,D_time,0.26945073964997196,717840,0
pooled,tie_gap_ulp,hard_churn,0.0010575068898147728,717840,0
pooled,tie_gap_ulp,tie_gap_ulp,1.0,717840,0
pooled_layer_L2,H_gate,H_gate,1.0,89730,0
pooled_layer_L2,H_gate,H_usage,0.7783175936753025,89730,0
pooled_layer_L2,H_gate,D_time,-0.6120007362784909,89730,0
pooled_layer_L2,H_gate,hard_churn,0.1670644071458887,89730,0
pooled_layer_L2,H_gate,tie_gap_ulp,-0.3329067208318777,89730,0
pooled_layer_L2,H_usage,H_gate,0.7783175936753025,89730,0
pooled_layer_L2,H_usage,H_usage,1.0,89730,0
pooled_layer_L2,H_usage,D_time,-0.3489571085210277,89730,0
pooled_layer_L2,H_usage,hard_churn,0.32784182991796923,89730,0
pooled_layer_L2,H_usage,tie_gap_ulp,-0.28058333453165357,89730,0
pooled_layer_L2,D_time,H_gate,-0.6120007362784909,89730,0
pooled_layer_L2,D_time,H_usage,-0.3489571085210277,89730,0
pooled_layer_L2,D_time,D_time,1.0,89730,0
pooled_layer_L2,D_time,hard_churn,0.27433858514024323,89730,0
pooled_layer_L2,D_time,tie_gap_ulp,0.21137380749502463,89730,0
pooled_layer_L2,hard_churn,H_gate,0.1670644071458887,89730,0
pooled_layer_L2,hard_churn,H_usage,0.32784182991796923,89730,0
pooled_layer_L2,hard_churn,D_time,0.27433858514024323,89730,0
pooled_layer_L2,hard_churn,hard_churn,1.0,89730,0
pooled_layer_L2,hard_churn,tie_gap_ulp,-0.11436877988732344,89730,0
pooled_layer_L2,tie_gap_ulp,H_gate,-0.3329067208318777,89730,0
pooled_layer_L2,tie_gap_ulp,H_usage,-0.28058333453165357,89730,0
pooled_layer_L2,tie_gap_ulp,D_time,0.21137380749502463,89730,0
pooled_layer_L2,tie_gap_ulp,hard_churn,-0.11436877988732344,89730,0
pooled_layer_L2,tie_gap_ulp,tie_gap_ulp,1.0,89730,0
pooled_layer_L3,H_gate,H_gate,1.0,89730,0
pooled_layer_L3,H_gate,H_usage,0.7572473965072016,89730,0
pooled_layer_L3,H_gate,D_time,-0.5784637205208439,89730,0
pooled_layer_L3,H_gate,hard_churn,0.055002867157232044,89730,0
pooled_layer_L3,H_gate,tie_gap_ulp,-0.2825991457690453,89730,0
pooled_layer_L3,H_usage,H_gate,0.7572473965072016,89730,0
pooled_layer_L3,H_usage,H_usage,1.0,89730,0
pooled_layer_L3,H_usage,D_time,-0.3212896093003318,89730,0
pooled_layer_L3,H_usage,hard_churn,0.2094151939372273,89730,0
pooled_layer_L3,H_usage,tie_gap_ulp,-0.21542870633028494,89730,0
pooled_layer_L3,D_time,H_gate,-0.5784637205208439,89730,0
pooled_layer_L3,D_time,H_usage,-0.3212896093003318,89730,0
pooled_layer_L3,D_time,D_time,1.0,89730,0
pooled_layer_L3,D_time,hard_churn,0.37057744246217794,89730,0
pooled_layer_L3,D_time,tie_gap_ulp,0.19234934141205842,89730,0
pooled_layer_L3,hard_churn,H_gate,0.055002867157232044,89730,0
pooled_layer_L3,hard_churn,H_usage,0.2094151939372273,89730,0
pooled_layer_L3,hard_churn,D_time,0.37057744246217794,89730,0
pooled_layer_L3,hard_churn,hard_churn,1.0,89730,0
pooled_layer_L3,hard_churn,tie_gap_ulp,-0.04645518408746633,89730,0
pooled_layer_L3,tie_gap_ulp,H_gate,-0.2825991457690453,89730,0
pooled_layer_L3,tie_gap_ulp,H_usage,-0.21542870633028494,89730,0
pooled_layer_L3,tie_gap_ulp,D_time,0.19234934141205842,89730,0
pooled_layer_L3,tie_gap_ulp,hard_churn,-0.04645518408746633,89730,0
pooled_layer_L3,tie_gap_ulp,tie_gap_ulp,1.0,89730,0
pooled_layer_L4,H_gate,H_gate,1.0,89730,0
pooled_layer_L4,H_gate,H_usage,0.8022627834081271,89730,0
pooled_layer_L4,H_gate,D_time,-0.6247828399875134,89730,0
pooled_layer_L4,H_gate,hard_churn,0.04299766489640041,89730,0
pooled_layer_L4,H_gate,tie_gap_ulp,-0.31395541171327707,89730,0
pooled_layer_L4,H_usage,H_gate,0.8022627834081271,89730,0
pooled_layer_L4,H_usage,H_usage,1.0,89730,0
pooled_layer_L4,H_usage,D_time,-0.3995599847251612,89730,0
pooled_layer_L4,H_usage,hard_churn,0.181856027779681,89730,0
pooled_layer_L4,H_usage,tie_gap_ulp,-0.2562105170665477,89730,0
pooled_layer_L4,D_time,H_gate,-0.6247828399875134,89730,0
pooled_layer_L4,D_time,H_usage,-0.3995599847251612,89730,0
pooled_layer_L4,D_time,D_time,1.0,89730,0
pooled_layer_L4,D_time,hard_churn,0.3732653286034634,89730,0
pooled_layer_L4,D_time,tie_gap_ulp,0.215246375547213,89730,0
pooled_layer_L4,hard_churn,H_gate,0.04299766489640041,89730,0
pooled_layer_L4,hard_churn,H_usage,0.181856027779681,89730,0
pooled_layer_L4,hard_churn,D_time,0.3732653286034634,89730,0
pooled_layer_L4,hard_churn,hard_churn,1.0,89730,0
pooled_layer_L4,hard_churn,tie_gap_ulp,-0.047926766183987744,89730,0
pooled_layer_L4,tie_gap_ulp,H_gate,-0.31395541171327707,89730,0
pooled_layer_L4,tie_gap_ulp,H_usage,-0.2562105170665477,89730,0
pooled_layer_L4,tie_gap_ulp,D_time,0.215246375547213,89730,0
pooled_layer_L4,tie_gap_ulp,hard_churn,-0.047926766183987744,89730,0
pooled_layer_L4,tie_gap_ulp,tie_gap_ulp,1.0,89730,0
pooled_layer_L5,H_gate,H_gate,1.0,89730,0
pooled_layer_L5,H_gate,H_usage,0.7081365537432498,89730,0
pooled_layer_L5,H_gate,D_time,-0.6424662256685801,89730,0
pooled_layer_L5,H_gate,hard_churn,0.03443353700087178,89730,0
