family,level,scope,outcome,method,episodes,alarms,no_alarm,alarm_rate,p25_pct,median_pct,p75_pct,median_query,at_or_after_75pct
frozen,all,all,failure,v7,564,439,125,0.7783687943262412,59.61538461538461,69.23076923076923,83.33333333333333,25.0,199
frozen,all,all,failure,v8,564,460,104,0.8156028368794326,59.61538461538461,67.85714285714286,81.81818181818181,24.5,186
frozen,all,all,failure,v82,564,475,89,0.8421985815602837,59.61538461538461,67.3076923076923,81.81818181818181,24.0,185
frozen,all,all,success,v7,15436,81,15355,0.005247473438714693,40.38461538461539,46.15384615384615,59.61538461538461,22.0,6
frozen,all,all,success,v8,15436,91,15345,0.005895309665716507,40.0,46.15384615384615,59.61538461538461,22.0,6
frozen,all,all,success,v82,15436,99,15337,0.006413578647317958,39.230769230769226,44.23076923076923,59.61538461538461,21.0,5
frozen,suite,libero_goal,failure,v7,106,73,33,0.6886792452830188,63.333333333333336,80.0,83.33333333333333,24.0,47
frozen,suite,libero_goal,failure,v8,106,83,23,0.7830188679245284,53.333333333333336,73.33333333333333,80.0,22.0,39
frozen,suite,libero_goal,failure,v82,106,87,19,0.8207547169811321,53.333333333333336,70.0,81.66666666666666,21.0,40
frozen,suite,libero_goal,success,v7,3894,1,3893,0.00025680534155110427,83.33333333333333,83.33333333333333,83.33333333333333,25.0,1
frozen,suite,libero_goal,success,v8,3894,9,3885,0.0023112480739599386,36.666666666666664,40.0,56.666666666666664,12.0,1
frozen,suite,libero_goal,success,v82,3894,10,3884,0.0025680534155110425,36.666666666666664,41.66666666666667,50.833333333333336,12.5,0
frozen,suite,libero_long,failure,v7,274,236,38,0.8613138686131386,57.69230769230769,61.53846153846154,67.3076923076923,32.0,43
frozen,suite,libero_long,failure,v8,274,236,38,0.8613138686131386,57.69230769230769,61.53846153846154,67.3076923076923,32.0,42
frozen,suite,libero_long,failure,v82,274,239,35,0.8722627737226277,57.69230769230769,61.53846153846154,67.3076923076923,32.0,41
frozen,suite,libero_long,success,v7,3726,69,3657,0.018518518518518517,38.46153846153846,44.23076923076923,59.61538461538461,23.0,2
frozen,suite,libero_long,success,v8,3726,71,3655,0.0190552871712292,38.46153846153846,44.23076923076923,58.65384615384615,23.0,2
frozen,suite,libero_long,success,v82,3726,77,3649,0.020665593129361247,38.46153846153846,42.30769230769231,57.69230769230769,22.0,2
frozen,suite,libero_object,failure,v7,44,22,22,0.5,65.17857142857143,75.0,81.25,21.0,13
frozen,suite,libero_object,failure,v8,44,23,21,0.5227272727272727,64.28571428571429,75.0,80.35714285714286,21.0,12
frozen,suite,libero_object,failure,v82,44,30,14,0.6818181818181818,61.60714285714286,71.42857142857143,78.57142857142857,20.0,14
frozen,suite,libero_object,success,v7,3956,8,3948,0.0020222446916076846,46.42857142857143,62.5,66.07142857142858,17.5,1
frozen,suite,libero_object,success,v8,3956,8,3948,0.0020222446916076846,46.42857142857143,62.5,66.07142857142858,17.5,1
frozen,suite,libero_object,success,v82,3956,8,3948,0.0020222446916076846,46.42857142857143,62.5,66.07142857142858,17.5,1
frozen,suite,libero_spatial,failure,v7,140,108,32,0.7714285714285715,81.81818181818181,86.36363636363636,90.9090909090909,19.0,96
frozen,suite,libero_spatial,failure,v8,140,118,22,0.8428571428571429,77.27272727272727,86.36363636363636,90.9090909090909,19.0,93
frozen,suite,libero_spatial,failure,v82,140,119,21,0.85,77.27272727272727,86.36363636363636,90.9090909090909,19.0,90
frozen,suite,libero_spatial,success,v7,3860,3,3857,0.0007772020725388601,70.45454545454545,77.27272727272727,79.54545454545453,17.0,2
frozen,suite,libero_spatial,success,v8,3860,3,3857,0.0007772020725388601,70.45454545454545,77.27272727272727,79.54545454545453,17.0,2
frozen,suite,libero_spatial,success,v82,3860,4,3856,0.0010362694300518134,60.22727272727273,70.45454545454545,78.4090909090909,15.5,2
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,0,0,0,,,,,,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,0,0,0,,,,,,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,0,0,0,,,,,,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,400,0,400,0.0,,,,,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,400,0,400,0.0,,,,,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v82,400,0,400,0.0,,,,,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,51,39,12,0.7647058823529411,80.0,83.33333333333333,86.66666666666667,25.0,37
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,51,39,12,0.7647058823529411,80.0,83.33333333333333,86.66666666666667,25.0,35
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v82,51,39,12,0.7647058823529411,80.0,83.33333333333333,86.66666666666667,25.0,35
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,349,1,348,0.0028653295128939827,83.33333333333333,83.33333333333333,83.33333333333333,25.0,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,349,1,348,0.0028653295128939827,83.33333333333333,83.33333333333333,83.33333333333333,25.0,1
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v82,349,1,348,0.0028653295128939827,53.333333333333336,53.333333333333336,53.333333333333336,16.0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,1,1,0,1.0,76.66666666666667,76.66666666666667,76.66666666666667,23.0,1
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,1,1,0,1.0,53.333333333333336,53.333333333333336,53.333333333333336,16.0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v82,1,1,0,1.0,53.333333333333336,53.333333333333336,53.333333333333336,16.0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,399,0,399,0.0,,,,,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,399,3,396,0.007518796992481203,50.0,56.666666666666664,58.33333333333333,17.0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v82,399,4,395,0.010025062656641603,43.333333333333336,50.0,57.5,15.0,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,18,4,14,0.2222222222222222,71.66666666666666,76.66666666666666,80.0,23.0,2
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,18,7,11,0.3888888888888889,56.666666666666664,66.66666666666667,76.66666666666666,20.0,2
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v82,18,11,7,0.6111111111111112,53.333333333333336,53.333333333333336,80.0,16.0,4
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,382,0,382,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,382,0,382,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v82,382,0,382,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,failure,v7,9,8,1,0.8888888888888888,72.5,75.0,76.66666666666667,22.5,4
frozen,task,libero_goal/put_the_bowl_on_the_stove,failure,v8,9,9,0,1.0,60.0,63.333333333333336,63.333333333333336,19.0,1
frozen,task,libero_goal/put_the_bowl_on_the_stove,failure,v82,9,9,0,1.0,60.0,60.0,60.0,18.0,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,success,v7,391,0,391,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,success,v8,391,0,391,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,success,v82,391,0,391,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v7,16,16,0,1.0,46.666666666666664,46.666666666666664,50.0,14.0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v8,16,16,0,1.0,46.666666666666664,46.666666666666664,50.0,14.0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v82,16,16,0,1.0,46.666666666666664,46.666666666666664,50.0,14.0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v7,384,0,384,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v8,384,0,384,0.0,,,,,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v82,384,0,384,0.0,,,,,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v7,9,3,6,0.3333333333333333,80.0,83.33333333333333,88.33333333333333,25.0,3
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v8,9,9,0,1.0,70.0,70.0,70.0,21.0,1
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v82,9,9,0,1.0,40.0,66.66666666666667,70.0,20.0,1
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v7,391,0,391,0.0,,,,,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v8,391,5,386,0.01278772378516624,33.333333333333336,36.666666666666664,40.0,11.0,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v82,391,5,386,0.01278772378516624,33.333333333333336,36.666666666666664,36.666666666666664,11.0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v7,1,1,0,1.0,73.33333333333333,73.33333333333333,73.33333333333333,22.0,0
