family,level,scope,outcome,method,cutoff_pct,episodes,alarms
frozen,all,all,failure,v7,25,564,18
frozen,all,all,failure,v7,50,564,59
frozen,all,all,failure,v7,60,564,124
frozen,all,all,failure,v7,70,564,222
frozen,all,all,failure,v7,75,564,252
frozen,all,all,failure,v7,80,564,298
frozen,all,all,failure,v7,90,564,372
frozen,all,all,failure,v7,100,564,439
frozen,all,all,failure,v8,25,564,18
frozen,all,all,failure,v8,50,564,64
frozen,all,all,failure,v8,60,564,141
frozen,all,all,failure,v8,70,564,252
frozen,all,all,failure,v8,75,564,285
frozen,all,all,failure,v8,80,564,329
frozen,all,all,failure,v8,90,564,403
frozen,all,all,failure,v8,100,564,460
frozen,all,all,failure,v82,25,564,18
frozen,all,all,failure,v82,50,564,70
frozen,all,all,failure,v82,60,564,153
frozen,all,all,failure,v82,70,564,265
frozen,all,all,failure,v82,75,564,301
frozen,all,all,failure,v82,80,564,344
frozen,all,all,failure,v82,90,564,419
frozen,all,all,failure,v82,100,564,475
frozen,all,all,success,v7,25,15436,1
frozen,all,all,success,v7,50,15436,48
frozen,all,all,success,v7,60,15436,61
frozen,all,all,success,v7,70,15436,72
frozen,all,all,success,v7,75,15436,77
frozen,all,all,success,v7,80,15436,79
frozen,all,all,success,v7,90,15436,81
frozen,all,all,success,v7,100,15436,81
frozen,all,all,success,v8,25,15436,1
frozen,all,all,success,v8,50,15436,57
frozen,all,all,success,v8,60,15436,71
frozen,all,all,success,v8,70,15436,82
frozen,all,all,success,v8,75,15436,87
frozen,all,all,success,v8,80,15436,89
frozen,all,all,success,v8,90,15436,91
frozen,all,all,success,v8,100,15436,91
frozen,all,all,success,v82,25,15436,1
frozen,all,all,success,v82,50,15436,65
frozen,all,all,success,v82,60,15436,80
frozen,all,all,success,v82,70,15436,91
frozen,all,all,success,v82,75,15436,96
frozen,all,all,success,v82,80,15436,98
frozen,all,all,success,v82,90,15436,99
frozen,all,all,success,v82,100,15436,99
frozen,suite,libero_goal,failure,v7,25,106,0
frozen,suite,libero_goal,failure,v7,50,106,16
frozen,suite,libero_goal,failure,v7,60,106,18
frozen,suite,libero_goal,failure,v7,70,106,22
frozen,suite,libero_goal,failure,v7,75,106,26
frozen,suite,libero_goal,failure,v7,80,106,49
frozen,suite,libero_goal,failure,v7,90,106,63
frozen,suite,libero_goal,failure,v7,100,106,73
frozen,suite,libero_goal,failure,v8,25,106,0
frozen,suite,libero_goal,failure,v8,50,106,18
frozen,suite,libero_goal,failure,v8,60,106,30
frozen,suite,libero_goal,failure,v8,70,106,40
frozen,suite,libero_goal,failure,v8,75,106,44
frozen,suite,libero_goal,failure,v8,80,106,63
frozen,suite,libero_goal,failure,v8,90,106,74
frozen,suite,libero_goal,failure,v8,100,106,83
frozen,suite,libero_goal,failure,v82,25,106,0
frozen,suite,libero_goal,failure,v82,50,106,21
frozen,suite,libero_goal,failure,v82,60,106,37
frozen,suite,libero_goal,failure,v82,70,106,46
frozen,suite,libero_goal,failure,v82,75,106,47
frozen,suite,libero_goal,failure,v82,80,106,65
frozen,suite,libero_goal,failure,v82,90,106,76
frozen,suite,libero_goal,failure,v82,100,106,87
frozen,suite,libero_goal,success,v7,25,3894,0
frozen,suite,libero_goal,success,v7,50,3894,0
frozen,suite,libero_goal,success,v7,60,3894,0
frozen,suite,libero_goal,success,v7,70,3894,0
frozen,suite,libero_goal,success,v7,75,3894,0
frozen,suite,libero_goal,success,v7,80,3894,0
frozen,suite,libero_goal,success,v7,90,3894,1
frozen,suite,libero_goal,success,v7,100,3894,1
frozen,suite,libero_goal,success,v8,25,3894,0
frozen,suite,libero_goal,success,v8,50,3894,6
frozen,suite,libero_goal,success,v8,60,3894,8
frozen,suite,libero_goal,success,v8,70,3894,8
frozen,suite,libero_goal,success,v8,75,3894,8
frozen,suite,libero_goal,success,v8,80,3894,8
frozen,suite,libero_goal,success,v8,90,3894,9
frozen,suite,libero_goal,success,v8,100,3894,9
frozen,suite,libero_goal,success,v82,25,3894,0
frozen,suite,libero_goal,success,v82,50,3894,7
frozen,suite,libero_goal,success,v82,60,3894,10
frozen,suite,libero_goal,success,v82,70,3894,10
frozen,suite,libero_goal,success,v82,75,3894,10
frozen,suite,libero_goal,success,v82,80,3894,10
frozen,suite,libero_goal,success,v82,90,3894,10
frozen,suite,libero_goal,success,v82,100,3894,10
frozen,suite,libero_long,failure,v7,25,274,18
frozen,suite,libero_long,failure,v7,50,274,42
frozen,suite,libero_long,failure,v7,60,274,103
frozen,suite,libero_long,failure,v7,70,274,189
frozen,suite,libero_long,failure,v7,75,274,200
frozen,suite,libero_long,failure,v7,80,274,211
frozen,suite,libero_long,failure,v7,90,274,228
frozen,suite,libero_long,failure,v7,100,274,236
frozen,suite,libero_long,failure,v8,25,274,18
frozen,suite,libero_long,failure,v8,50,274,42
frozen,suite,libero_long,failure,v8,60,274,104
frozen,suite,libero_long,failure,v8,70,274,190
frozen,suite,libero_long,failure,v8,75,274,201
frozen,suite,libero_long,failure,v8,80,274,212
frozen,suite,libero_long,failure,v8,90,274,228
frozen,suite,libero_long,failure,v8,100,274,236
frozen,suite,libero_long,failure,v82,25,274,18
frozen,suite,libero_long,failure,v82,50,274,44
frozen,suite,libero_long,failure,v82,60,274,106
frozen,suite,libero_long,failure,v82,70,274,193
frozen,suite,libero_long,failure,v82,75,274,205
frozen,suite,libero_long,failure,v82,80,274,216
frozen,suite,libero_long,failure,v82,90,274,231
frozen,suite,libero_long,failure,v82,100,274,239
frozen,suite,libero_long,success,v7,25,3726,1
frozen,suite,libero_long,success,v7,50,3726,45
frozen,suite,libero_long,success,v7,60,3726,58
frozen,suite,libero_long,success,v7,70,3726,65
frozen,suite,libero_long,success,v7,75,3726,69
frozen,suite,libero_long,success,v7,80,3726,69
frozen,suite,libero_long,success,v7,90,3726,69
frozen,suite,libero_long,success,v7,100,3726,69
frozen,suite,libero_long,success,v8,25,3726,1
frozen,suite,libero_long,success,v8,50,3726,48
frozen,suite,libero_long,success,v8,60,3726,60
frozen,suite,libero_long,success,v8,70,3726,67
frozen,suite,libero_long,success,v8,75,3726,71
frozen,suite,libero_long,success,v8,80,3726,71
frozen,suite,libero_long,success,v8,90,3726,71
frozen,suite,libero_long,success,v8,100,3726,71
frozen,suite,libero_long,success,v82,25,3726,1
frozen,suite,libero_long,success,v82,50,3726,54
frozen,suite,libero_long,success,v82,60,3726,66
frozen,suite,libero_long,success,v82,70,3726,73
frozen,suite,libero_long,success,v82,75,3726,77
frozen,suite,libero_long,success,v82,80,3726,77
frozen,suite,libero_long,success,v82,90,3726,77
frozen,suite,libero_long,success,v82,100,3726,77
frozen,suite,libero_object,failure,v7,25,44,0
frozen,suite,libero_object,failure,v7,50,44,1
frozen,suite,libero_object,failure,v7,60,44,3
frozen,suite,libero_object,failure,v7,70,44,8
frozen,suite,libero_object,failure,v7,75,44,14
frozen,suite,libero_object,failure,v7,80,44,16
frozen,suite,libero_object,failure,v7,90,44,19
frozen,suite,libero_object,failure,v7,100,44,22
frozen,suite,libero_object,failure,v8,25,44,0
frozen,suite,libero_object,failure,v8,50,44,1
frozen,suite,libero_object,failure,v8,60,44,3
frozen,suite,libero_object,failure,v8,70,44,10
frozen,suite,libero_object,failure,v8,75,44,15
frozen,suite,libero_object,failure,v8,80,44,17
frozen,suite,libero_object,failure,v8,90,44,20
frozen,suite,libero_object,failure,v8,100,44,23
frozen,suite,libero_object,failure,v82,25,44,0
frozen,suite,libero_object,failure,v82,50,44,1
frozen,suite,libero_object,failure,v82,60,44,4
frozen,suite,libero_object,failure,v82,70,44,13
frozen,suite,libero_object,failure,v82,75,44,20
frozen,suite,libero_object,failure,v82,80,44,23
frozen,suite,libero_object,failure,v82,90,44,28
frozen,suite,libero_object,failure,v82,100,44,30
frozen,suite,libero_object,success,v7,25,3956,0
frozen,suite,libero_object,success,v7,50,3956,3
frozen,suite,libero_object,success,v7,60,3956,3
frozen,suite,libero_object,success,v7,70,3956,6
frozen,suite,libero_object,success,v7,75,3956,7
frozen,suite,libero_object,success,v7,80,3956,8
frozen,suite,libero_object,success,v7,90,3956,8
frozen,suite,libero_object,success,v7,100,3956,8
frozen,suite,libero_object,success,v8,25,3956,0
frozen,suite,libero_object,success,v8,50,3956,3
frozen,suite,libero_object,success,v8,60,3956,3
frozen,suite,libero_object,success,v8,70,3956,6
frozen,suite,libero_object,success,v8,75,3956,7
frozen,suite,libero_object,success,v8,80,3956,8
frozen,suite,libero_object,success,v8,90,3956,8
frozen,suite,libero_object,success,v8,100,3956,8
frozen,suite,libero_object,success,v82,25,3956,0
frozen,suite,libero_object,success,v82,50,3956,3
frozen,suite,libero_object,success,v82,60,3956,3
frozen,suite,libero_object,success,v82,70,3956,6
frozen,suite,libero_object,success,v82,75,3956,7
frozen,suite,libero_object,success,v82,80,3956,8
frozen,suite,libero_object,success,v82,90,3956,8
frozen,suite,libero_object,success,v82,100,3956,8
frozen,suite,libero_spatial,failure,v7,25,140,0
frozen,suite,libero_spatial,failure,v7,50,140,0
frozen,suite,libero_spatial,failure,v7,60,140,0
frozen,suite,libero_spatial,failure,v7,70,140,3
frozen,suite,libero_spatial,failure,v7,75,140,12
frozen,suite,libero_spatial,failure,v7,80,140,22
frozen,suite,libero_spatial,failure,v7,90,140,62
frozen,suite,libero_spatial,failure,v7,100,140,108
frozen,suite,libero_spatial,failure,v8,25,140,0
frozen,suite,libero_spatial,failure,v8,50,140,3
frozen,suite,libero_spatial,failure,v8,60,140,4
frozen,suite,libero_spatial,failure,v8,70,140,12
frozen,suite,libero_spatial,failure,v8,75,140,25
frozen,suite,libero_spatial,failure,v8,80,140,37
frozen,suite,libero_spatial,failure,v8,90,140,81
frozen,suite,libero_spatial,failure,v8,100,140,118
frozen,suite,libero_spatial,failure,v82,25,140,0
frozen,suite,libero_spatial,failure,v82,50,140,4
frozen,suite,libero_spatial,failure,v82,60,140,6
frozen,suite,libero_spatial,failure,v82,70,140,13
frozen,suite,libero_spatial,failure,v82,75,140,29
frozen,suite,libero_spatial,failure,v82,80,140,40
frozen,suite,libero_spatial,failure,v82,90,140,84
frozen,suite,libero_spatial,failure,v82,100,140,119
frozen,suite,libero_spatial,success,v7,25,3860,0
frozen,suite,libero_spatial,success,v7,50,3860,0
frozen,suite,libero_spatial,success,v7,60,3860,0
frozen,suite,libero_spatial,success,v7,70,3860,1
frozen,suite,libero_spatial,success,v7,75,3860,1
frozen,suite,libero_spatial,success,v7,80,3860,2
frozen,suite,libero_spatial,success,v7,90,3860,3
frozen,suite,libero_spatial,success,v7,100,3860,3
frozen,suite,libero_spatial,success,v8,25,3860,0
frozen,suite,libero_spatial,success,v8,50,3860,0
frozen,suite,libero_spatial,success,v8,60,3860,0
frozen,suite,libero_spatial,success,v8,70,3860,1
frozen,suite,libero_spatial,success,v8,75,3860,1
frozen,suite,libero_spatial,success,v8,80,3860,2
frozen,suite,libero_spatial,success,v8,90,3860,3
frozen,suite,libero_spatial,success,v8,100,3860,3
frozen,suite,libero_spatial,success,v82,25,3860,0
frozen,suite,libero_spatial,success,v82,50,3860,1
frozen,suite,libero_spatial,success,v82,60,3860,1
frozen,suite,libero_spatial,success,v82,70,3860,2
frozen,suite,libero_spatial,success,v82,75,3860,2
frozen,suite,libero_spatial,success,v82,80,3860,3
frozen,suite,libero_spatial,success,v82,90,3860,4
frozen,suite,libero_spatial,success,v82,100,3860,4
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,25,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,50,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,60,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,70,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,75,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,80,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,90,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,100,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,25,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,50,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,60,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,70,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,75,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,80,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,90,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,100,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,25,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,50,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,60,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,70,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,75,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,80,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,90,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,100,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,25,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,50,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,60,400,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,70,400,0
