family,level,scope,outcome,method,bin,count,episodes
frozen,suite,libero_spatial,success,v82,90-100%,0,3860
frozen,suite,libero_spatial,success,v82,no_alarm,3856,3860
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,00-010%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,10-020%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,20-030%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,30-040%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,40-050%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,50-060%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,60-070%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,70-080%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,80-090%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,90-100%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,no_alarm,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,00-010%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,10-020%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,20-030%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,30-040%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,40-050%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,50-060%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,60-070%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,70-080%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,80-090%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,90-100%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,no_alarm,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,00-010%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,10-020%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,20-030%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,30-040%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,40-050%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,50-060%,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v82,60-070%,0,0
