family,level,scope,outcome,baseline,both,v82_earlier,same,v82_later,only_v82,only_baseline
frozen,all,all,failure,v7,439,43,396,0,36,0
frozen,all,all,failure,v8,460,38,422,0,15,0
frozen,all,all,success,v7,81,5,76,0,18,0
frozen,all,all,success,v8,91,6,85,0,8,0
frozen,suite,libero_goal,failure,v7,73,15,58,0,14,0
frozen,suite,libero_goal,failure,v8,83,14,69,0,4,0
frozen,suite,libero_goal,success,v7,1,1,0,0,9,0
frozen,suite,libero_goal,success,v8,9,2,7,0,1,0
frozen,suite,libero_long,failure,v7,236,4,232,0,3,0
frozen,suite,libero_long,failure,v8,236,4,232,0,3,0
frozen,suite,libero_long,success,v7,69,4,65,0,8,0
frozen,suite,libero_long,success,v8,71,4,67,0,6,0
frozen,suite,libero_object,failure,v7,22,4,18,0,8,0
frozen,suite,libero_object,failure,v8,23,4,19,0,7,0
frozen,suite,libero_object,success,v7,8,0,8,0,0,0
frozen,suite,libero_object,success,v8,8,0,8,0,0,0
frozen,suite,libero_spatial,failure,v7,108,20,88,0,11,0
frozen,suite,libero_spatial,failure,v8,118,16,102,0,1,0
frozen,suite,libero_spatial,success,v7,3,0,3,0,1,0
frozen,suite,libero_spatial,success,v8,3,0,3,0,1,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v7,0,0,0,0,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,failure,v8,0,0,0,0,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/open_the_middle_drawer_of_the_cabinet,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v7,39,3,36,0,0,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,failure,v8,39,0,39,0,0,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v7,1,1,0,0,0,0
frozen,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,success,v8,1,1,0,0,0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v7,1,1,0,0,0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,failure,v8,1,0,1,0,0,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v7,0,0,0,0,4,0
frozen,task,libero_goal/push_the_plate_to_the_front_of_the_stove,success,v8,3,0,3,0,1,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v7,4,2,2,0,7,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,failure,v8,7,4,3,0,4,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/put_the_bowl_on_the_plate,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,failure,v7,8,7,1,0,1,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,failure,v8,9,5,4,0,0,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/put_the_bowl_on_the_stove,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v7,16,0,16,0,0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,failure,v8,16,0,16,0,0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v7,3,2,1,0,6,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,failure,v8,9,5,4,0,0,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v7,0,0,0,0,5,0
frozen,task,libero_goal/put_the_cream_cheese_in_the_bowl,success,v8,5,1,4,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v7,1,0,1,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,failure,v8,1,0,1,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_the_rack,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v7,1,0,1,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,failure,v8,1,0,1,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,success,v8,0,0,0,0,0,0
frozen,task,libero_goal/turn_on_the_stove,failure,v7,0,0,0,0,0,0
frozen,task,libero_goal/turn_on_the_stove,failure,v8,0,0,0,0,0,0
frozen,task,libero_goal/turn_on_the_stove,success,v7,0,0,0,0,0,0
frozen,task,libero_goal/turn_on_the_stove,success,v8,0,0,0,0,0,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v7,4,0,4,0,0,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,failure,v8,4,0,4,0,0,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v7,0,0,0,0,0,0
frozen,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,success,v8,0,0,0,0,0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v7,1,0,1,0,0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,failure,v8,1,0,1,0,0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,success,v7,3,0,3,0,0,0
frozen,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,success,v8,3,0,3,0,0,0
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,failure,v7,1,0,1,0,0,0
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,failure,v8,1,0,1,0,0,0
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,success,v7,8,3,5,0,7,0
frozen,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,success,v8,10,3,7,0,5,0
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,failure,v7,123,0,123,0,0,0
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,failure,v8,123,0,123,0,0,0
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,success,v7,14,0,14,0,0,0
frozen,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,success,v8,14,0,14,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,failure,v7,27,1,26,0,2,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,failure,v8,27,1,26,0,2,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,success,v7,4,0,4,0,1,0
frozen,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,success,v8,4,0,4,0,1,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,failure,v7,8,0,8,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,failure,v8,8,0,8,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,success,v7,1,0,1,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,success,v8,1,0,1,0,0,0
frozen,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,failure,v7,3,0,3,0,0,0
