kind,path,worker,snapshot,candidate,outcome,primary_failure_type,left_source,right_source,width,height,frame_rate,duration_s,bytes,sha256
raw,formal/worker0/videos/s000_c02_failure.mp4,0,0,2,failure,drop_or_regrasp,,,512,512,20/1,26.0,681395,260bfd8a83557df1cb7caf0f5fdc47c0dc8a62bcb97c34706ef0cb8965933584
raw,formal/worker0/videos/s000_c03_success.mp4,0,0,3,success,,,,512,512,20/1,19.7,574079,8c50ec8c28eb3b3cb82a6099ced6c865141bf9da5b76f23191e51286bc9326f1
raw,formal/worker0/videos/s000_c06_failure.mp4,0,0,6,failure,single_subtask_omission,,,512,512,20/1,26.0,680326,b8ccc9ed374adf7200b4ba6a5a25ffc530e815ec1036af1ce558c3799abd5cd2
raw,formal/worker0/videos/s000_c07_success.mp4,0,0,7,success,,,,512,512,20/1,19.6,570600,4c24070581098b9f2ea8f5b0cd9691dfb0cfb31d2bfeb94261d704c8660165bc
raw,formal/worker1/videos/s000_c01_failure.mp4,1,0,1,failure,loop_or_cycling,,,512,512,20/1,26.0,728749,032f495376e29b7e5f0a24db52bbc22ee456bd717da08c2afae4384ba95ea64f
raw,formal/worker1/videos/s000_c02_failure.mp4,1,0,2,failure,loop_or_cycling,,,512,512,20/1,26.0,741254,153cbd0c4ee945acf978a7677b80de82eec812b982bc46c7f52cc88bfdc92c6f
raw,formal/worker2/videos/s000_c01_failure.mp4,2,0,1,failure,loop_or_cycling,,,512,512,20/1,26.0,690625,52caff64c6640e2034cea363cb601f8775d7f04dbb20600fb736c6a23ea697fd
raw,formal/worker2/videos/s000_c04_failure.mp4,2,0,4,failure,drop_or_regrasp,,,512,512,20/1,26.0,731775,d2cb1a7076cd154174d23f7f2b7bf354614e36c9b2159094ba19538f9c1cdf65
raw,formal/worker2/videos/s001_c04_success.mp4,2,1,4,success,,,,512,512,20/1,23.15,655013,b198f323266a135db72a07b6910efbaf6552fb5d5a513eb0581dbcea10a9883f
raw,formal/worker2/videos/s002_c02_success.mp4,2,2,2,success,,,,512,512,20/1,24.2,649671,2e15ed9f84f90628affc0da960e841aab0a0736faa3f2dc3584d970bfe3d2ec4
raw,formal/worker3/videos/s000_c02_failure.mp4,3,0,2,failure,active_retry,,,512,512,20/1,26.0,650242,1eb862b60f2d6a1a6df8cbd70f78306c300613cf31dae10712ae9fd0af9cbe7c
raw,formal/worker3/videos/s000_c07_success.mp4,3,0,7,success,,,,512,512,20/1,18.55,542063,02905dcc5a7453af3767884e03ad21ceb16ebfcc4a0bc6ef2cb9d4be0bef706b
raw,formal/worker3/videos/s000_c14_success.mp4,3,0,14,success,,,,512,512,20/1,18.8,548747,93f45bd98bbeb14cfc9d0fe5f2df449c836db21a300f395be49f8a1c1ed24571
raw,formal/worker3/videos/s001_c13_failure.mp4,3,1,13,failure,drop_or_regrasp,,,512,512,20/1,25.5,690624,551874825db4c7787798035e3bc4960710269d5ea3d021c8090c83e4f546a784
comparison,comparison_videos/pair_01_success_c07_vs_failure_c06.mp4,0,0,6,success_left_failure_right,single_subtask_omission,formal/worker0/videos/s000_c07_success.mp4,formal/worker0/videos/s000_c06_failure.mp4,1024,512,20/1,26.0,1542255,e2ae5ffa80ba4ba8c004a7415c16dc66c953f982790c6ef7a0543f5ca9f663a7
comparison,comparison_videos/pair_02_success_c03_vs_failure_c02.mp4,0,0,2,success_left_failure_right,drop_or_regrasp,formal/worker0/videos/s000_c03_success.mp4,formal/worker0/videos/s000_c02_failure.mp4,1024,512,20/1,26.0,1491156,039392b5439440f45e963233a2d7a18356217a8c208a4035a19ae856882245a0
comparison,comparison_videos/pair_03_worker3_success_c07_vs_only_failure_c02.mp4,3,0,2,success_left_failure_right,active_retry,formal/worker3/videos/s000_c07_success.mp4,formal/worker3/videos/s000_c02_failure.mp4,1024,512,20/1,26.0,1665373,6838f3e5209af9894b8d66e29107daf2ddcff2d0bb278cd87e0eff14bf41f183
