level,cohort,suite,task,method,clusters,variant,alpha,event_episodes,before,at,after,missed
all,all,all,all,knn20,0,knn20,0.02,216,7,1,143,65
all,all,all,all,norm_only,0,norm_only,0.02,216,5,0,137,74
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,216,5,0,137,74
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,216,5,0,137,74
all,all,all,all,c1_union_radius,1,union_radius,0.02,216,5,0,137,74
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,216,6,2,143,65
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,216,7,3,142,64
all,all,all,all,c2_union_radius,2,union_radius,0.02,216,7,3,142,64
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,216,3,2,139,72
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,216,3,4,133,76
all,all,all,all,c4_union_radius,4,union_radius,0.02,216,2,4,136,74
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,216,3,3,138,72
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,216,4,4,131,77
all,all,all,all,c8_union_radius,8,union_radius,0.02,216,2,2,139,73
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,216,4,4,138,70
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,216,5,5,129,77
all,all,all,all,c16_union_radius,16,union_radius,0.02,216,2,1,136,77
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,216,9,2,137,68
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,216,6,4,130,76
all,all,all,all,c32_union_radius,32,union_radius,0.02,216,4,4,138,70
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,216,9,3,133,71
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,216,9,3,137,67
all,all,all,all,c64_union_radius,64,union_radius,0.02,216,6,4,143,63
all,all,all,all,knn20,0,knn20,0.03,216,14,5,155,42
all,all,all,all,norm_only,0,norm_only,0.03,216,8,0,148,60
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,216,8,0,149,59
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,216,8,0,149,59
all,all,all,all,c1_union_radius,1,union_radius,0.03,216,8,0,149,59
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,216,10,4,156,46
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,216,11,7,153,45
all,all,all,all,c2_union_radius,2,union_radius,0.03,216,11,7,153,45
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,216,8,3,162,43
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,216,8,6,159,43
