level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,"[0,25%)",758,12
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,"[25,50%)",758,85
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,"[50,75%)",758,377
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,"[75,100%)",758,284
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,"[0,25%)",432,0
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,"[25,50%)",432,7
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,"[50,75%)",432,103
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,"[75,100%)",432,322
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,"[0,25%)",741,8
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,"[25,50%)",741,72
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,"[50,75%)",741,428
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,"[75,100%)",741,233
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,"[0,25%)",401,0
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,"[25,50%)",401,8
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,"[50,75%)",401,102
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,"[75,100%)",401,291
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,"[0,25%)",721,7
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,"[25,50%)",721,74
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,"[50,75%)",721,419
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,"[75,100%)",721,221
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,"[0,25%)",417,0
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,"[25,50%)",417,7
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,"[50,75%)",417,104
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,"[75,100%)",417,306
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,"[0,25%)",731,8
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,"[25,50%)",731,75
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,"[50,75%)",731,408
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,"[75,100%)",731,240
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,"[0,25%)",883,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,"[25,50%)",883,7
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,"[50,75%)",883,189
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,"[75,100%)",883,687
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,"[0,25%)",727,8
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,"[25,50%)",727,76
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,"[50,75%)",727,416
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,"[75,100%)",727,227
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,"[0,25%)",619,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,"[25,50%)",619,4
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,"[50,75%)",619,142
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,"[75,100%)",619,473
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,"[0,25%)",635,7
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,"[25,50%)",635,63
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,"[50,75%)",635,302
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,"[75,100%)",635,263
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,"[0,25%)",754,0
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,"[25,50%)",754,5
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,"[50,75%)",754,166
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,"[75,100%)",754,583
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,"[0,25%)",743,10
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,"[25,50%)",743,71
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,"[50,75%)",743,375
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,"[75,100%)",743,287
