level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,query_bin,count
all,all,all,all,knn20,0,knn20,0.02,False,30904,no_alarm,29586
all,all,all,all,knn20,0,knn20,0.02,False,30904,q0-6,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,q7,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,q8-10,727
all,all,all,all,knn20,0,knn20,0.02,False,30904,q11-14,554
all,all,all,all,knn20,0,knn20,0.02,False,30904,q15-19,20
all,all,all,all,knn20,0,knn20,0.02,False,30904,q20-29,2
all,all,all,all,knn20,0,knn20,0.02,False,30904,q30-39,14
all,all,all,all,knn20,0,knn20,0.02,False,30904,q40-51,1
all,all,all,all,knn20,0,knn20,0.02,True,1096,no_alarm,323
all,all,all,all,knn20,0,knn20,0.02,True,1096,q0-6,0
all,all,all,all,knn20,0,knn20,0.02,True,1096,q7,0
all,all,all,all,knn20,0,knn20,0.02,True,1096,q8-10,20
all,all,all,all,knn20,0,knn20,0.02,True,1096,q11-14,150
all,all,all,all,knn20,0,knn20,0.02,True,1096,q15-19,215
all,all,all,all,knn20,0,knn20,0.02,True,1096,q20-29,142
all,all,all,all,knn20,0,knn20,0.02,True,1096,q30-39,199
all,all,all,all,knn20,0,knn20,0.02,True,1096,q40-51,47
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,no_alarm,29938
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q0-6,0
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q7,0
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q8-10,541
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q11-14,398
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q15-19,16
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q20-29,1
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q30-39,10
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,q40-51,0
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,no_alarm,369
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q0-6,0
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q7,1
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q8-10,16
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q11-14,70
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q15-19,254
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q20-29,162
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q30-39,188
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,q40-51,36
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,no_alarm,29822
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q0-6,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q7,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q8-10,667
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q11-14,387
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q15-19,16
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q20-29,1
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q30-39,11
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,q40-51,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,no_alarm,369
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q0-6,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q7,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q8-10,17
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q11-14,73
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q15-19,250
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q20-29,162
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q30-39,189
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,q40-51,36
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,no_alarm,29822
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q0-6,0
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q7,0
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q8-10,667
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q11-14,387
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q15-19,16
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q20-29,1
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q30-39,11
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,q40-51,0
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,no_alarm,369
